Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time	AVG Time Per Epoch
1	-42.4466	4.3460355	-33.26288	-56.226925	-12.041226	1.1694958	-10.687541	-14.346769	50.0	50.0	4999	-3.009619	1.422346	0.6055043	-9.713097	-3.010166	1.4224199	1.5087109	-9.782935	-0.36351144	0.85283715	3.5331678	-11.636048	2.4913797	0.17429036	30.600713968276978	30.60071611404419
2	-42.789093	4.1032853	-31.902811	-51.694813	-12.573929	2.2501752	-9.363362	-17.54841	50.0	50.0	9999	-5.450615	1.803734	1.8373154	-11.929176	-5.450685	1.80215	1.8570824	-11.743673	-0.26618934	0.8780526	2.7052536	-9.953453	4.8609643	0.45024198	68.08585381507874	34.04292821884155
3	-18.526861	3.894857	-10.226215	-27.37239	-8.736708	2.6490517	-5.3898754	-15.082118	50.0	50.0	14999	-6.085372	2.14043	3.0925753	-13.516387	-6.085293	2.139273	3.3852518	-13.784662	-0.24692021	0.8849902	3.0831652	-10.409786	5.6215415	0.6527946	107.78476095199585	35.92825444539388
4	-17.636412	3.819498	-10.5100975	-33.959423	-8.8489895	3.7362788	-5.3227496	-16.587507	50.0	50.0	19999	-6.971048	2.1296911	3.4505773	-15.403233	-6.971042	2.1279893	3.0424087	-15.105244	-0.22821173	0.88681227	3.2637267	-9.530589	6.6449704	0.90177685	147.7581331729889	36.93953400850296
5	-18.71653	4.088962	-10.799039	-33.200462	-9.333608	3.2928677	-5.3558326	-15.099735	50.0	50.0	24999	-7.6588254	2.3164032	8.6613245	-16.453514	-7.658694	2.3137167	10.8621855	-18.135849	-0.19891472	0.8995708	3.3598833	-10.084947	7.416153	1.1129781	187.0750834941864	37.41501727104187
6	-17.60189	4.184008	-10.471539	-30.218534	-5.585348	1.2902727	-4.093016	-8.458675	50.0	50.0	29999	-7.8140564	2.427604	5.542909	-18.058937	-7.814398	2.426278	3.910108	-17.041304	-0.15508246	0.90860575	4.4274454	-12.865074	7.606964	1.243473	225.88060069084167	37.64676717917124
7	-17.112677	4.371441	-10.725163	-30.213354	-7.880436	3.9322996	-3.980991	-15.632544	50.0	50.0	34999	-8.030578	2.548969	5.953309	-17.611227	-8.030639	2.5478725	3.5210693	-17.944473	-0.12872928	0.91085327	4.6037245	-10.984637	7.8702264	1.3488246	264.54886293411255	37.79269511359079
8	-16.16627	3.8446758	-10.080977	-29.012266	-5.213282	1.8667462	-3.743477	-10.4217825	50.0	50.0	39999	-8.212933	2.4971972	4.943922	-17.404924	-8.212824	2.4975321	3.2652843	-18.2123	-0.121543884	0.91088915	3.5403059	-10.47	8.082733	1.4152927	302.84048795700073	37.85506126284599
9	-15.37317	3.383055	-9.283069	-25.145052	-7.1739187	3.7229283	-2.8162966	-13.23869	50.0	50.0	44999	-8.420388	2.457325	5.4840612	-17.878998	-8.420207	2.4586983	6.173838	-17.629303	-0.10483854	0.9147851	3.6968358	-10.380196	8.318414	1.522838	340.6953239440918	37.85503620571561
10	-15.072964	3.6285634	-9.182463	-30.321686	-5.410501	1.6229753	-2.3471148	-8.744493	50.0	50.0	49999	-8.503959	2.4731872	4.5275083	-17.998716	-8.503985	2.4735823	6.7866898	-18.196573	-0.085409805	0.9225314	4.9836836	-10.794472	8.422575	1.6089438	378.85385632514954	37.88538582324982
11	-14.949106	3.2400534	-8.891262	-23.46798	-6.830011	2.4755385	-2.5589635	-10.553945	50.0	50.0	54999	-8.635268	2.4620674	5.1272116	-18.008425	-8.635329	2.4602103	3.2646043	-19.294657	-0.059935585	0.9227851	4.33019	-11.998989	8.568089	1.6708238	416.5855088233948	37.871410088105634
12	-14.656146	3.253513	-9.386858	-24.836884	-7.294244	3.7743556	-2.0954394	-12.7531805	50.0	50.0	59999	-8.604637	2.509137	3.838447	-18.519815	-8.604789	2.5062246	4.36115	-18.758718	-0.045892753	0.929697	5.313669	-11.128547	8.5463	1.687575	454.56744861602783	37.880620896816254
13	-14.845898	3.7778254	-8.0337	-29.889952	-8.007334	1.5876335	-5.5984254	-11.231989	50.0	50.0	64999	-8.598062	2.490745	6.9870625	-18.285477	-8.598073	2.488215	4.5486965	-18.471237	-0.045983274	0.9308475	5.379186	-10.819695	8.555498	1.6776004	492.3275668621063	37.87135146214412
14	-16.238298	4.2750263	-7.869905	-31.898848	-8.053578	3.105003	-4.7311177	-15.679385	50.0	50.0	69999	-8.667545	2.516605	9.405293	-19.19809	-8.667617	2.5140884	3.3434649	-19.564724	-0.03966571	0.93212914	5.1260147	-11.69945	8.63163	1.760716	530.240198135376	37.874300020081655
15	-14.448978	4.1577177	-8.740987	-39.37205	-7.046464	3.445692	-3.554836	-12.937288	50.0	50.0	74999	-8.627345	2.5363038	7.6315627	-19.310968	-8.627438	2.5341299	5.4807916	-19.491264	-0.01921396	0.9389003	6.162782	-9.022337	8.597581	1.7970359	568.2360110282898	37.88240089416504
