Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageQ3Vals	StdQ3Vals	MaxQ3Vals	MinQ3Vals	LossPi	LossQ	Time	AVG Time Per Epoch
21	365.19608	56.880337	526.3152	285.72256	684.53455	164.80144	1014.0152	586.4897	157.45161	437.2	104999	82.80573	30.771969	135.39102	-88.065056	82.80564	30.768944	138.28494	-86.89257	82.80564	30.772253	137.80104	-97.39958	-86.09427	18.755718	557.5852205753326	26.551677261080062
22	408.71286	56.365463	608.5821	313.281	448.2745	158.65862	704.4553	112.83719	199.1923	248.7	109999	85.884476	30.41308	135.24997	-86.95319	85.88474	30.411543	137.06186	-88.32498	85.88478	30.413538	135.33195	-90.148285	-89.17589	18.952578	584.7661979198456	26.580281821164217
23	400.58704	58.48299	649.73535	350.14114	441.57208	10.734799	465.19653	427.0477	185.33333	183.0	114999	88.31354	30.364805	136.00839	-80.914406	88.31352	30.362816	136.28242	-83.41479	88.31374	30.365088	136.05154	-81.216705	-91.35126	18.553162	611.6702620983124	26.59435929422793
24	374.7696	24.30922	442.6182	332.71606	342.71375	12.880516	364.1517	323.95767	156.0625	141.3	119999	90.115	30.640491	140.08546	-74.31815	90.114944	30.639835	140.76826	-65.05095	90.11483	30.642426	141.0677	-70.57918	-93.10361	17.441393	638.2857160568237	26.595238238573074
25	379.9483	26.64849	438.51834	335.90714	367.76468	8.711066	385.58752	354.08472	153.90625	146.6	124999	91.43896	31.468372	143.24449	-54.812103	91.43878	31.467657	144.18707	-55.364826	91.43921	31.46733	143.92722	-51.100925	-94.358116	17.062237	665.3784811496735	26.615139322280882
26	383.01764	36.314392	472.34897	306.13495	414.34586	18.267347	442.59286	390.42447	152.30302	164.3	129999	92.80479	32.630337	149.34393	-60.740417	92.8048	32.628044	148.7568	-57.41956	92.80475	32.629787	147.28912	-58.697437	-95.74446	16.7114	692.0382676124573	26.61685741864718
27	395.2587	62.696762	506.55518	281.7265	268.06097	7.195755	277.43497	254.24886	154.0303	120.2	134999	94.65985	33.77361	151.51376	-52.42468	94.66022	33.772594	152.52135	-49.000057	94.66022	33.776028	155.4709	-50.72737	-97.61859	17.304588	718.2678508758545	26.602513066044562
28	277.95547	23.37446	338.26157	243.91455	313.50418	42.168453	403.05978	277.41083	123.85	147.2	139999	96.399536	34.964127	163.39742	-40.378887	96.39964	34.964638	161.68686	-40.082108	96.40013	34.96532	162.69565	-40.65465	-99.406334	17.375479	744.9421813488007	26.605077981948853
29	320.7058	50.56681	531.6874	270.72208	314.7184	19.223776	340.58823	273.47412	148.97058	137.2	144999	97.690216	35.88308	167.8459	-45.10904	97.69017	35.883698	166.44514	-42.600807	97.690575	35.8845	167.03917	-50.66345	-100.54972	16.743578	771.5113315582275	26.603839085019867
30	471.75717	166.38605	931.313	317.89902	740.9046	158.08023	921.68414	332.9913	190.78261	269.7	149999	98.82349	36.415905	168.3234	-53.748768	98.82383	36.41774	167.13705	-48.44409	98.823906	36.417366	168.99529	-47.10122	-101.500206	17.32328	798.8686943054199	26.628956532478334
31	724.69946	390.99136	1870.0813	355.22153	539.1706	108.66348	751.1477	432.56406	291.1579	199.6	154999	100.69715	37.35769	169.86725	-53.12949	100.69767	37.358414	168.53737	-53.721817	100.69769	37.358395	170.85231	-57.636925	-103.29435	17.310455	825.5502481460571	26.63065322752922
32	476.51294	87.58876	722.9307	302.2139	474.9633	24.821321	506.11594	420.6009	186.07408	182.7	159999	102.33126	38.365543	172.67258	-54.232155	102.33125	38.36781	173.40926	-57.22194	102.33167	38.367634	172.56403	-52.985664	-105.25608	17.55581	852.7369804382324	26.64803070574999
