Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageQ3Vals	StdQ3Vals	MaxQ3Vals	MinQ3Vals	LossPi	LossQ	Time	AVG Time Per Epoch
18	375.1051	36.812134	437.64273	296.4615	415.23917	5.8032665	424.62415	408.1613	139.75	157.2	89999	95.09783	31.30396	182.60428	-40.850513	95.09769	31.30295	182.95457	-43.102203	95.09779	31.301836	180.40971	-40.5705	-97.18052	29.26756	480.43822407722473	26.69101255469852
19	412.66046	26.03396	458.44388	344.6486	431.348	7.1476912	440.3064	414.72458	148.61765	153.5	94999	97.36204	31.927883	193.28918	-40.508663	97.36237	31.928095	190.26756	-54.50692	97.362274	31.929697	192.36256	-55.47874	-99.5555	29.456944	507.70342922210693	26.721233229888114
20	428.6778	30.827154	521.2054	362.54575	446.6683	45.35841	546.7123	407.6755	150.09091	154.7	99999	100.46704	32.67855	223.1714	-50.15333	100.46712	32.67753	211.76794	-56.4458	100.46679	32.677807	213.61525	-54.46337	-102.76529	30.045275	535.1764421463013	26.75882222652435
21	498.07068	59.52284	594.70233	379.6082	415.34644	2.5430713	419.80136	410.3933	161.48387	145.4	104999	105.1367	34.318832	226.86469	-54.81089	105.13698	34.3189	218.93515	-57.369797	105.138245	34.317074	224.64749	-55.09334	-107.66226	32.933136	562.3629570007324	26.77918851943243
22	512.8971	50.65613	649.09283	403.6141	493.3128	14.7137575	520.6124	476.08145	167.46666	174.0	109999	110.03643	36.412773	219.26796	-57.51685	110.036766	36.41096	217.50519	-79.15967	110.0367	36.414318	215.3064	-72.38296	-112.585815	36.178394	589.7259397506714	26.8057246316563
23	476.32004	135.4175	751.06006	308.73926	385.15646	3.9283571	390.0493	378.20135	168.89655	151.0	114999	115.04515	38.753017	227.4042	-53.417694	115.04524	38.75499	225.27748	-57.249027	115.04565	38.755856	228.29042	-62.14272	-117.573784	39.251965	616.9843318462372	26.82540582573932
24	432.0693	157.97043	715.82385	154.96886	467.63092	203.55681	682.1525	195.20213	165.25807	169.8	119999	119.79818	41.62023	228.32372	-52.026653	119.79726	41.62668	229.24904	-60.04192	119.79814	41.62619	228.80443	-81.3388	-122.52864	50.238865	644.3142538070679	26.846427390972774
25	636.79877	241.42049	1053.545	184.08054	498.24677	76.277504	679.55347	432.9233	224.27272	184.4	124999	125.39104	44.386482	232.37578	-59.42943	125.39067	44.390106	233.51837	-48.819965	125.392296	44.386772	232.34612	-53.26251	-128.43855	55.1697	671.5629470348358	26.86251796722412
26	672.21204	184.4845	976.904	346.28693	891.4588	102.51112	1001.6873	737.44006	222.90909	280.4	129999	129.48079	46.34576	236.91574	-56.19025	129.47957	46.349842	235.38164	-56.89424	129.48026	46.351334	236.9486	-66.19131	-132.41364	57.618183	699.2145578861237	26.892867711874153
27	743.1919	162.20279	1266.6056	602.90735	657.277	6.8168926	668.1521	646.14166	235.7619	202.8	134999	132.14684	47.874744	233.38184	-68.16035	132.14696	47.87226	234.04128	-57.32213	132.14714	47.875153	237.34203	-76.49165	-135.29716	57.26463	726.8407661914825	26.92002844810486
28	702.1266	114.81362	922.17584	551.50116	689.9603	26.52555	725.50964	644.3927	216.56522	212.4	139999	134.1709	49.1386	231.2236	-56.578465	134.17056	49.136463	231.29431	-53.33063	134.17133	49.13654	232.71213	-62.74097	-136.85916	60.376675	754.2792747020721	26.9385455931936
29	872.45044	387.47504	2119.9792	346.04895	688.307	12.541755	709.1697	665.61993	270.78946	211.4	144999	136.44614	50.370987	234.86777	-67.36208	136.44586	50.36679	239.08037	-56.360394	136.44664	50.36828	239.00267	-57.32002	-139.48529	57.654026	781.5341835021973	26.949454677516016
30	567.02594	164.66888	894.0157	288.34366	601.47534	112.137024	702.06635	282.49902	184.77777	196.4	149999	139.09283	51.926617	235.53096	-50.49508	139.09256	51.92069	237.41771	-56.828384	139.09288	51.925797	238.13812	-72.881454	-142.14128	60.17685	808.9544434547424	26.965148178736367
31	571.25024	116.15321	875.06946	305.1479	586.07635	6.4463024	594.9548	575.11774	185.33333	183.4	154999	141.13693	52.63817	244.40372	-63.292793	141.1382	52.63116	250.25734	-71.14384	141.13794	52.6392	244.84647	-51.816578	-143.8364	63.9491	835.860949754715	26.963256505227857
32	556.2205	75.43	741.4273	400.08942	558.90466	15.784354	585.4959	527.297	178.03572	181.1	159999	142.56812	53.11991	254.82544	-80.331696	142.5681	53.115112	255.36023	-127.757904	142.56844	53.119747	255.4374	-88.03562	-145.29237	62.9115	863.4393110275269	26.98247852921486
33	578.62726	51.01945	729.0954	487.41183	671.3683	99.84672	943.7997	571.3577	183.7037	208.2	164999	144.34003	52.879295	257.1166	-81.70609	144.33994	52.880802	256.32172	-77.947395	144.34064	52.884224	257.65213	-95.85421	-147.18651	60.90835	890.7272856235504	26.991735993009627
34	685.8257	116.561424	942.909	538.63727	704.5702	20.062563	740.07214	673.8173	214.08333	216.9	169999	145.85406	52.67551	250.43129	-91.46496	145.85333	52.67494	255.23358	-82.99291	145.8545	52.678875	255.48044	-81.248314	-148.6825	59.06631	917.9160902500153	26.99753212928772
35	635.68365	108.69974	918.42566	373.9267	526.19574	50.77992	615.9555	415.28784	205.0	174.7	174999	147.38904	52.09209	246.54332	-74.05345	147.38893	52.093094	249.00742	-80.30718	147.38988	52.092995	251.77948	-90.31636	-149.86176	58.267612	945.1039900779724	27.002971206392562
36	707.49615	113.99673	973.9137	567.89276	975.0571	50.711777	1030.2067	910.1103	221.72728	292.8	179999	147.78027	51.545902	241.19852	-71.249855	147.78023	51.55077	246.47429	-76.7439	147.78052	51.548897	244.3823	-58.056637	-150.19493	56.324776	973.0029604434967	27.027860071923996
37	799.0501	110.19081	968.21625	643.4428	596.55005	430.69446	964.4917	58.59941	246.71428	183.1	184999	148.41214	50.850838	237.53209	-61.579777	148.41121	50.856167	238.05055	-66.049515	148.41177	50.85262	238.2289	-72.72946	-150.92885	55.33344	1000.3219323158264	27.03572795842145
38	814.282	196.41408	1271.5002	598.0782	679.36804	39.345676	745.2088	627.02637	263.05264	234.9	189999	148.99658	50.365383	232.14296	-79.35055	148.99611	50.36861	233.09184	-77.2094	148.99585	50.37018	234.17291	-72.211876	-151.30618	49.559467	1028.0292377471924	27.053401043540553
39	759.6108	433.86188	1506.3073	61.840492	930.66125	236.8017	1480.4349	661.2803	249.5	300.9	194999	149.9102	50.142056	227.45146	-67.96696	149.90938	50.145245	227.69603	-91.70697	149.90977	50.146038	226.80605	-68.65252	-152.12068	48.41626	1055.7692794799805	27.07100721505972
40	881.3337	200.64856	1267.0745	612.211	690.8994	120.2889	950.5902	607.0052	341.2857	242.4	199999	150.90247	50.01577	225.45949	-68.785126	150.90244	50.020473	225.70938	-76.74243	150.90218	50.017895	226.51918	-80.33864	-153.16548	45.74726	1083.6091358661652	27.09022845029831
41	996.4682	625.6408	2812.0264	209.75046	1154.3596	87.50045	1293.34	968.53094	355.85715	348.7	204999	151.6135	49.95522	227.73999	-68.018295	151.61388	49.957424	230.61964	-73.699	151.61375	49.956146	227.6493	-76.53071	-153.69235	48.96907	1111.6869049072266	27.11431480617058
42	1235.0208	468.80582	2536.4995	770.16486	1136.9325	31.012114	1202.251	1091.6254	394.0	361.9	209999	152.42754	50.06036	228.3598	-87.06161	152.42682	50.065075	230.33632	-117.44649	152.42685	50.0649	229.96252	-74.93267	-154.74515	49.87154	1139.8087799549103	27.138304324377152
43	1024.9612	254.2166	1603.7832	668.2246	1658.8698	398.72888	2322.5042	1055.4028	317.75	513.5	214999	153.7798	50.232143	233.00076	-80.727715	153.77979	50.234562	231.86058	-77.21519	153.77937	50.238712	231.69643	-81.99814	-156.08447	44.81737	1168.2453474998474	27.16849649229715
44	865.37225	240.17194	1437.7883	443.97406	970.4857	49.243294	1113.3832	926.3984	272.44446	303.9	219999	154.8756	50.50637	234.41035	-119.18978	154.87431	50.51278	234.27171	-80.10681	154.87476	50.512085	233.14258	-72.849884	-156.94469	46.16088	1196.0756888389587	27.183538431471046
45	969.5405	201.47101	1425.7944	639.93	1156.5066	80.39193	1263.93	1035.6003	298.70587	347.9	224999	156.34091	51.029205	236.89926	-59.438267	156.34007	51.035698	242.59592	-86.71201	156.34029	51.036545	235.81158	-59.38594	-158.50516	47.920918	1223.8529777526855	27.196732891930473
46	1077.366	386.2792	2068.133	686.6408	1320.1575	78.27049	1531.2959	1231.4152	326.7857	380.7	229999	157.46269	51.662083	238.17982	-47.21335	157.46243	51.667652	241.72664	-75.91176	157.4623	51.66866	236.87909	-104.07021	-159.50038	45.751774	1251.9799349308014	27.216955148655437
47	1213.941	467.2678	2681.7014	715.8447	1021.8172	139.92769	1291.6777	748.69073	364.86667	296.6	234999	159.28658	52.00143	243.23676	-70.401146	159.2858	52.0015	245.5404	-71.12994	159.28603	52.005116	238.90971	-59.445755	-161.28296	41.757977	1279.5883266925812	27.22528358723255
48	922.0127	190.7203	1282.9216	661.50226	805.1709	30.512562	892.50464	782.10693	275.0	265.5	239999	160.67946	52.82869	244.74628	-59.381466	160.67894	52.8334	243.47478	-59.48794	160.67863	52.83503	240.06035	-58.88043	-162.8559	45.152336	1307.1152975559235	27.23156874378522
49	1099.3147	220.17726	1599.4296	731.8681	1602.6865	185.23445	2144.9521	1443.3031	326.2	471.9	244999	162.52748	53.426407	242.87427	-79.95864	162.52751	53.42798	246.242	-60.63089	162.52722	53.43063	242.71404	-85.66891	-164.74715	45.094086	1335.479189157486	27.254677368670094
