Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
32	123.71864	189.91342	636.0418	-85.61189	103.249756	118.856865	321.0065	-8.646012	319.69232	218.6	127999	461.0985	172.59978	778.22986	-339.69803	-469.0763	405.43976	694.8930070400238
33	166.82367	256.65222	905.1549	-59.967777	212.41455	171.87039	470.31012	-87.272	319.27274	487.8	131999	430.28784	159.97784	742.8262	-448.37433	-437.75534	361.7903	720.3449020385742
34	159.45464	160.1978	444.10083	-50.920258	70.652084	197.60938	572.7097	-267.1541	405.33334	257.9	135999	403.6694	147.2593	734.57	-422.1006	-410.52383	307.13925	745.8453545570374
35	153.46437	338.22443	952.3019	-214.63313	278.34796	309.21857	899.7973	12.710315	472.375	401.7	139999	378.21313	134.88931	687.3139	-292.62375	-384.42755	264.28296	770.8586344718933
36	218.06255	322.15323	959.3155	-62.230766	353.30212	460.71973	1223.6722	-276.00385	394.8	514.8	143999	353.3155	125.16121	652.5179	-326.913	-359.05826	231.12547	795.764111995697
37	141.48676	274.62177	889.1254	-231.9991	377.47858	293.90378	954.9336	48.729736	341.54544	363.4	147999	331.8899	115.1764	623.40094	-226.40474	-337.23837	196.35542	819.2571668624878
38	167.52267	260.19937	706.1488	-296.94153	244.9497	174.43971	566.2602	-75.18908	403.3	356.6	151999	314.2531	107.63157	587.09796	-365.6903	-319.2693	175.69006	843.3965921401978
39	122.78196	133.5204	397.8644	-110.82688	80.528305	216.12506	680.3146	-65.80461	229.0	279.0	155999	299.8004	102.8105	571.1291	-351.99817	-304.6969	159.82834	867.8318667411804
40	4.4071493	137.35088	371.01944	-180.2169	-6.517494	216.254	547.2193	-358.51865	298.0	260.2	159999	293.2954	100.795876	521.0406	-294.78632	-298.4892	156.86368	891.4907877445221
41	189.3731	199.11153	477.8156	-208.33725	8.478593	242.83171	576.5365	-237.14694	455.33334	281.8	163999	286.58545	99.39423	493.38843	-184.37654	-291.40067	148.12427	915.6986708641052
42	137.78583	181.0122	439.28094	-144.40775	15.715027	121.914635	231.62692	-175.23117	263.66666	184.8	167999	273.83502	93.9472	460.57452	-278.25082	-278.10242	132.79297	938.8966777324677
43	175.41495	169.26622	459.67923	-207.71407	173.1196	212.28156	586.7359	-129.97708	232.5	230.6	171999	258.8643	89.39049	431.08682	-267.88168	-262.79504	117.73088	961.8879396915436
44	113.513916	143.50214	453.99704	-95.57094	127.53912	122.84079	347.6892	-27.407001	266.7143	378.6	175999	244.62785	83.95261	437.56625	-228.85342	-248.28442	104.288216	985.5123751163483
45	138.36383	153.56987	573.1509	-18.517832	-40.112957	61.67574	0.25169787	-203.68582	234.0	121.4	179999	232.55064	78.607475	401.06754	-375.51047	-235.98193	98.34535	1008.7670953273773
46	89.93452	141.00757	455.71558	-110.62982	67.452415	146.58537	371.9071	-155.4477	233.73685	378.2	183999	222.79662	73.37308	380.96353	-264.91586	-226.09625	87.536644	1032.7533433437347
47	198.53006	129.77403	393.99243	1.0932038	166.67654	117.45582	411.45325	24.412783	259.8	196.9	187999	213.55954	68.72838	350.43103	-230.8364	-216.62735	82.4129	1055.721830368042
48	124.65717	204.2195	448.4406	-254.67639	151.37129	96.53058	352.5049	53.32685	322.53845	182.1	191999	203.5025	63.930504	339.58835	-173.25792	-206.41293	73.971405	1080.2227709293365
49	235.52992	212.0975	789.8385	-51.15402	293.2812	233.85439	819.1063	12.518639	229.23529	251.6	195999	193.3108	60.375248	315.2381	-233.2067	-195.96927	66.8799	1104.9903726577759
50	221.91875	218.85861	791.0452	-56.588997	226.65202	264.42014	764.61694	-27.508446	253.6875	273.6	199999	184.3984	55.7493	301.635	-207.4271	-186.9623	58.67149	1130.0684306621552
51	198.93207	124.314156	423.49265	-0.72384995	514.96216	244.66812	993.47144	168.74744	238.26666	263.2	203999	175.79665	52.570446	294.2871	-178.92357	-178.11823	55.940468	1154.697853088379
52	393.57632	291.16852	1153.6552	16.206913	283.38034	258.3725	860.11127	49.478466	261.1875	174.7	207999	167.75127	50.53366	284.49155	-131.90108	-170.00438	52.150764	1178.177918434143
53	170.94408	119.50603	404.3353	-69.310875	310.76303	87.60849	455.47827	160.10698	147.64285	152.1	211999	163.14104	49.08664	282.06723	-144.85002	-165.44402	52.05617	1202.742731332779
54	380.35837	201.48601	787.647	61.162968	355.45078	191.80241	658.1167	118.4243	226.11111	184.8	215999	161.70435	48.97051	286.00235	-246.96318	-164.09381	51.592148	1226.9569239616394
55	286.96838	225.70302	716.9247	7.212802	173.5191	158.95831	634.4066	47.27279	183.13637	143.1	219999	161.36395	48.011208	277.35904	-141.33817	-163.75357	51.347305	1252.4733986854553
56	204.81116	153.76414	895.1709	23.393461	271.09592	394.60083	1392.6482	21.583155	124.80645	247.8	223999	162.11679	47.381832	292.11737	-151.92732	-164.53015	53.2753	1276.6466784477234
57	217.829	145.47763	534.44977	4.8593674	194.18858	171.61693	554.60815	22.21738	137.63333	119.6	227999	163.77878	48.50918	306.94006	-155.33725	-166.23929	54.23021	1301.6468577384949
58	321.5157	216.32295	760.26135	18.552202	167.50418	106.14617	369.18344	30.733133	200.2	154.9	231999	165.8551	49.39617	305.86884	-146.2941	-168.32588	55.35142	1327.8973560333252
59	242.85371	191.78331	612.1845	12.211114	164.32571	166.62032	563.70795	-62.603573	181.54546	178.4	235999	168.10883	50.02343	311.96704	-198.6064	-170.57591	56.264008	1366.068037033081
60	281.12973	358.44955	1162.5096	-97.93677	297.0464	248.51042	675.00006	-162.75136	218.0	269.1	239999	170.126	50.54507	319.16516	-172.59088	-172.658	59.765728	1392.8409271240234
61	365.79376	270.78412	1115.4517	12.056739	370.59283	123.309525	598.27344	220.29729	241.29411	219.9	243999	173.17636	51.559856	318.24637	-121.37249	-175.7602	61.05504	1418.038402080536
62	154.48096	144.39482	418.16324	8.358411	93.70039	161.62122	435.77576	7.8820095	127.41936	70.7	247999	176.17728	52.202957	319.49164	-186.08194	-178.74034	61.86066	1443.6521549224854
63	336.23523	204.81653	703.374	-1.1450663	368.0854	305.7289	970.23553	46.53146	240.58824	254.7	251999	178.00192	53.22604	333.28485	-168.41599	-180.551	63.382328	1468.4245755672455
64	276.0679	222.64117	708.25104	2.8588855	26.863697	19.426374	79.79568	9.728954	188.0	57.3	255999	180.52779	53.98832	347.37997	-137.28821	-183.11194	64.81658	1492.9374403953552
65	263.36215	229.61877	735.8498	-4.482966	280.42526	250.50111	769.291	19.200294	164.79167	155.5	259999	183.3455	54.465206	361.82617	-186.82295	-186.00224	68.04874	1518.1548066139221
66	310.793	303.39737	1122.9536	-28.819168	146.63054	189.11769	570.40607	-18.373817	174.60869	138.5	263999	185.49232	54.98357	349.37698	-143.79727	-188.13763	68.777954	1542.5399940013885
67	311.0144	180.0745	849.2987	12.748106	265.2365	203.82298	662.7735	24.83431	180.5238	140.8	267999	186.96616	56.13077	343.22543	-166.96196	-189.52298	68.058846	1570.9659411907196
68	481.461	294.3271	1316.2354	10.472262	293.21893	256.20856	842.6374	13.139087	238.76471	178.1	271999	187.15115	56.66109	348.19394	-296.32706	-189.73312	69.87536	1598.0801317691803
69	485.39368	529.1435	2214.7632	-2.5490177	615.00977	286.786	1187.264	142.05179	273.06668	348.8	275999	188.92198	57.650734	349.05234	-152.93506	-191.563	70.433784	1626.0040216445923
70	308.097	285.04953	1206.8905	14.805378	383.56775	413.26483	1544.202	1.0547053	170.34782	200.1	279999	193.20152	59.398357	358.67642	-128.04396	-196.02803	75.7003	1652.376608133316
71	458.18967	293.83456	1052.6105	48.475777	810.68427	557.4806	2148.6162	114.62437	241.23529	337.1	283999	198.49442	60.72074	362.07513	-121.84112	-201.45912	80.79732	1679.0731794834137
72	593.1349	490.27484	1682.6504	111.8057	886.2367	526.8959	1654.4908	159.64566	252.5	355.8	287999	204.95238	61.54233	366.63104	-159.30533	-207.92902	82.14829	1703.3472983837128
73	426.33905	423.88983	1494.3723	109.91775	787.1466	571.23016	1688.5854	119.56735	188.8	405.7	291999	210.88959	63.16973	391.8829	-179.0562	-213.9113	85.969795	1729.174771308899
74	332.3044	223.5304	972.79584	103.33098	306.4503	240.84444	826.83374	97.37604	147.39285	153.0	295999	215.91806	64.87699	401.00693	-256.4719	-219.06564	89.47676	1753.3730289936066
75	373.69458	298.41547	980.6535	-44.04708	454.05234	341.12326	1147.1428	104.22608	194.33333	188.0	299999	220.58966	66.0717	418.08466	-146.53284	-223.70879	91.27706	1778.0325934886932
76	641.0537	540.3661	1696.569	5.5376115	629.7221	341.01398	1190.2491	166.15804	291.23077	297.9	303999	223.77711	67.09191	419.67554	-140.77136	-226.9033	93.93731	1802.1269731521606
77	584.63904	395.83646	1464.871	49.57453	232.49959	205.43631	602.89594	20.178255	253.11765	113.9	307999	227.50607	68.013626	424.969	-192.02885	-230.70496	98.62368	1826.0761799812317
78	483.76666	440.06174	1364.227	25.172144	492.2132	241.51212	904.4197	181.8236	220.29411	223.0	311999	233.42766	69.34393	416.1041	-177.54265	-236.71274	101.11559	1850.0683867931366
79	545.22644	502.7946	1800.6846	-31.0483	398.61542	346.34253	1309.7839	156.24635	235.76471	160.6	315999	237.83961	70.80892	420.67294	-173.07237	-241.1873	106.35186	1874.4165678024292
