Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossQReg	Time	AVG Time Per Epoch
20	610.5254	211.2128	1003.0609	195.82703	673.0439	425.35565	1546.1108	365.77585	259.42105	271.2	99999	116.25847	38.966312	198.20758	-60.151875	116.259926	38.967575	200.65886	-74.62087	0.90476733	3.5468066	47.92981	-12.863663	-117.359276	92.93893	55.556667	920.9490339756012	46.04745182991028
21	789.16516	287.4298	1426.5106	241.65039	503.7914	566.2527	1689.4315	-35.305004	305.9375	448.3	104999	117.93495	39.40357	207.25519	-59.902298	117.93624	39.392662	214.04616	-95.5691	1.0160052	3.545641	55.157196	-13.895269	-118.98312	98.162445	57.911007	967.5851910114288	46.07548541114444
22	1242.5447	632.7013	2199.7327	202.1584	246.05814	424.55432	1341.3572	-25.31735	625.375	252.6	109999	120.50079	39.54133	214.27112	-59.094017	120.50146	39.527668	215.78616	-107.88251	1.1145962	3.5325713	44.614365	-13.826262	-121.522484	91.268234	54.680283	1012.768853187561	46.03494798053395
23	1097.9275	436.46722	1942.1945	496.90176	861.7744	208.01476	1351.1929	574.7054	525.6667	486.1	114999	122.328735	39.50186	222.41483	-69.144806	122.32837	39.483627	227.4164	-63.59644	0.9709668	3.551116	55.94803	-14.003689	-123.19765	87.177734	52.51859	1060.662371635437	46.11575539215751
24	1153.7434	543.5649	2285.2708	326.66547	1047.4182	948.46436	2655.1858	30.641249	504.4	462.9	119999	123.84692	39.23995	222.69304	-65.611435	123.84677	39.24669	227.37706	-138.86472	0.9343706	3.5162776	52.507732	-13.842124	-124.71009	89.88726	53.92162	1107.4303376674652	46.142930855353676
25	1063.8142	623.13574	2674.6301	487.08258	1341.3746	710.5949	2656.713	420.27515	411.3846	521.1	124999	124.826355	39.732975	228.06578	-66.59598	124.82432	39.745453	228.27344	-116.92224	0.9782816	3.5168948	53.183624	-13.051081	-125.53051	90.608086	54.611614	1153.914930820465	46.15659731864929
26	872.19006	363.06522	1760.0717	407.65265	930.7809	596.8462	2435.0728	525.7541	319.8	344.0	129999	125.92853	39.586197	228.6085	-105.11733	125.9267	39.590733	230.81682	-72.70102	0.9751839	3.5516713	72.3119	-13.72967	-126.57355	93.23192	56.144855	1198.9695734977722	46.11421446616833
27	1225.3368	813.39734	2999.2222	102.410126	1046.1211	642.04114	2647.3525	533.5039	433.58334	369.0	134999	126.65594	40.193317	235.86511	-110.2791	126.65501	40.200775	236.02629	-96.629524	1.0734463	3.55874	90.85193	-13.618168	-127.27955	92.77316	56.037025	1245.6576673984528	46.13546926886947
28	1157.2369	595.4011	1949.5139	92.52608	1503.5828	775.543	3089.0698	661.3087	444.9091	488.2	139999	128.0985	40.62066	240.49382	-81.6025	128.0961	40.62668	236.40932	-96.95534	1.1512343	3.5605414	49.549805	-15.347626	-128.65771	97.08308	58.819763	1292.8641729354858	46.17372055564608
29	1985.903	799.261	2844.124	633.0091	1836.0862	782.1548	2939.9314	346.61447	742.8571	661.1	144999	129.2904	41.14755	245.28091	-82.064674	129.28961	41.1425	242.54646	-80.145615	1.1560183	3.5461404	51.04163	-13.465318	-129.86107	99.97717	60.729664	1340.8130836486816	46.23493403401868
