Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time	AVG Time Per Epoch
19	-14.158884	3.4133584	-8.715754	-24.85412	-6.1263514	2.3712888	-2.4957657	-9.907335	50.0	50.0	94999	-9.094474	2.912824	9.782614	-24.851027	-9.094683	2.9141498	8.686533	-24.125416	-0.0033759857	0.93507475	11.697726	-13.468872	9.093297	1.9641135	738.6558587551117	38.876624270489344
20	-14.093291	3.1260304	-6.5722756	-22.29037	-5.3774614	2.7063878	-2.3225174	-10.871235	50.0	50.0	99999	-8.999721	2.9133363	5.8912306	-23.694206	-9.000128	2.9132974	7.827129	-22.56409	-0.0039778487	0.9429982	13.040155	-13.798304	8.998735	1.9437664	776.5776665210724	38.82888344526291
21	-14.187399	2.8990378	-8.572582	-20.424616	-6.6643615	2.3717022	-4.0800695	-11.461246	50.0	50.0	104999	-8.950273	2.8495746	7.331194	-21.753109	-8.950195	2.8505473	7.1974583	-21.623592	-0.010213806	0.9433661	11.4933605	-10.470087	8.953785	1.911232	813.9091794490814	38.757580087298436
22	-13.70586	2.7654982	-8.756161	-21.413067	-6.621408	2.6823916	-3.7506545	-11.0820055	50.0	50.0	109999	-8.962354	2.8696246	4.6358504	-24.252556	-8.962558	2.8710363	6.652063	-23.619518	-0.015911939	0.93444264	10.097336	-11.107414	8.972246	1.919127	850.2276785373688	38.646712769161574
23	-14.376553	3.3126724	-8.199922	-26.693352	-8.740416	2.6230931	-4.6139827	-12.472453	50.0	50.0	114999	-8.888448	2.8912363	7.1391497	-22.54742	-8.88827	2.89371	7.6814537	-22.276003	-0.011779616	0.93394667	12.414778	-11.782348	8.901612	1.8807633	887.9127640724182	38.604902889417566
24	-14.000019	3.1965084	-9.458964	-25.538885	-6.7100067	2.7700272	-3.8240652	-13.290435	50.0	50.0	119999	-8.839186	2.8912537	6.918519	-21.7282	-8.839106	2.8933334	8.784771	-22.308575	-0.004559122	0.93836516	10.893543	-10.188963	8.851564	1.8605211	925.7230653762817	38.57179448008537
25	-13.6086855	2.5155058	-7.2516513	-18.913788	-7.0415244	2.567233	-2.9269588	-11.475244	50.0	50.0	124999	-8.725683	2.8378727	6.196903	-20.653791	-8.725767	2.8394315	7.1112905	-20.832756	-0.002175798	0.9322438	13.956415	-10.853249	8.737103	1.8347343	959.4481339454651	38.37792544364929
26	-14.235407	2.833697	-8.552705	-22.87856	-6.8225265	2.4952376	-2.8496592	-10.477673	50.0	50.0	129999	-8.696382	2.8173285	11.566699	-21.722046	-8.696433	2.8197904	12.412756	-20.980808	-0.0059452425	0.9319705	16.669065	-10.591029	8.713057	1.8185123	997.8155000209808	38.3775193141057
27	-14.52412	2.6486213	-9.0528555	-19.575428	-6.813132	3.1620173	-2.5379703	-13.368587	50.0	50.0	134999	-8.636859	2.817302	10.533825	-20.94011	-8.637017	2.8179772	8.91103	-21.473991	-0.008476433	0.930522	11.898013	-11.638945	8.653246	1.7740047	1036.1404159069061	38.3755710389879
28	-14.208236	3.4540744	-8.005307	-32.090687	-8.327815	2.6847706	-3.2655773	-13.305442	50.0	50.0	139999	-8.579165	2.817217	7.915429	-20.062216	-8.579385	2.817794	6.509606	-20.914743	-0.006046565	0.92405957	19.925095	-11.534488	8.5997505	1.7499532	1072.232624053955	38.2940223642758
29	-14.490168	2.8386724	-8.4421625	-21.854435	-7.0128984	2.6242762	-3.6726894	-11.306255	50.0	50.0	144999	-8.588911	2.8050401	9.843172	-20.933647	-8.588927	2.8077793	8.556761	-21.270428	-0.003915097	0.9228992	9.521431	-12.50737	8.608297	1.7616769	1108.709346294403	38.23135684276449
30	-14.32738	2.814327	-9.438155	-21.375423	-6.2107525	2.1498506	-4.564497	-11.3420725	50.0	50.0	149999	-8.487338	2.7728698	7.037587	-23.131231	-8.487332	2.774502	7.014365	-20.738583	-0.0025910144	0.93136054	17.86	-10.5256	8.506834	1.7419366	1142.9340193271637	38.097800715764365
31	-14.62942	3.5301275	-8.635062	-26.540445	-5.8091063	3.217071	-2.308947	-10.263103	50.0	50.0	154999	-8.479514	2.7490854	10.877387	-20.90524	-8.479471	2.7504966	10.303379	-20.380863	-0.0067650587	0.9289066	23.348488	-11.211108	8.500273	1.7316093	1177.6849057674408	37.98983573913574
32	-14.632118	3.1774921	-8.894462	-24.175293	-7.055677	2.279263	-4.7355576	-12.283277	50.0	50.0	159999	-8.527437	2.7693071	7.8156734	-20.770296	-8.527507	2.7709458	9.3726225	-22.6781	-0.0030113952	0.92697304	17.231005	-10.306927	8.551	1.7747973	1212.5713295936584	37.89285411685705
33	-14.057201	2.881818	-8.017428	-20.241781	-7.3274	2.6963017	-2.5439498	-10.822756	50.0	50.0	164999	-8.498137	2.806636	10.817047	-20.748959	-8.498106	2.8093648	10.291464	-21.801432	-0.004932718	0.9265602	22.231047	-11.82499	8.522591	1.7322016	1247.3019380569458	37.797028483766496
34	-14.483334	2.3756626	-9.41922	-20.408606	-6.634683	2.8756816	-2.3694983	-13.328002	50.0	50.0	169999	-8.447506	2.8311398	9.668933	-20.830832	-8.447423	2.8326416	9.218039	-22.037498	-0.002304832	0.9256406	29.96842	-13.371355	8.472956	1.7397254	1282.462648153305	37.71948970065397
35	-14.199647	2.377458	-8.423003	-20.161781	-6.2467823	2.1484451	-3.420519	-10.541268	50.0	50.0	174999	-8.389525	2.8052173	10.7223215	-21.933342	-8.389562	2.807723	12.559715	-21.689499	-0.01337135	0.9206337	11.015818	-12.618673	8.414071	1.7140149	1315.2526178359985	37.57864628519331
36	-14.043283	2.4747179	-9.700689	-20.08555	-6.4952407	1.9623016	-2.8858304	-10.220628	50.0	50.0	179999	-8.350022	2.7883143	8.5464325	-21.19985	-8.350066	2.7895052	7.932184	-20.71411	-0.008767758	0.92243093	20.38069	-11.659983	8.37625	1.6944388	1348.343544960022	37.453987412982514
37	-14.196395	2.5271113	-9.887663	-23.18786	-6.352002	2.1423767	-2.960504	-10.258802	50.0	50.0	184999	-8.340667	2.7979343	10.794394	-22.836876	-8.340772	2.7997758	6.5008855	-20.81886	-0.0021681243	0.92940384	34.2805	-12.965528	8.367525	1.6669074	1381.8194017410278	37.34647037531879
38	-14.484605	2.0781822	-9.938787	-19.255749	-5.7772837	1.5429155	-3.1846354	-9.096477	50.0	50.0	189999	-8.305312	2.81458	11.229606	-25.218918	-8.305282	2.8168454	11.141837	-23.37604	-0.010878128	0.91780406	16.368542	-10.672352	8.330869	1.6832551	1416.3159215450287	37.2714716697994
