Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time	AVG Time Per Epoch
21	487.0152	269.15073	1308.7435	165.04185	892.2287	555.5643	2241.0872	315.96786	224.05	360.7	104999	129.6546	37.66711	222.48389	-105.8776	129.65448	37.67161	224.97998	-109.09658	0.26582327	3.3614688	54.631332	-14.97821	-130.6572	39.517727	822.8597004413605	39.18379536129179
22	598.1654	415.94846	1957.9573	136.83186	613.8479	173.04959	878.29065	357.92313	251.4	243.0	109999	134.39442	38.748722	226.82663	-100.363045	134.39429	38.756958	228.62924	-67.32611	0.42334798	3.3785536	44.718727	-16.39467	-135.41122	40.535957	862.9996984004974	39.22725912657651
23	839.2629	583.86035	2604.6267	159.29816	1078.5867	547.51587	2024.615	436.497	335.93332	389.5	114999	138.0485	40.394623	225.94896	-75.90959	138.04977	40.39651	230.65005	-83.274376	0.52380025	3.4094312	59.1168	-15.190973	-139.03795	41.725906	902.4350402355194	39.23630619049072
24	932.5926	393.86353	1583.6332	348.4589	1554.0856	911.5545	2831.9539	507.02936	349.06668	574.7	119999	141.70631	41.48032	231.05219	-56.888832	141.70679	41.48663	236.16905	-55.805992	0.66793674	3.4180076	51.5836	-12.828339	-142.70616	45.354458	943.0804929733276	39.29502062996229
25	1431.135	913.5074	2770.553	223.57175	1372.4192	716.6814	2398.8596	341.74338	533.55554	708.2	124999	145.51942	42.053864	238.24437	-92.86764	145.51985	42.06581	240.93622	-78.480545	0.6984526	3.4461348	42.626904	-15.965549	-146.49007	43.944263	983.9216961860657	39.35686792373657
26	1948.0497	895.7731	3016.6904	684.2537	2490.7974	674.26556	3145.065	1124.3154	683.8571	809.1	129999	149.64928	42.590492	247.15703	-93.6693	149.65016	42.594387	246.88823	-57.47444	0.6930179	3.4630792	54.342293	-12.334012	-150.62727	43.972004	1027.2592480182648	39.509971160155075
27	1470.2413	1002.26886	3252.755	336.434	2023.0195	853.0807	3049.5059	845.2757	505.45456	678.1	134999	153.97589	43.95086	260.98245	-81.81804	153.97629	43.95775	257.8008	-65.73715	0.73912513	3.4573557	45.477512	-14.307849	-154.9291	43.949394	1068.1735515594482	39.56198347056353
28	1567.0043	1250.1166	3274.8005	290.83115	2541.3599	858.3702	3678.6196	883.7894	580.25	822.3	139999	158.47014	44.541862	281.40536	-68.0904	158.47063	44.542583	280.7929	-77.618164	0.74685335	3.4592364	46.176857	-14.485451	-159.40654	44.9047	1110.0112736225128	39.643259848867146
29	1717.6976	1076.1525	3474.7874	205.05536	234.77312	5.899277	242.6682	221.27301	584.1111	110.1	144999	162.56389	45.617935	288.5955	-211.43658	162.5651	45.620407	286.59283	-170.54565	0.7608143	3.4848902	47.139202	-13.801199	-163.44655	47.605705	1148.6008899211884	39.60692733731763
30	2166.4094	873.5038	3426.8372	825.15295	1696.595	822.31714	3271.7427	872.3337	736.0	488.5	149999	165.8588	46.94231	291.57605	-86.85572	165.85864	46.93801	290.37253	-228.78287	0.820764	3.5015135	49.268127	-14.854174	-166.72458	49.585567	1188.697928905487	39.623264360427854
31	2035.6763	1103.8464	3449.8813	440.41177	1801.417	994.30835	3243.7827	675.5185	628.375	593.2	154999	170.3076	47.72723	291.40805	-116.084	170.3082	47.728237	291.93964	-130.03554	0.89388794	3.5213656	73.921394	-14.916161	-171.1686	51.808723	1229.6974740028381	39.66766052861367
