Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossQReg	Time	AVG Time Per Epoch
1	-310.0755	80.75955	-163.21297	-403.5958	-29.9829	0.87837774	-28.408117	-31.224371	1000.0	1000.0	4999	1.9839275	1.9322808	13.434213	-4.123225	1.9840156	1.9328933	13.25152	-3.8305418	-3.1976826	1.3517418	5.6818733	-10.752926	-2.903841	0.67686135	0.36807176	32.230175733566284	32.23017716407776
2	-345.5496	39.02915	-276.49744	-384.416	-82.519424	1.2798116	-80.490906	-84.91889	1000.0	1000.0	9999	5.94191	3.404595	21.569477	-5.6839447	5.942325	3.4031646	22.182148	-5.5610304	-2.4998527	1.8779877	13.161308	-12.351462	-6.9273815	1.709568	0.9667541	71.35546684265137	35.67773449420929
3	-216.27994	52.63774	-154.09991	-311.77704	-19.452183	17.194382	30.258621	-30.05209	1000.0	1000.0	14999	10.911875	4.069123	32.409748	-5.510511	10.911606	4.0679283	32.618355	-5.2357073	-2.1644802	2.079578	11.318898	-11.690774	-11.851137	2.888269	1.6614587	112.21381425857544	37.40460538864136
4	-102.2489	58.440712	-5.7708817	-173.32661	31.159613	24.266235	76.922485	6.1840005	1000.0	1000.0	19999	14.427261	5.1482897	40.732548	-1.063235	14.426973	5.1480045	40.308743	-1.0890782	-2.4403427	2.069117	12.449442	-13.920628	-15.300165	2.7389104	1.5789639	154.8644256591797	38.71610689163208
5	4.949255	52.968132	99.66625	-41.94507	420.26105	258.68054	895.8182	66.923676	1000.0	1000.0	24999	17.726307	6.306498	45.605915	2.4778745	17.726135	6.3070087	45.800777	2.0054708	-2.5271654	2.0782154	14.316946	-13.397182	-18.55719	2.6896586	1.5421262	198.0941083431244	39.61882200241089
6	220.49092	81.95407	374.7569	143.52551	598.5925	354.13455	884.478	31.761461	1000.0	1000.0	29999	21.194221	7.4080396	57.73415	5.553597	21.193922	7.4084663	57.3233	5.5704117	-2.5008833	2.0571907	14.834717	-12.74575	-21.982542	2.8381145	1.6232119	242.96132063865662	40.49355375766754
7	637.89813	286.68903	1163.644	386.74667	1843.6101	309.37387	2106.953	967.7259	1000.0	1000.0	34999	25.690298	9.1857605	73.20176	8.673791	25.690125	9.185968	73.54218	8.316185	-2.312317	2.0447474	12.032964	-15.149214	-26.401827	3.5154603	2.024192	286.9050121307373	40.986430644989014
8	1067.5453	376.06995	1783.7413	670.74664	2375.4392	336.41327	2780.5857	1636.8618	1000.0	1000.0	39999	31.623238	12.321897	87.348885	12.045526	31.623154	12.3218	86.70247	12.074394	-1.851655	2.2397332	13.732744	-12.860326	-32.307873	4.5423546	2.6391258	332.0923795700073	41.51154774427414
9	1691.9619	618.8496	2402.2305	608.7473	3061.5713	494.60068	3424.8203	1784.1903	1000.0	1000.0	44999	38.995358	16.58424	99.785866	15.306181	38.9952	16.584461	100.31084	14.628154	-1.4055972	2.4499373	14.4989605	-14.262215	-39.6706	5.7523165	3.3574235	374.04366660118103	41.56040761205885
10	1303.9021	567.1648	2395.3438	814.00714	3417.1313	91.33631	3523.443	3203.3137	1000.0	1000.0	49999	47.26384	21.234032	122.58954	19.06408	47.26355	21.234745	123.00381	18.450378	-1.0525144	2.7090218	16.697546	-12.787555	-47.858013	6.9549866	4.067822	415.10677337646484	41.51067757606506
11	3103.6504	761.1702	3712.7678	1612.1311	3923.159	844.649	4411.521	1636.8372	1000.0	1000.0	54999	57.66329	28.134506	142.53876	23.105265	57.662792	28.135885	141.78516	23.01659	-0.6426589	2.9528596	19.281591	-17.874668	-58.214283	9.11114	5.3603725	455.9002161026001	41.44547438621521
12	2955.3218	1064.5729	3839.8867	1451.6676	4464.278	121.69325	4604.378	4204.003	1000.0	1000.0	59999	69.85836	35.5825	161.92299	26.4402	69.85832	35.583393	161.55351	25.304657	-0.21877047	3.2501302	22.869415	-12.416812	-70.41302	12.25692	7.1238327	497.45379185676575	41.45448283354441
