Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time	AVG Time Per Epoch
1	2.3755057	5.48129	25.52047	-9.824811	132.1869	86.12406	369.29373	56.543327	21.148306	221.7	4999	44.87783	51.090942	282.5345	-96.915146	-58.19835	33.31639	29.12861943244934	29.128621816635132
2	2.0476036	5.2469025	23.781065	-11.53789	-9.973243	0.097868785	-9.79489	-10.1455145	20.341463	13.0	9999	362.27435	171.20222	774.5299	-444.21255	-420.1309	1015.8602	64.36690926551819	32.18345582485199
3	9.826837	80.85123	521.1979	-90.321144	-7.1361074	1.4225789	-4.332231	-9.040779	57.55814	59.2	14999	529.41113	188.64058	864.01294	-361.80447	-580.733	2408.826	101.50019073486328	33.83339754740397
4	4.9038153	55.343994	356.56485	-42.586666	79.932686	101.19476	375.27444	-8.897644	59.63095	112.4	19999	628.7736	211.22736	1265.2014	-420.37744	-683.9742	3956.5125	138.64572644233704	34.66143208742142
5	90.41757	168.43263	987.6451	-42.143723	9.008348	104.67316	310.2892	-97.73966	130.60527	115.9	24999	974.91516	331.14713	2136.617	-1390.7235	-1060.906	9018.988	176.376647233963	35.27532982826233
6	59.47504	105.1802	406.8598	-80.986725	19.33524	75.80069	201.67632	-43.55006	114.65909	162.5	29999	1400.2437	418.82584	2492.1057	-1033.7079	-1503.2992	15699.662	214.12245297431946	35.68707585334778
7	-3.1216621	49.071194	213.69826	-89.92931	-14.883519	3.3698428	-8.736963	-19.296854	81.491806	51.3	34999	1736.6652	530.97314	2983.6794	-1225.101	-1850.9028	20941.875	251.09349179267883	35.87049913406372
8	47.53604	117.45411	611.47015	-81.69184	-12.782625	3.0211499	-7.6490726	-17.103174	87.01724	48.7	39999	2062.574	647.3172	3675.3823	-2224.729	-2193.2695	33491.758	288.8982672691345	36.112283647060394
9	61.98982	118.68549	438.3951	-211.00554	335.65805	310.18567	988.34283	22.098064	112.15909	319.4	44999	2405.1685	796.17303	4864.7866	-2259.7183	-2549.0564	41228.84	327.41885566711426	36.37987306382921
10	126.311966	71.57367	271.39328	0.051715706	133.91672	285.46606	978.4093	-26.18426	141.68965	237.3	49999	2783.984	936.04266	5136.6787	-1813.1097	-2939.6016	51142.316	365.80576729774475	36.58057694435119
11	105.1203	184.9726	902.93054	-67.41366	4.337515	53.33019	131.8892	-66.36233	148.825	115.2	54999	3158.8867	1058.3673	5408.356	-2622.2244	-3323.5647	58029.0	403.74352502822876	36.70395705916665
12	134.02121	176.54317	724.7424	-120.47381	109.36072	186.94496	417.17056	-47.00515	177.73077	158.1	59999	3397.0425	1198.4363	5710.493	-4230.158	-3564.1675	58828.258	441.7820556163788	36.815171460310616
13	91.67536	162.33847	926.43427	-63.182926	60.41491	77.98036	233.9704	-40.41805	125.28571	132.8	64999	3540.5764	1295.6777	6330.4565	-3645.4377	-3704.0251	60326.38	479.90685081481934	36.91591174785908
14	130.3766	150.32616	615.34705	-45.640392	34.39264	90.38044	161.5432	-120.25837	176.65517	149.2	69999	3599.81	1346.1152	6605.1562	-5687.676	-3763.84	67271.984	518.0065152645111	37.00046552930559
15	99.79315	108.64796	415.97678	-32.675007	430.12946	74.187256	578.42426	325.15732	127.6579	309.3	74999	3753.4065	1396.2993	6939.609	-4644.861	-3923.7144	78244.586	556.8781328201294	37.12520899772644
16	154.44128	95.129555	407.83044	5.052868	192.55846	119.56421	424.7069	17.991566	142.94286	144.1	79999	3910.4	1426.3077	6482.3374	-2671.089	-4085.6936	80173.06	595.6763496398926	37.229771971702576
17	145.32973	91.497765	381.6192	-6.464635	207.78543	254.0578	868.7473	-53.99832	150.26471	240.4	84999	3974.4912	1444.7034	6550.893	-2853.2954	-4144.271	76079.625	634.4959070682526	37.32328876327066
18	90.992294	152.49281	684.7042	-52.18398	26.694248	125.499855	183.06068	-298.96545	126.25	155.0	89999	3967.4602	1434.5994	6696.6704	-4261.989	-4137.028	83159.195	672.7031672000885	37.372398283746506
19	107.19016	152.28589	482.14853	-72.18776	283.23773	363.44193	1004.2263	23.974495	198.2	344.7	94999	3996.47	1430.4602	6454.8228	-11034.188	-4161.781	81340.71	712.0313503742218	37.475334343157314
20	113.31618	137.18306	438.32037	-179.35951	187.81166	201.99495	574.8791	-1.5133542	147.87878	138.7	99999	4013.8196	1429.9288	6455.4727	-3479.0935	-4175.1206	83805.12	749.9823434352875	37.49911727905273
21	164.19766	226.54185	851.24396	-79.628426	111.3588	94.31179	211.5649	-53.906883	186.40741	193.6	104999	4028.0312	1418.0542	6505.607	-4207.738	-4193.323	86242.29	788.7973001003265	37.561776320139565
22	137.22258	120.487564	415.09686	-121.593216	162.08945	261.0947	912.3677	18.610168	205.24	193.2	109999	4024.6868	1413.5637	6738.6777	-3126.1604	-4183.844	84162.84	827.5102276802063	37.61410134488886
23	170.71155	169.85605	558.2813	-77.265274	247.42374	274.7437	1005.15436	22.284042	212.86957	276.8	114999	3979.84	1403.3744	6704.7456	-9431.593	-4130.964	81814.47	866.5193476676941	37.67475432934968
24	156.47731	179.90298	563.13416	-181.2355	310.51248	177.57933	604.389	102.38022	172.89655	240.6	119999	3932.518	1379.6322	6683.903	-9493.737	-4078.8184	81699.74	905.6795899868011	37.73664968212446
25	194.22546	297.6694	948.47363	-33.989155	249.38594	209.78421	831.87866	44.184258	263.8421	286.1	124999	3880.1663	1353.2836	6491.29	-3799.588	-4021.3423	74627.234	945.0484392642975	37.801937656402586
26	149.69727	170.97777	747.77246	-64.49396	98.30452	119.74422	275.94357	-48.25177	231.05	189.2	129999	3861.5999	1335.1895	6210.63	-2903.51	-4002.6672	72793.72	983.4261178970337	37.82408154010773
27	95.05446	88.21307	317.41977	-29.850403	225.08987	74.11687	318.56485	96.11836	187.0	132.8	134999	3847.1313	1324.7197	6213.1577	-5178.963	-3985.9863	71626.336	1022.0242373943329	37.85274962142662
28	164.04024	122.0714	466.66446	-38.111507	253.6188	243.27666	774.3241	-3.455832	147.11765	285.9	139999	3783.9355	1311.606	6179.8145	-4821.64	-3914.619	68301.74	1061.3909776210785	37.906820714473724
29	81.64791	101.231	298.18826	-160.12128	213.6803	69.55501	346.19016	72.77765	143.51428	194.6	144999	3696.0144	1278.847	5863.508	-2735.8428	-3822.0493	66834.38	1099.672636270523	37.9197461605072
30	180.22557	180.35152	752.39685	-5.2681413	334.8955	439.3914	904.47577	-156.84222	250.25	441.3	149999	3582.02	1230.4901	5521.578	-5032.167	-3704.9167	70068.47	1139.7463986873627	37.99154668649037
31	84.234886	174.4374	630.03033	-168.79253	318.48013	249.68372	806.81366	61.926823	208.04167	350.3	154999	3496.5984	1206.8624	5374.5063	-3491.6038	-3618.3809	67204.13	1179.1528437137604	38.037188591495635
32	143.53821	122.95634	369.53595	-6.82964	238.77884	142.48227	556.82825	72.9794	155.83871	240.3	159999	3477.951	1202.644	5581.577	-5571.473	-3598.8655	66866.99	1218.242538690567	38.070079393684864
33	241.3348	162.37813	639.72925	25.556269	88.5734	135.44917	249.07504	-180.60135	215.33333	262.3	164999	3490.7996	1199.9972	5565.2993	-3942.8643	-3609.4824	64693.37	1257.3332674503326	38.10100817680359
34	177.66023	131.41107	479.71176	-121.886795	131.71292	128.87419	436.30524	10.823203	200.08333	122.8	169999	3442.76	1201.7122	5500.645	-3577.7827	-3558.1223	61287.438	1295.727159500122	38.10962239433737
35	172.4435	144.69844	530.52795	-1.5599474	153.09114	137.75833	432.37787	2.0609257	179.32143	195.6	174999	3392.7048	1184.4792	5428.5737	-3051.2507	-3505.66	64024.992	1334.5872507095337	38.131064367294314
