Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time	AVG Time Per Epoch
20	3098.4612	2127.1296	9333.239	688.7454	9325.584	0.25089827	9326.053	9325.2	332.53333	1000.0	99999	792.6535	265.98117	1110.1548	-2.189063	792.65436	265.98755	1129.123	-2.1749988	1.9897884	1.3568714	18.083866	-9.758712	-806.7485	331.5653	836.1533536911011	41.807667791843414
21	4960.282	3338.9148	9335.116	1063.7032	9331.497	1.3336359	9334.175	9328.82	531.55554	1000.0	104999	798.5023	262.55624	969.5877	-4.699232	798.5032	262.55994	968.00525	-3.174304	2.0853357	1.3746283	22.839233	-8.400017	-811.9564	369.32028	879.5122463703156	41.881535654976254
22	4759.807	2647.1477	9335.4375	1557.3812	9314.432	0.27076524	9315.093	9314.12	510.2	1000.0	109999	804.50256	258.7951	989.5797	-2.3914928	804.50415	258.7939	967.9994	-1.2373813	2.0159342	1.376405	19.156857	-10.060529	-817.1446	364.42877	922.7546691894531	41.943394140763715
23	5461.017	3879.7998	9316.06	623.70996	9306.124	0.4305553	9307.033	9305.696	586.25	1000.0	114999	813.13226	255.78378	999.35016	-14.293509	813.13135	255.76756	965.3003	-3.674887	1.9787085	1.3406172	20.984003	-8.532857	-825.87054	337.51926	966.1435408592224	42.00624101058297
24	3607.7534	2643.2542	9311.921	669.79767	1686.237	2541.4026	9310.08	802.75385	387.35715	180.9	119999	819.4645	253.48586	1000.5064	-8.464261	819.465	253.47865	975.04987	-4.0045424	2.0206814	1.383199	23.63982	-10.354725	-831.4191	377.77985	1005.8155200481415	41.908980091412865
25	5647.0024	3569.7246	9316.335	605.05	9308.663	14.342597	9351.688	9303.696	606.2857	1000.0	124999	821.15515	252.21973	1015.4688	-3.9119306	821.15436	252.21992	1017.1131	-3.0392988	2.0320897	1.4082589	20.596802	-9.044987	-832.6143	373.53094	1049.3214445114136	41.97285785675049
26	5104.5645	3236.5786	9321.894	978.5759	9310.256	13.9706	9352.162	9305.216	547.8889	1000.0	129999	824.95306	249.22134	1032.9784	-3.8497849	824.95526	249.2031	1037.2208	-3.0668654	2.1624932	1.3960952	22.543264	-8.962667	-836.2073	374.74805	1092.519569158554	42.019983511704666
27	2838.49	2104.7178	9315.541	641.64044	9304.397	0.30788556	9305.161	9303.96	304.6842	1000.0	134999	831.27374	246.52269	1016.26227	-4.042988	831.2764	246.52815	1005.4148	-4.475011	2.3058143	1.4034789	17.260532	-8.337735	-841.993	445.03854	1135.6207437515259	42.06002762582567
28	2767.502	2778.9897	9315.291	678.3613	9313.848	19.062702	9351.999	9303.694	297.0625	1000.0	139999	832.1597	247.64587	1014.89856	-7.634921	832.1648	247.55623	1051.5765	-7.1826506	2.2757964	1.4782535	32.074104	-9.020243	-842.2061	448.0658	1178.8533828258514	42.10190660612924
29	3806.8923	2733.255	9325.319	641.52386	9325.093	9.687338	9344.283	9318.263	408.46155	1000.0	144999	829.56006	243.39795	1000.97455	-6.7942076	829.5581	243.35867	1006.2806	-5.45572	2.2010095	1.5224673	26.596788	-11.348915	-839.0792	482.6417	1222.069636106491	42.140332361747475
30	2549.123	1895.1495	7111.0176	502.21396	5974.802	4097.5005	9316.618	634.4239	273.5	641.4	149999	828.30475	239.461	1066.2618	-12.282522	828.30225	239.4834	997.60736	-10.216781	2.2372775	1.542614	19.130293	-8.509381	-837.5532	527.4864	1263.591367483139	42.119712320963544
31	2413.3218	2224.822	9306.519	631.87665	9307.344	2.2333186	9313.351	9305.622	259.0	1000.0	154999	826.3248	238.26505	1048.8542	-9.196939	826.32007	238.25223	1067.0791	-9.395356	2.3618264	1.595379	18.98854	-11.408081	-835.1884	545.4426	1307.045904636383	42.1627711942119
32	3064.3696	2795.7717	9330.742	706.4456	8486.13	2462.4973	9307.564	1098.6383	328.9375	911.8	159999	827.6171	236.55986	1075.9899	-9.681158	827.6116	236.5861	1004.1098	-7.332853	2.489283	1.6130487	27.845274	-9.693737	-836.0961	582.28436	1349.5450344085693	42.17328239232302
33	2933.5308	2403.0825	9311.943	567.062	9332.6	22.364874	9351.32	9304.191	314.75	1000.0	164999	829.3971	235.62639	1026.2405	-11.429305	829.3989	235.74648	1101.2144	-4.610192	2.4702597	1.6052586	24.220306	-10.288551	-837.4563	604.4937	1392.0733053684235	42.18403962164214
34	6488.462	2567.7163	9352.025	2626.9004	9310.714	3.5977697	9320.332	9307.689	694.7143	1000.0	169999	825.3789	235.34769	1078.7626	-7.8012424	825.37604	235.54195	1076.0775	-6.5252585	2.4609783	1.5885496	39.828743	-8.867445	-833.182	529.02423	1435.23686170578	42.21284894382252
35	5270.8047	2436.566	9338.296	2686.403	9311.99	13.343738	9351.638	9305.14	565.1111	1000.0	174999	824.79956	232.74033	1241.2982	-13.033012	824.8006	232.79941	1355.1025	-8.424933	2.3774621	1.5437541	16.573513	-9.865399	-832.2242	594.2779	1478.2231817245483	42.23494811058045
36	4821.0376	3097.287	9320.464	1163.8384	9310.703	0.29068035	9311.488	9310.328	516.8889	1000.0	179999	824.4927	229.19073	1206.4343	-6.4260263	824.49585	229.16795	1232.2198	-11.269939	2.3797188	1.5494975	22.576006	-11.75782	-831.6736	588.5518	1521.5920464992523	42.266445795694985
37	6302.1074	2652.8997	9334.727	2694.0613	9307.986	0.19495083	9308.304	9307.511	675.625	1000.0	184999	823.0685	226.33669	1168.3188	-5.6863513	823.06696	226.35419	1156.233	-10.084669	2.244027	1.5232728	28.90099	-9.3717985	-830.07855	623.3485	1564.4974551200867	42.28371506123929
38	5054.4053	3216.764	9332.076	1007.1503	9344.018	13.568086	9351.146	9316.759	542.3333	1000.0	189999	824.1805	221.71355	1174.1316	-11.037513	824.18054	221.72029	1134.0525	-13.623356	2.275336	1.5129044	41.132202	-9.257248	-831.00085	633.3195	1607.6723432540894	42.30716698420675
39	3012.0044	2139.8293	9344.74	802.54785	9352.98	0.2826515	9353.225	9352.222	322.64706	1000.0	194999	825.92065	220.16936	1202.7509	-8.234959	825.91736	220.13535	1112.7316	-11.605925	2.2518616	1.4637469	45.979496	-10.96445	-832.4149	671.8361	1650.5853564739227	42.32270149695567
40	2461.2903	1838.8707	7905.97	755.73804	6902.8506	3742.2432	9352.659	976.69824	263.41177	738.3	199999	822.60895	222.42758	1107.994	-22.659555	822.6105	222.45879	1194.4152	-19.295609	2.4292743	1.5049601	30.12464	-8.974117	-829.0307	634.4557	1692.2254347801208	42.305635917186734
41	3454.804	1810.7197	6944.759	1399.1785	905.35333	58.962772	1017.1455	811.7424	369.73334	97.0	204999	822.4448	221.79778	1101.594	-22.339506	822.4388	221.8915	1120.9215	-28.22122	2.330255	1.4601823	25.81379	-11.47271	-828.655	651.8192	1731.1711399555206	42.223686392714335
42	3927.485	2455.678	9348.868	1232.3055	9350.456	0.13333637	9350.61	9350.199	420.27274	1000.0	209999	820.133	223.78482	1180.092	-21.304392	820.1313	223.87831	1131.5728	-19.650736	2.4636633	1.5372062	26.800764	-7.9346437	-826.0151	634.3402	1774.6398746967316	42.253330406688505
43	3518.319	2236.0686	8021.312	808.70483	9350.873	0.08368918	9350.9795	9350.725	376.5	1000.0	214999	819.98785	222.36314	1106.5793	-15.953672	819.9953	222.42781	1046.4218	-16.330256	2.3993022	1.4532514	27.89402	-9.422792	-825.9475	645.6574	1817.661273241043	42.271192445311435
44	3834.258	2861.29	9350.953	1081.8331	9350.885	0.105748236	9350.979	9350.644	410.33334	1000.0	219999	820.91797	219.81586	1178.0927	-58.605305	820.91974	219.8374	1177.3496	-38.75717	2.3655748	1.4610777	27.42427	-9.864275	-826.7449	647.1954	1860.6706449985504	42.28796929662878
45	3966.9514	2444.6726	9337.886	1363.3688	8539.111	2433.4624	9350.704	1238.7242	424.58334	913.3	224999	817.88495	216.28294	1041.0463	-11.935706	817.8823	216.2753	1240.3923	-22.480062	2.315735	1.501283	45.29265	-9.217925	-823.24286	713.1019	1903.5020275115967	42.30004515118069
46	5051.5884	2695.2444	9333.215	1494.3207	9351.274	0.12627523	9351.447	9351.068	540.7778	1000.0	229999	814.7522	213.636	1029.2754	-44.311016	814.7541	213.59534	1107.2439	-18.535309	2.2875514	1.5286393	38.565228	-9.140144	-820.0605	694.7949	1946.567798614502	42.31669132605843
47	3050.9849	2097.2424	9351.287	1260.9126	9351.018	0.12100354	9351.143	9350.778	326.53333	1000.0	234999	813.9973	211.95908	1047.5073	-15.554556	813.996	211.91232	1039.4098	-19.4887	2.3714964	1.4670686	23.058018	-9.703493	-818.7132	660.7166	1989.5891902446747	42.33168494447749
48	4052.1152	3276.4126	9349.88	1410.1378	9347.637	2.0121617	9350.818	9345.822	433.75	1000.0	239999	806.97064	213.86794	1078.942	-44.86848	806.97705	213.9751	1109.6396	-19.50362	2.3543036	1.5340582	30.528313	-11.9289055	-811.4513	658.5681	2033.0437879562378	42.35507899026076
49	4054.4617	2698.6716	9349.587	1223.2958	9351.2705	0.17265697	9351.503	9350.892	433.81818	1000.0	244999	805.0842	211.05411	1073.7932	-34.49388	805.0923	211.11198	1067.2639	-32.077457	2.325341	1.4834763	28.66658	-11.767179	-809.90485	629.7683	2075.815465927124	42.3635809859451
50	4514.756	2384.4524	9350.732	2093.1194	9352.477	0.20104787	9352.687	9351.979	483.0909	1000.0	249999	806.32544	207.20369	1028.2773	-34.92905	806.33484	207.2004	1034.214	-14.801002	2.3159504	1.5139295	31.473139	-10.606766	-810.9952	590.95825	2119.533710002899	42.390674242973326
51	4504.128	3211.6787	9350.084	1568.9368	9351.224	0.13603029	9351.335	9350.835	481.9	1000.0	254999	805.40314	205.36221	1117.1392	-46.891376	805.40704	205.34245	1009.16724	-16.428576	2.236658	1.5451143	47.40091	-9.85834	-809.8998	578.2604	2164.0912997722626	42.43316280608084
52	6910.3413	3221.346	9350.723	1279.2648	9359.837	0.076152466	9359.899	9359.638	739.1667	1000.0	259999	804.8372	204.35854	1105.7705	-14.609294	804.83746	204.3939	1049.8773	-33.269653	2.2169838	1.483406	28.587612	-11.984698	-809.0278	610.3693	2207.802345752716	42.45773746417119
53	9350.231	2.2443376	9353.205	9347.528	9359.081	0.079496026	9359.185	9358.965	1000.0	1000.0	264999	805.3328	204.54163	1013.0028	-19.698133	805.3352	204.63428	1011.87506	-23.235992	2.275532	1.4535941	35.546387	-8.753925	-809.7503	566.0748	2252.0672693252563	42.49183530627557
54	9352.854	0.84186476	9353.721	9351.33	9359.365	0.25024858	9359.538	9358.639	1000.0	1000.0	269999	809.38306	204.74004	1120.5854	-29.941263	809.3832	204.77673	1023.2344	-34.26397	2.3172572	1.4219216	20.14413	-10.262438	-814.09467	565.6646	2295.9069979190826	42.51679629308206
55	9353.06	1.4961272	9354.417	9350.486	9359.557	0.14545734	9359.791	9359.357	1000.0	1000.0	274999	815.6988	202.00323	1028.1987	-24.070278	815.6989	201.99883	992.0204	-20.643204	2.2930903	1.4122415	25.881268	-10.146032	-820.178	533.6389	2340.407319545746	42.5528604073958
56	9353.026	1.0275025	9354.513	9351.377	9359.686	0.13329846	9359.938	9359.473	1000.0	1000.0	279999	818.90656	202.7574	1019.7069	-23.840315	818.9049	202.76363	1016.63196	-24.319672	2.2855098	1.3764237	27.72652	-9.63103	-823.4504	519.7836	2390.1094245910645	42.680525477443425
57	9355.681	0.82307476	9357.039	9354.605	9359.421	0.14654166	9359.623	9359.169	1000.0	1000.0	284999	826.1534	205.87112	1094.3385	-29.708256	826.1579	205.83893	1085.1249	-37.62014	2.4479978	1.2840273	26.614279	-10.224039	-831.14655	554.78906	2435.559156894684	42.72910804915846
