Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageQ3Vals	StdQ3Vals	MaxQ3Vals	MinQ3Vals	LossPi	LossQ	Time	AVG Time Per Epoch
18	29.396519	3.8173785	35.780277	26.616829	28.422216	3.2049417	34.868065	26.753576	3.3097286	3.2	89999	20.186543	9.622697	59.680367	6.2406473	20.186283	9.620319	60.18587	6.882349	20.186312	9.623025	61.185555	6.0828376	-19.412981	4.2657013	468.25116443634033	26.01395372549693
19	29.513195	3.8725135	35.754868	26.614738	27.612513	2.4189978	34.867508	26.703247	3.3235881	3.1	94999	20.131023	9.531198	60.253445	6.661326	20.130728	9.530145	59.215286	6.3504844	20.130842	9.529802	60.36618	6.9051924	-19.358267	4.2538166	494.5608129501343	26.029516571446468
20	29.27732	3.7684593	35.547916	26.603868	26.810604	0.06725539	26.863686	26.624271	3.295979	3.0	99999	20.09194	9.497236	57.88323	5.419991	20.091805	9.496595	58.009224	5.8797693	20.091738	9.495922	58.163998	6.6541452	-19.349627	4.2348413	521.006450176239	26.05032263994217
21	29.287136	3.7763057	35.611687	26.620802	27.600739	2.4278035	34.881466	26.65348	3.2968338	3.1	104999	20.028702	9.459328	59.52427	6.144236	20.028318	9.459363	60.004063	6.0803266	20.028744	9.455001	58.854412	6.377667	-19.311487	4.2521772	547.6263573169708	26.07744568870181
22	29.377975	3.8132358	35.57762	26.615427	27.64061	2.4159033	34.887444	26.749067	3.308201	3.1	109999	19.982954	9.395639	58.635246	4.727401	19.982883	9.396094	59.122494	5.9256	19.983128	9.392946	59.0935	5.9765916	-19.302313	4.2111883	574.1759417057037	26.09890657121485
23	29.291655	3.7756407	35.57365	26.635014	29.252975	3.686594	34.902832	26.780035	3.2974935	3.3	114999	19.956705	9.378696	60.105934	6.756094	19.956629	9.378928	60.0738	6.419922	19.956577	9.376225	61.455273	6.234491	-19.27854	4.2091174	600.7795886993408	26.120851765508238
24	29.336742	3.7944996	35.69375	26.620167	29.236698	3.692109	34.966885	26.69431	3.3031704	3.3	119999	19.919788	9.357857	60.25119	6.772277	19.919575	9.357887	59.82672	5.717895	19.919477	9.355765	60.786102	5.495737	-19.215534	4.249103	627.1154267787933	26.12980955839157
25	29.542656	3.8756123	35.54488	26.59238	26.81861	0.068417735	26.88531	26.680021	3.3275633	3.0	124999	19.882334	9.31089	61.265476	6.562544	19.882093	9.31147	61.94768	6.512438	19.882393	9.309167	62.743492	6.3202596	-19.21852	4.275114	653.6524562835693	26.146098337173463
26	29.244518	3.7564764	35.69614	26.603233	30.84401	4.025747	34.911636	26.765724	3.2916393	3.5	129999	19.853205	9.282565	58.162987	4.7679434	19.852951	9.28289	59.25964	6.1933765	19.852942	9.281399	58.710567	5.3642297	-19.192064	4.3094425	680.2332928180695	26.162819027900696
27	29.42018	3.8277762	35.59473	26.604523	26.817032	0.053107962	26.884329	26.720802	3.31279	3.0	134999	19.839518	9.265714	57.45264	6.5791526	19.83937	9.265819	57.940037	6.3665266	19.839333	9.264344	58.81102	6.2824936	-19.21438	4.2362742	706.9431114196777	26.183078280201666
