Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	Time Steps	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AVG Time Per Epoch
0	-442.20526	100.9695	-328.2374	-604.063	1000.0	0.04340505	0.20752345	0.7371828	-0.5283629	5000	4.913807e-08	1949.9088	-0.087053746	-1488.3198	0.9189437	0.016013447	0.3678	79.0	6.749520301818848	6.749521970748901
1	-431.83575	97.82896	-278.42346	-564.15656	1000.0	-28.771862	2.0407972	6.264234	-30.196764	10000	-1.4793873e-08	497.64825	-0.08772362	-205.87253	0.91378707	0.024005212	0.3828	79.0	13.313414335250854	6.656708121299744
2	-277.94928	41.073154	-232.52634	-345.22397	1000.0	-39.376064	7.470067	38.371525	-42.186615	15000	3.1793117e-08	304.3231	-0.083183	-174.73914	0.9039197	0.015417527	0.402	79.0	19.975220680236816	6.6584077676137285
3	-354.435	74.6021	-234.26562	-439.2246	1000.0	-29.285181	3.5744503	-6.5951767	-34.70672	20000	2.9039382e-08	236.6395	-0.096716106	-37.005875	0.89253664	0.025376271	0.4178	79.0	26.68887758255005	6.67221999168396
4	-275.55524	74.32338	-205.09976	-412.15652	1000.0	-32.391277	5.072937	20.10892	-36.696186	25000	6.723404e-09	256.3348	-0.0968111	-39.74974	0.88348776	0.032804042	0.4188	79.0	33.24070191383362	6.648140716552734
5	-186.1646	90.64391	-59.347557	-337.6359	1000.0	-26.517557	7.3470926	33.956875	-35.48441	30000	2.6273728e-08	292.36407	-0.09758058	-107.798294	0.8721601	0.03188542	0.4224	79.0	39.683449268341064	6.613908489545186
6	-180.32487	51.549736	-102.48669	-264.09888	1000.0	-18.145628	5.9910307	10.669579	-32.934505	35000	-1.5169382e-09	131.76167	-0.10012617	-16.244621	0.8654473	0.038565062	0.4346	79.0	46.473143577575684	6.63902074950082
7	-183.1154	87.66936	-12.92487	-258.6245	1000.0	-18.36365	4.171331	6.6185884	-32.03644	40000	1.1610985e-08	156.5966	-0.10270646	-16.956146	0.8583996	0.030803137	0.439	79.0	53.22862195968628	6.653578013181686
8	-156.25835	75.53644	-17.509262	-221.25569	1000.0	-19.415249	6.3979435	9.536134	-33.177338	45000	-1.31309035e-08	177.73242	-0.102458894	-38.07379	0.851455	0.035440084	0.4492	79.0	59.7462477684021	6.638472212685479
9	-126.62217	70.52179	-30.878296	-236.06194	1000.0	-13.122689	8.3764515	24.29578	-32.862392	50000	-8.481741e-09	170.02966	-0.104766324	-28.209045	0.841603	0.036610026	0.4626	79.0	66.60031986236572	6.660032248497009
10	-73.61145	38.977642	-28.05109	-121.66243	1000.0	-13.801003	8.392349	14.733647	-33.357197	55000	-2.9742719e-08	121.7997	-0.10342085	-49.91793	0.83256406	0.036437117	0.4466	79.0	73.38908267021179	6.671734939921986
11	-121.31456	28.831652	-95.5329	-167.18062	1000.0	-9.611538	5.8297286	6.469686	-29.679493	60000	-4.9829483e-09	172.18318	-0.106301285	-24.816483	0.825067	0.033567026	0.4666	79.0	80.23339986801147	6.686116834481557
12	-95.656876	25.231792	-77.68911	-145.56683	1000.0	-10.704311	6.7397337	10.902629	-30.704357	65000	1.3887882e-09	134.92232	-0.10658442	-18.52269	0.8145623	0.034269094	0.4714	79.0	87.16546058654785	6.705035576453576
13	-65.6311	30.534039	-25.17788	-110.30911	1000.0	-10.520177	5.4884543	10.033268	-27.87075	70000	2.7418137e-10	110.59107	-0.10929729	-22.250443	0.80180156	0.031669643	0.4946	79.0	93.61750864982605	6.686965022768293
14	-19.126297	47.693935	54.474586	-84.50803	1000.0	-6.3029304	5.390435	11.274806	-25.683062	75000	2.9890238e-08	216.19467	-0.109292194	-51.70543	0.7890595	0.038869224	0.4708	79.0	100.24400901794434	6.682934045791626
15	36.052387	37.435734	96.92865	-19.546618	1000.0	-2.6812403	8.775022	23.351871	-25.301043	80000	-8.486212e-09	194.2646	-0.11047948	-47.578995	0.7749173	0.026540212	0.4732	79.0	107.16956996917725	6.698098227381706
16	-42.1298	78.742836	68.61279	-165.70161	1000.0	3.9521859	8.609223	28.98102	-20.456114	85000	1.5068053e-08	379.07135	-0.11751223	-136.32124	0.764829	0.028844053	0.5228	79.0	114.12447381019592	6.713204439948587
17	4.0532813	38.585297	39.423164	-49.81342	1000.0	-2.027542	7.1397343	23.335947	-23.202414	90000	1.11818315e-08	180.40324	-0.11043157	-40.637207	0.74762577	0.027356638	0.4988	79.0	120.58573031425476	6.6992073323991566
18	47.93175	52.19984	129.47517	-32.236637	1000.0	1.0945479	8.244166	20.737505	-17.681139	95000	1.0859966e-08	194.69382	-0.11213189	-39.532898	0.73600096	0.036681328	0.4938	79.0	127.37185788154602	6.703782131797389
19	9.016837	12.79462	18.457281	-16.286467	1000.0	2.830234	10.810633	26.138718	-20.814388	100000	1.4185906e-08	159.00362	-0.11057008	-28.102798	0.72572494	0.024658296	0.5008	79.0	134.41246700286865	6.720623421669006
20	33.22038	64.37976	130.42873	-72.28507	1000.0	-1.0061637	9.134435	22.289452	-18.605085	105000	1.013279e-09	154.60446	-0.110597365	-34.654823	0.71955425	0.037246443	0.5122	79.0	140.99601912498474	6.714096250988188
21	64.73113	97.99721	245.4166	-33.444916	1000.0	3.6388836	10.666321	28.945051	-19.60082	110000	-6.4969063e-10	211.0182	-0.10967	-30.353119	0.7089355	0.03210137	0.491	79.0	147.7332944869995	6.71514985778115
22	57.377575	105.37915	176.01857	-126.899216	1000.0	2.2726886	12.725212	30.360733	-24.742094	115000	-7.1942807e-09	200.39307	-0.11797432	-85.17033	0.69844186	0.041455526	0.5266	79.0	154.5449733734131	6.719346730605416
23	62.33161	65.79376	165.3647	-37.79458	1000.0	12.326436	10.048935	37.445885	-18.836397	120000	-2.1207333e-08	190.43285	-0.11497612	-57.45018	0.68771654	0.03096013	0.5156	79.0	161.4289891719818	6.726207961638768
24	181.98051	78.331116	291.20764	57.27547	1000.0	8.848963	9.136343	34.495705	-19.393522	125000	-2.2757053e-08	296.07553	-0.11479236	-101.27484	0.67449206	0.03573362	0.5204	79.0	168.12175059318542	6.724870109558106
25	174.16139	68.25652	235.9636	76.120224	1000.0	17.005442	11.486257	39.653015	-21.135082	130000	1.4334917e-08	174.0357	-0.11512685	-33.777206	0.6656494	0.029814344	0.5216	79.0	174.92682361602783	6.727954827822172
26	145.06467	91.0242	248.74506	-17.287598	1000.0	13.843722	11.856787	36.864025	-26.56147	135000	1.629889e-08	201.33304	-0.11672747	-35.960648	0.65479225	0.026230246	0.5258	79.0	181.81428003311157	6.733862302921437
27	199.14026	57.21214	294.3884	137.51434	1000.0	15.537572	10.613011	37.77089	-12.453247	140000	-1.1825562e-08	192.11336	-0.116903424	-42.873886	0.6416039	0.03193886	0.5284	79.0	188.7779142856598	6.742068435464587
28	163.95908	45.17096	232.91924	92.24692	1000.0	16.20617	11.108712	39.82544	-10.428814	145000	1.4159084e-08	108.6756	-0.11908334	-27.258942	0.6323824	0.038711395	0.5508	79.0	195.76076865196228	6.750371390375598
29	200.47908	56.86456	304.83154	149.2722	1000.0	16.470411	11.695713	37.64959	-10.777616	150000	1.13748015e-08	184.92496	-0.116208196	-44.650208	0.6167595	0.037606012	0.5336	79.0	202.46287870407104	6.748762687047322
30	311.66965	86.148445	405.04465	169.19734	1000.0	21.863104	12.102485	42.775166	-11.448659	155000	5.711615e-09	299.56845	-0.116829425	-121.18024	0.60613215	0.029513821	0.5096	79.0	209.37926721572876	6.754169971712174
31	252.81563	54.97782	308.03763	157.03093	1000.0	29.58299	12.533749	48.14975	-17.513695	160000	-1.5044213e-08	183.30635	-0.120017335	-65.4439	0.59663	0.035728585	0.5346	79.0	216.14854431152344	6.754642061889172
32	299.26447	66.57632	403.82748	222.48398	1000.0	24.563143	12.09031	48.084217	-8.551085	165000	-5.6663154e-08	239.35844	-0.11895645	-66.831406	0.58679134	0.032324824	0.5416	79.0	222.9387354850769	6.755719314921986
33	356.0059	115.68249	567.7116	240.8588	1000.0	28.942375	14.105072	51.60107	-10.63093	170000	-3.004074e-09	340.8632	-0.11935642	-101.98906	0.5789885	0.027693111	0.5582	79.0	229.33539152145386	6.745158623246586
34	351.87543	159.84094	648.0421	193.55203	1000.0	33.327095	16.026575	56.97	-13.972565	175000	-1.1014938e-08	278.67	-0.121037185	-75.70897	0.569418	0.025673434	0.5582	79.0	235.83084201812744	6.7380241189684185
35	345.9537	65.65846	414.65402	265.88327	1000.0	34.925594	16.614758	64.04343	-5.737218	180000	1.1241436e-08	253.5679	-0.11913689	-93.12698	0.5601591	0.025489548	0.5398	79.0	242.72060918807983	6.742239197095235
36	374.0106	83.54849	518.11725	273.1487	1000.0	33.519463	11.994395	60.19645	0.037418284	185000	9.942055e-09	312.94836	-0.120046556	-109.91577	0.54858935	0.03233198	0.549	79.0	249.5111861228943	6.743545609551507
37	367.9673	86.7245	461.67206	236.28217	1000.0	38.32607	13.538803	65.64281	0.6132162	190000	-1.2433529e-08	259.8153	-0.12174282	-97.77701	0.54053	0.032456834	0.5638	79.0	256.42843294143677	6.748116706546984
38	367.5554	107.39908	521.0344	200.94093	1000.0	33.96795	18.963501	63.74089	-33.185246	195000	-1.7106533e-08	350.9739	-0.12509607	-139.13321	0.53148794	0.036402076	0.5796	79.0	263.09625458717346	6.7460578588338995
39	411.3225	88.899185	552.35895	313.624	1000.0	38.39405	16.318975	65.016525	-7.5844917	200000	1.0450185e-08	284.15363	-0.12111342	-105.14415	0.516235	0.027991684	0.5734	79.0	269.8367178440094	6.745917993783951
40	467.63495	163.15987	631.47656	255.22406	1000.0	37.017406	18.224157	70.415054	-10.828158	205000	-3.2305718e-09	405.39078	-0.12182208	-176.63757	0.501212	0.026943963	0.5712	79.0	276.4658181667328	6.743068782294669
41	366.27704	105.73195	536.0141	233.07022	1000.0	42.352867	21.40065	79.32277	-11.00731	210000	-1.7857552e-08	358.1928	-0.12062584	-176.00426	0.4904322	0.026478646	0.5498	79.0	283.1275794506073	6.741132878121876
42	455.75195	91.90997	535.9813	282.29855	1000.0	40.887177	14.843416	70.11027	-3.831669	215000	-1.8635392e-08	375.8906	-0.12558945	-151.0689	0.47970992	0.037439566	0.581	79.0	290.08825421333313	6.746238503345223
43	436.43735	131.28098	617.86053	302.2069	1000.0	42.387405	19.492414	76.511505	-14.675902	220000	3.400445e-09	399.48114	-0.12255867	-169.34059	0.4698546	0.030239578	0.5644	79.0	297.09245681762695	6.752101356332952
44	504.08112	25.48812	545.0117	472.22025	1000.0	45.786617	24.302137	82.63977	-26.52944	225000	7.987023e-09	371.5306	-0.121098064	-165.15628	0.45985729	0.026439188	0.5644	79.0	304.1428098678589	6.758729145261976
45	655.5638	111.97637	741.37244	437.47757	1000.0	55.5793	17.251041	85.15814	-2.3643663	230000	2.7179718e-08	379.96454	-0.12368553	-197.56413	0.45325103	0.032816835	0.5882	79.0	310.71482610702515	6.754670174225517
46	562.48004	97.42895	693.093	427.28738	1000.0	59.8016	18.208872	86.53412	0.7960286	235000	1.24812125e-08	413.5609	-0.123438135	-169.15305	0.44488564	0.028868387	0.5862	79.0	317.60836958885193	6.757624940669283
47	577.7343	106.99959	727.2265	438.0509	1000.0	57.274338	19.035929	92.17373	-20.849222	240000	6.055832e-09	401.17545	-0.12488482	-168.36314	0.4358227	0.035028476	0.596	79.0	324.40570044517517	6.758452132344246
48	562.8294	124.43604	791.6331	441.1025	1000.0	57.87871	17.692162	91.49479	-0.075932935	245000	-1.578331e-08	405.9519	-0.125997	-182.95712	0.42255723	0.034329947	0.5892	79.0	330.88081073760986	6.752669640949795
49	682.9314	104.19031	798.98254	545.6076	1000.0	60.47799	17.872303	96.26789	-3.5053895	250000	7.867813e-10	359.70255	-0.12569228	-204.94269	0.41243497	0.033271324	0.586	79.0	337.7414560317993	6.754829154014588
50	663.9801	14.256527	690.8838	648.3919	1000.0	68.68981	13.203109	93.919464	2.3205962	255000	2.3126603e-08	311.21317	-0.1247781	-140.82607	0.39974505	0.041366905	0.5852	79.0	344.81751561164856	6.761127794490141
51	612.50116	235.54195	903.2043	330.27173	1000.0	62.227062	20.21105	96.02277	-5.559021	260000	-3.736019e-08	436.54974	-0.123217896	-197.54779	0.38601637	0.035738476	0.5952	79.0	351.30438566207886	6.755853607104375
52	645.12646	59.9184	742.3897	569.6157	1000.0	66.30748	21.532898	102.402885	-3.3443434	265000	3.0064584e-08	375.58813	-0.12564437	-177.44781	0.3706223	0.031888645	0.6088	79.0	357.6422839164734	6.7479676615517095
53	701.2869	115.72148	871.8888	563.7435	1000.0	64.773964	19.487968	99.81891	8.241167	270000	3.5405158e-08	501.64136	-0.12754123	-225.17621	0.35523134	0.03250458	0.6014	79.0	364.439861536026	6.748886355647334
54	640.8876	53.08111	706.1937	562.74854	1000.0	66.93548	20.401785	105.144875	3.7214975	275000	-3.1232833e-08	384.56918	-0.12426355	-211.79752	0.34296063	0.03127351	0.5882	79.0	371.167733669281	6.748504283211448
55	795.7645	46.970295	883.06793	757.23035	1000.0	67.68923	13.049764	100.33466	10.168867	280000	1.34706495e-08	409.66626	-0.12981129	-263.0106	0.3359101	0.044226173	0.6206	79.0	378.0124170780182	6.750221759080887
56	805.97577	123.11018	973.04016	595.832	1000.0	77.727776	15.88186	103.57446	12.306654	285000	-4.8240274e-08	402.51187	-0.12812985	-181.09673	0.32414928	0.028207721	0.6172	79.0	384.4990179538727	6.745596843853331
57	782.7377	69.88299	858.46344	676.8286	1000.0	79.57538	19.834764	111.29215	-0.50581217	290000	4.732609e-09	415.98145	-0.12787224	-185.78532	0.3119268	0.02490966	0.6118	79.0	391.1317551136017	6.743650983119833
58	807.6828	128.84378	1002.2904	666.6273	1000.0	75.162285	21.404001	107.17284	5.0176687	295000	1.1235476e-09	622.84644	-0.12738353	-282.08682	0.29972577	0.01901947	0.6208	79.0	398.0580952167511	6.746747408883047
59	898.7697	89.41216	1035.2175	753.1391	1000.0	81.933426	20.869024	121.35472	7.928548	300000	1.0085106e-08	537.5568	-0.12698911	-292.0465	0.28459454	0.033959508	0.6128	79.0	404.7312526702881	6.745520909627278
60	778.50775	138.75099	942.37274	527.4418	1000.0	86.633026	17.854494	126.50066	25.185848	305000	-8.273124e-09	547.3459	-0.13148683	-282.18912	0.2714584	0.03394487	0.6276	79.0	411.23803544044495	6.7416071696359605
61	806.9527	119.27237	932.9302	609.4334	1000.0	78.587074	17.657757	111.862854	9.910872	310000	3.696084e-08	513.32263	-0.12913558	-254.24872	0.26333678	0.041113146	0.6352	79.0	417.99536895751953	6.741860820401099
62	948.8737	34.218826	992.4086	907.1943	1000.0	86.864	17.311796	119.87185	18.333471	315000	-7.820129e-09	591.5174	-0.12638903	-308.96292	0.24639891	0.03220262	0.5988	79.0	424.78448128700256	6.742610840570359
63	968.3705	75.2712	1064.4338	868.75555	1000.0	94.97782	16.891378	131.07196	27.476917	320000	-1.8722565e-08	434.3325	-0.12750518	-207.26843	0.23499915	0.036382075	0.6256	79.0	431.4244396686554	6.7410069070756435
64	940.55927	93.07835	1013.6168	759.96295	1000.0	97.46641	17.05125	130.7205	25.384892	325000	8.47578e-09	440.84836	-0.12814559	-216.3209	0.22409827	0.03507384	0.6372	79.0	438.18515968322754	6.741310167312622
65	931.7091	191.60048	1174.1787	658.5098	1000.0	92.64859	26.279453	133.98927	-20.130484	330000	3.4120678e-08	654.6921	-0.12684096	-304.5907	0.21109487	0.030980902	0.6318	79.0	444.8221707344055	6.739729884899024
66	875.8327	312.44003	1188.1167	277.75455	1000.0	85.471016	43.716904	133.76274	-56.811966	335000	-2.8908254e-09	556.4207	-0.13018459	-304.20914	0.20042324	0.043295093	0.656	79.0	451.536504983902	6.739350856240116
67	1045.045	77.83509	1151.4059	922.47455	1000.0	103.14609	18.067848	139.06085	11.46551	340000	4.763007e-08	417.73077	-0.12739263	-232.37099	0.18856142	0.033558782	0.635	79.0	458.31320881843567	6.739900154225967
68	874.5643	132.92583	1058.0487	678.0086	1000.0	99.216774	23.797335	138.89824	4.6776466	345000	-1.1705979e-08	723.6155	-0.12784009	-411.12448	0.17672628	0.022861803	0.623	79.0	465.25139331817627	6.742773840392846
69	1015.3594	73.78962	1129.5332	930.89655	1000.0	94.563515	21.261608	130.29639	7.8570046	350000	1.0824204e-08	546.603	-0.12667026	-304.29257	0.16528256	0.027817667	0.6466	79.0	471.909708738327	6.741567294938224
70	611.78015	406.6787	959.2851	-180.99141	1000.0	77.16857	44.01558	136.15276	-40.403645	355000	-3.4570694e-10	793.1456	-0.13354526	-541.6542	0.15287246	0.04010203	0.6608	79.0	478.5691123008728	6.740410065986741
71	1111.244	119.581665	1275.8091	939.26654	1000.0	92.86987	17.830755	130.79448	8.686561	360000	-2.221167e-08	772.5376	-0.13048235	-527.5676	0.13886596	0.037711393	0.6422	79.0	484.97371792793274	6.735746108823353
72	1029.7216	62.871796	1126.1669	969.83453	1000.0	107.8396	21.659483	146.4127	3.169254	365000	-4.3582915e-08	647.7365	-0.12716956	-306.15674	0.12724197	0.0250392	0.6222	79.0	491.41798281669617	6.731753218663882
73	716.2968	426.7793	1018.44147	-121.71148	1000.0	80.5824	49.445393	147.12881	-51.26458	370000	7.867813e-10	717.8283	-0.13350238	-413.9195	0.11768927	0.033117056	0.6736	79.0	498.56084060668945	6.737308682622136
74	876.07715	128.49753	1031.9355	673.4337	1000.0	90.580315	21.3955	128.92374	12.891387	375000	1.2731552e-08	742.2887	-0.13297878	-354.4626	0.10548691	0.037913553	0.6566	79.0	505.57008624076843	6.740934508641561
75	1154.1548	80.496994	1264.8893	1056.7538	1000.0	97.58551	23.043802	137.86494	-17.852839	380000	-1.1157989e-08	777.41986	-0.12553594	-506.70493	0.09478974	0.02686414	0.6328	79.0	512.3769760131836	6.741802341059635
76	1076.9529	173.73807	1325.9987	849.91907	1000.0	111.99701	18.969358	146.62517	33.982986	385000	-9.548664e-09	632.8814	-0.12827526	-284.24716	0.08492446	0.028185608	0.6472	79.0	519.3329982757568	6.744584424155099
77	937.3036	209.6053	1200.4921	688.3967	1000.0	96.72955	44.424603	150.89537	-63.49114	390000	5.3834913e-08	702.8669	-0.12860313	-330.19357	0.0712311	0.021812933	0.6624	79.0	525.9911005496979	6.743475675582886
78	1117.1931	207.77489	1341.4126	795.0447	1000.0	108.657684	20.630745	143.95905	2.2861218	395000	-3.4073366e-08	695.92395	-0.12674771	-328.36124	0.056702524	0.03018438	0.6444	79.0	532.5713186264038	6.741409126716324
79	1129.0012	120.25489	1309.9646	962.99146	1000.0	109.25071	30.016771	152.27812	-9.675551	400000	-2.1332502e-08	876.6462	-0.1267465	-434.6132	0.04410797	0.022840107	0.6514	79.0	538.9615032672882	6.737018808722496
80	871.8011	201.07782	1170.1842	564.7032	1000.0	104.36069	29.930489	159.76952	11.81701	405000	2.784729e-08	1225.8737	-0.13112044	-689.9647	0.032927938	0.035230644	0.6656	79.0	545.4333095550537	6.733744585955584
81	1186.6638	127.59231	1373.6715	1012.99536	1000.0	105.46125	23.396097	154.32521	-16.125193	410000	2.2947788e-08	831.7031	-0.12549362	-482.5747	0.021786382	0.03276039	0.6408	79.0	551.9712691307068	6.731356958063637
82	1226.4996	64.91848	1346.9567	1159.1066	1000.0	119.5462	19.446608	158.2124	27.86333	415000	-4.2980908e-08	488.00406	-0.13023615	-257.12427	0.0068319114	0.03100303	0.6836	79.0	558.834657907486	6.732947708612465
83	1100.2058	148.48003	1345.0024	970.3603	1000.0	118.57969	20.385283	155.27917	20.00347	420000	-3.0612945e-08	765.309	-0.1342253	-383.68027	-0.0031605323	0.033450644	0.693	79.0	565.45858335495	6.731649824551174
84	1163.588	143.63155	1297.8893	942.0327	1000.0	114.258064	21.2791	150.20036	9.233548	425000	-3.6275388e-08	614.98553	-0.12778614	-291.1857	-0.017691115	0.028517816	0.6612	79.0	572.338404417038	6.733393015581019
85	1016.6792	110.05128	1133.9519	840.2323	1000.0	107.11682	28.122608	152.09853	17.953556	430000	2.7060509e-08	661.92694	-0.1283864	-326.2668	-0.027048714	0.03153555	0.6518	79.0	579.1053445339203	6.733783092609672
86	1158.8237	132.44617	1313.2836	921.90424	1000.0	110.94862	24.326859	152.70454	15.938977	435000	5.1090122e-08	596.7051	-0.1272312	-330.7352	-0.035172377	0.03437561	0.6672	79.0	585.8840093612671	6.734298977358588
87	1269.0027	62.39174	1330.8323	1184.8654	1000.0	121.252815	19.32112	155.36519	25.672853	440000	-2.0754337e-08	521.0543	-0.12557708	-273.6793	-0.04703971	0.03456325	0.6618	79.0	592.5805606842041	6.733870026740161
88	1247.985	273.38474	1622.3707	825.4365	1000.0	123.94115	24.165407	166.87973	10.191574	445000	-2.7576089e-08	885.6697	-0.12524886	-403.74863	-0.060387943	0.02337922	0.6564	79.0	599.5571234226227	6.736596913819902
89	1222.099	200.51611	1472.4629	1004.3193	1000.0	125.6755	25.689196	172.65993	26.894308	450000	3.1858683e-08	784.72833	-0.12857608	-379.8547	-0.0767093	0.02016235	0.652	79.0	606.3952708244324	6.737725252575345
90	1376.2094	48.529236	1448.7284	1318.8541	1000.0	129.37442	19.780031	171.40071	40.039658	455000	-5.5530666e-08	625.6151	-0.13263509	-380.77786	-0.08520131	0.033900663	0.6754	79.0	613.0794351100922	6.737136670521328
91	1137.9265	182.21954	1414.1147	875.15094	1000.0	131.86293	24.732512	179.26418	25.189568	460000	-7.455945e-08	1048.9872	-0.12992086	-626.7935	-0.094851054	0.02404691	0.676	79.0	620.0269854068756	6.739423772563105
92	1165.8823	159.69917	1336.6978	927.4187	1000.0	119.5984	20.019444	161.7414	24.645308	465000	-3.052205e-08	565.6206	-0.12690777	-279.44943	-0.10962361	0.03819192	0.6576	79.0	626.7570915222168	6.739323592955066
93	1350.1063	111.78454	1536.3318	1207.5863	1000.0	121.125114	19.77125	161.18555	31.391092	470000	-1.5568734e-08	828.3277	-0.1287377	-482.75598	-0.11921912	0.025855685	0.6758	79.0	633.2889196872711	6.737116187176806
94	1292.4224	252.99051	1454.9542	791.3704	1000.0	132.0372	23.597246	171.287	20.255838	475000	-6.8902968e-09	778.3989	-0.12557022	-386.27222	-0.13061093	0.029688861	0.6582	79.0	639.9145655632019	6.735942815479479
95	1172.2327	137.8403	1366.5992	1034.3612	1000.0	129.68134	29.607523	173.37502	19.966797	480000	-5.7280065e-08	869.0428	-0.12866606	-483.2681	-0.14609608	0.028263155	0.6792	79.0	646.8253185749054	6.737763752539952
96	1326.184	193.36005	1521.2017	961.4454	1000.0	123.32088	22.542814	166.1647	23.739908	485000	4.9322844e-09	757.08704	-0.1308873	-421.27185	-0.16095375	0.028067324	0.6908	79.0	653.3832533359528	6.735909847869086
97	1309.8242	199.20113	1618.2996	1036.8362	1000.0	131.98468	25.033575	172.2201	38.360138	490000	-4.9829483e-09	927.1839	-0.12933515	-414.99292	-0.1741563	0.026863193	0.6968	79.0	660.0791213512421	6.735501252875036
98	1435.1178	191.95064	1630.4822	1103.3053	1000.0	137.18312	20.738646	179.69952	33.118454	495000	-1.25646595e-08	732.33057	-0.12720755	-377.13785	-0.1859296	0.02651033	0.6838	79.0	666.9014105796814	6.736377901501125
99	1356.8353	129.70012	1557.0632	1217.0115	1000.0	139.42778	26.997374	180.10655	31.140055	500000	9.191036e-09	663.9096	-0.12969507	-345.27817	-0.20025706	0.024516115	0.7096	79.0	673.5276622772217	6.7352766418457035
100	1472.8384	101.52172	1588.2042	1336.1526	1000.0	141.13812	19.576597	176.70505	45.687237	505000	3.8576125e-08	536.9999	-0.12872876	-296.05017	-0.21708079	0.041785214	0.6778	79.0	680.8226118087769	6.740817959945981
101	1398.2106	167.00774	1573.1521	1102.1554	1000.0	144.61	24.737488	190.89523	39.86139	510000	-4.3335557e-08	681.0698	-0.12788166	-337.34692	-0.22955863	0.03160128	0.7034	79.0	687.3846879005432	6.739065584014444
102	1339.0997	181.86052	1686.3048	1159.5497	1000.0	139.04393	25.84053	182.13086	34.45104	515000	-2.719909e-08	739.25385	-0.12916392	-373.54953	-0.24158481	0.027527113	0.7098	79.0	694.1016645431519	6.73885112827264
