Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
22	375.43225	213.0305	950.2631	35.101746	210.73006	329.74933	1123.9272	22.41611	188.66667	116.9	87999	99.49835	35.364468	188.2888	-74.65985	99.50142	35.360065	187.12582	-80.14402	-0.29493845	3.3797133	45.2687	-14.723856	-100.520744	31.292185	653.2438609600067
23	391.25882	139.24252	663.7157	30.291124	23.32484	1.2046613	25.632793	21.776354	179.78261	37.5	91999	102.57033	36.372272	193.50288	-48.70776	102.57244	36.36963	190.28105	-56.882442	-0.2416095	3.3285913	47.11275	-14.358839	-103.60098	32.44518	687.2585365772247
24	352.0889	176.97029	608.20844	21.197842	558.26086	111.302864	744.2555	436.86646	155.76	241.7	95999	105.80217	37.556953	197.0106	-69.32479	105.80392	37.561695	194.42488	-109.972664	-0.2215675	3.3422844	58.489475	-13.733517	-106.80836	32.067677	721.3268678188324
25	420.6509	120.35881	681.1927	195.64325	110.31056	145.12534	418.27484	36.305862	187.13637	69.4	99999	108.1288	38.59632	199.76216	-67.20147	108.13101	38.594803	200.29565	-66.404655	-0.15280342	3.281561	47.690792	-13.091063	-109.125145	31.47771	755.6639943122864
26	417.0111	130.14902	694.7748	262.8725	423.5379	62.654633	559.5044	339.6376	185.38095	202.4	103999	111.05855	39.28787	204.71529	-92.91951	111.0591	39.28875	200.96024	-61.371777	-0.07361399	3.2578254	50.30745	-13.311025	-112.04722	32.275093	790.5150685310364
27	476.65662	142.14948	789.6505	174.66307	572.3441	29.618717	621.49786	506.9638	209.21053	232.8	107999	113.98262	40.05216	207.22546	-50.58325	113.98323	40.053898	208.07375	-65.354485	-0.08765621	3.2366326	51.751953	-13.751488	-114.97389	31.79116	824.6576974391937
28	398.41852	212.25824	865.3076	22.24515	453.19623	28.698277	491.24548	400.185	175.82608	202.9	111999	116.27811	41.061256	208.20422	-75.08893	116.27908	41.058296	208.63373	-68.78536	-0.12249758	3.2103868	48.59207	-13.903086	-117.22064	32.664448	858.8608422279358
29	406.8869	189.97394	771.774	54.563698	584.28156	285.72366	1343.8787	280.79617	179.22728	266.9	115999	118.40183	42.03519	209.51643	-57.797634	118.4024	42.0364	210.91971	-78.9532	-0.067565784	3.233431	47.497253	-13.516624	-119.32337	34.835606	893.6695368289948
30	511.93472	183.436	1070.1564	283.0084	713.1835	105.73569	882.9933	551.79	214.78947	251.9	119999	120.39044	42.548412	208.89757	-77.36328	120.39139	42.54519	209.05753	-60.508373	-0.014097438	3.2420862	56.74351	-15.489231	-121.29273	34.932312	928.1559028625488
31	605.9917	164.40012	1001.83813	375.62204	726.95465	168.2864	1189.1093	590.0261	254.9375	293.4	123999	122.42516	43.04801	210.8786	-77.64448	122.42535	43.049366	211.93819	-81.67339	-0.07017048	3.2082953	61.4301	-14.365301	-123.32313	33.114906	962.8050158023834
32	703.1308	418.8598	1929.4282	251.49104	694.4825	76.17207	801.998	575.22217	299.07693	267.0	127999	124.32038	43.55288	215.48532	-108.5247	124.32136	43.551502	216.52594	-77.56906	0.03319553	3.234888	53.248253	-13.365821	-125.18069	33.494076	997.6279559135437
33	720.8969	268.3286	1382.4839	340.04227	811.75323	310.24118	1344.4501	505.25006	300.15384	307.2	131999	126.41108	44.449123	216.62283	-99.85	126.41135	44.44803	220.1821	-124.29259	0.038048137	3.1918955	49.189228	-12.68031	-127.27938	35.13669	1032.4293444156647
34	782.9463	409.78317	1814.2933	392.97473	1079.2839	426.1346	1839.671	541.02576	330.58334	542.5	135999	128.64735	44.984604	219.58723	-72.92745	128.6474	44.987617	221.18112	-86.80621	0.050026674	3.1928804	56.623188	-15.531218	-129.49136	34.50704	1069.8795609474182
35	721.3805	370.56943	1596.6486	69.040634	1169.4675	453.4248	2338.279	759.2883	292.57144	474.0	139999	130.45818	45.854683	230.90834	-85.55872	130.45786	45.857925	231.23402	-76.08086	0.061360665	3.1386204	59.889915	-14.753026	-131.28172	35.057022	1108.536211013794
36	731.9118	234.61885	1326.4669	380.75037	888.2723	128.19104	1176.7809	771.2694	291.42856	315.8	143999	132.37135	46.58783	225.22783	-65.951965	132.3702	46.591686	223.5478	-92.0354	0.13441996	3.1857607	55.569786	-12.990093	-133.2046	34.65409	1146.359474658966
37	773.99567	278.7378	1438.4434	491.058	804.0315	848.34827	2465.6133	235.52824	306.08334	373.8	147999	134.65439	47.26083	229.23486	-89.8154	134.65305	47.264908	226.53465	-87.499146	0.1220578	3.1805568	61.60011	-13.147892	-135.47554	35.373306	1182.3035011291504
38	884.3406	507.35684	2336.3152	96.57757	995.70135	380.90564	1861.3983	580.2117	335.84616	407.8	151999	136.87457	48.03914	232.57834	-81.34277	136.87381	48.041	230.6304	-89.29967	0.11936747	3.146484	53.422638	-14.9740505	-137.68591	35.415886	1226.313538312912
39	830.0651	378.4236	1569.0227	35.188663	1252.0007	505.2774	2026.5901	594.72565	335.41666	638.9	155999	139.14287	49.115547	234.27388	-67.57829	139.14137	49.117104	235.08891	-87.35864	0.26794216	3.1356049	57.91992	-14.286783	-139.94743	36.44112	1264.762556552887
40	1100.071	656.22815	2483.4202	479.0998	1529.0627	534.8505	2136.0393	685.6465	429.1111	806.8	159999	141.76126	49.729305	238.50407	-93.80678	141.76064	49.732666	237.02695	-123.054436	0.30564415	3.175741	69.81348	-14.510889	-142.57397	35.952183	1301.7630484104156
41	1625.214	922.0664	2541.5579	420.19278	1269.0682	601.068	2905.6355	838.5723	663.0	416.1	163999	144.26672	50.414696	240.34613	-110.74537	144.26514	50.417854	239.92561	-125.246056	0.38330114	3.1377528	56.19958	-14.160215	-145.06793	38.922165	1337.6155438423157
42	663.8018	506.93912	1721.6484	26.30914	1651.2219	421.91354	2341.4265	1189.9854	285.84616	714.8	167999	146.86037	50.81216	245.27704	-96.97861	146.8595	50.812706	242.84769	-120.71261	0.39513066	3.1777434	53.265633	-14.863881	-147.66171	39.616383	1377.7141160964966
43	880.4891	476.55222	1894.7759	39.73755	1603.1428	859.013	2895.0398	430.23654	345.16666	546.4	171999	148.60945	51.88935	249.70584	-102.05587	148.60864	51.89192	247.62396	-121.30576	0.35722706	3.1336012	61.36907	-14.265357	-149.32619	38.60655	1416.9217131137848
44	1306.0637	845.0752	2804.6792	404.25134	975.6821	628.6424	2466.8982	416.1317	507.25	461.8	175999	149.83443	52.94924	260.72626	-94.16212	149.83388	52.95217	258.79266	-121.06273	0.44027042	3.157981	60.723244	-15.766529	-150.57452	41.40331	1456.3214280605316
45	952.78503	704.2835	2664.5073	150.75896	1627.2316	736.19086	2839.1907	690.01996	390.3	623.0	179999	152.02138	53.508034	261.41455	-84.861626	152.0204	53.509743	260.7064	-89.05095	0.48333758	3.16537	63.194473	-13.82694	-152.75089	41.606586	1495.9948191642761
46	1797.4844	969.8688	2961.771	47.0177	2602.859	65.01262	2665.3105	2449.6807	679.0	1000.0	183999	153.63602	54.190845	262.086	-112.459076	153.63545	54.19261	261.2157	-98.54466	0.48274958	3.19833	68.72946	-13.960442	-154.30984	43.292408	1536.2626857757568
47	1533.4293	999.23456	2699.4998	44.67829	2538.733	258.18848	2697.6863	1779.4845	589.1429	960.9	187999	155.21712	55.185646	271.13123	-140.36038	155.21613	55.18624	269.81192	-73.93526	0.5970702	3.1904314	64.85545	-12.757172	-155.93329	45.608257	1574.7230699062347
48	2139.9133	684.61	2800.2424	1042.4674	1797.5627	867.63855	2886.394	808.81177	779.6	630.0	191999	157.65456	55.305508	273.16934	-69.98265	157.6536	55.30943	271.3628	-62.5903	0.6587678	3.2458336	67.02906	-14.167408	-158.38075	44.75328	1612.454857826233
49	2251.3506	777.50104	2902.167	840.0885	2816.5725	742.2594	3297.409	1074.7915	843.2	888.9	195999	159.91704	55.550797	275.9973	-100.55289	159.91676	55.551388	275.44357	-117.7122	0.56750506	3.158795	62.630863	-14.886508	-160.6227	45.285984	1651.546510219574
50	1099.035	496.51678	1907.7019	455.5636	1103.5144	428.11444	1877.9456	431.8321	427.0	581.3	199999	162.07295	56.068813	280.88074	-238.57703	162.0731	56.065826	277.7806	-278.34546	0.6034819	3.1762557	43.46462	-13.385607	-162.74454	46.403965	1689.6934258937836
51	1330.2672	873.8358	2545.525	278.27515	2010.8777	693.75934	2441.4297	385.9064	511.5	861.0	203999	163.45084	56.5005	282.29208	-103.87907	163.45036	56.49998	281.39832	-110.62057	0.5350089	3.198201	57.76235	-14.039712	-164.11763	45.958263	1727.554797410965
