Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time	AVG Time Per Epoch
20	5277.3447	102.67337	5453.6753	5153.0537	5621.1353	86.828705	5759.961	5457.729	1000.0	1000.0	99999	319.9056	109.545006	431.56677	11.800578	319.90567	109.54492	431.75473	9.451136	2.2236807	4.4586616	34.564636	-17.085155	-320.12695	15.90662	745.1189155578613	37.255945885181426
21	5285.175	73.31935	5372.518	5179.8804	5678.6504	51.093674	5756.557	5572.456	1000.0	1000.0	104999	330.66296	110.87706	439.48615	20.56276	330.663	110.87703	439.9915	15.453447	2.2073393	4.421542	39.880146	-14.681661	-330.83545	15.71199	785.2880599498749	37.394669623602006
22	5328.77	104.35881	5465.2705	5179.974	5765.2275	56.49405	5839.1763	5667.087	1000.0	1000.0	109999	340.33136	111.35082	445.07483	14.937551	340.33142	111.35068	444.76044	23.909784	2.2808964	4.4292693	41.17646	-12.447509	-340.47794	15.734262	825.3073573112488	37.51397087357261
23	5327.122	44.798252	5389.9355	5271.665	5786.7393	55.209072	5866.775	5696.9434	1000.0	1000.0	114999	348.95792	112.12567	452.3293	18.650581	348.95792	112.12627	451.81818	10.829191	2.3248606	4.4253173	35.818024	-13.922131	-349.05566	15.511305	867.6117324829102	37.722249331681624
24	5460.5767	36.982487	5514.775	5418.1216	5762.1885	44.28822	5845.196	5711.2944	1000.0	1000.0	119999	357.40378	112.19498	457.12283	19.460958	357.40363	112.19582	458.14636	23.892374	2.321073	4.384979	38.329155	-12.571533	-357.5003	15.673878	908.8597016334534	37.869154304265976
25	5443.9307	122.72452	5649.489	5299.614	5831.82	46.400047	5894.5537	5747.4043	1000.0	1000.0	124999	365.16562	112.00907	463.202	21.903584	365.1655	112.00905	462.89908	20.878223	2.344455	4.36672	38.986946	-12.375816	-365.2158	15.136596	946.6520483493805	37.86608201980591
26	5529.8735	41.926773	5585.8984	5460.7993	5981.034	41.450287	6048.657	5899.298	1000.0	1000.0	129999	372.21768	111.86084	468.156	23.817787	372.2181	111.86103	467.6261	25.428785	2.425533	4.3985705	46.374607	-14.172979	-372.25616	15.421317	985.1124844551086	37.88894177400149
27	5561.0986	77.39528	5668.309	5460.6875	6076.9014	77.99994	6229.7817	5984.651	1000.0	1000.0	134999	378.94305	112.03416	476.17288	23.557644	378.94263	112.03476	478.34875	21.230053	2.5182796	4.425647	40.272762	-15.990918	-378.9704	15.159197	1026.4917259216309	38.018212141814054
28	5563.9893	79.7493	5694.126	5479.8403	5957.4863	84.18807	6074.6973	5800.538	1000.0	1000.0	139999	385.376	111.79801	482.71515	29.029188	385.3762	111.797844	485.2464	19.156433	2.5754888	4.4107685	39.16354	-15.095523	-385.38864	15.320797	1066.0276391506195	38.07241577761514
29	5616.0015	54.56145	5687.6543	5521.107	6096.576	34.61417	6173.898	6036.567	1000.0	1000.0	144999	391.74478	111.2115	486.25848	28.700356	391.7446	111.21172	486.24976	27.44189	2.5768595	4.3711424	34.694336	-12.949041	-391.74924	15.153702	1104.7240660190582	38.09393338499398
30	5715.576	106.09837	5856.325	5549.315	6129.943	24.211283	6169.875	6098.796	1000.0	1000.0	149999	397.51492	111.635864	493.54736	26.302315	397.5148	111.63644	492.85956	22.644735	2.6595404	4.400505	43.738144	-13.571935	-397.49915	15.509269	1146.26536154747	38.208845440546675
31	5774.135	57.893097	5877.3535	5712.398	6156.6763	62.330433	6271.8066	6058.6787	1000.0	1000.0	154999	403.2436	111.249245	498.01117	20.840097	403.24365	111.24955	499.04855	22.95963	2.6858442	4.410506	42.672455	-13.66549	-403.21106	15.376808	1184.5502462387085	38.21129832729216
32	5784.704	103.46369	5937.923	5652.7354	6224.6533	90.290085	6349.755	6058.996	1000.0	1000.0	159999	408.4839	110.967064	504.95193	25.690388	408.484	110.96679	508.42145	28.820194	2.7623465	4.4229317	38.719604	-12.180496	-408.43695	15.2102375	1223.7497777938843	38.24218060821295
33	5881.4546	85.25685	5993.8	5768.2603	6309.8613	101.10058	6503.6284	6177.806	1000.0	1000.0	164999	413.38336	110.72837	510.87326	22.919117	413.3834	110.72833	513.6493	24.699812	2.8041866	4.42031	39.651257	-14.830525	-413.31845	15.775758	1264.9010026454926	38.33033347129822
34	5170.548	1455.477	6021.0864	2263.649	5879.2095	1713.8708	6497.729	739.47845	1000.0	1000.0	169999	417.35855	111.634285	515.8705	17.25408	417.35883	111.63434	518.2042	11.224584	2.830108	4.415571	39.908493	-11.826293	-417.28394	16.80334	1305.4648864269257	38.39602613449097
35	5905.9478	122.13879	6053.467	5709.5605	6325.803	78.46024	6452.6255	6153.2686	1000.0	1000.0	174999	421.41928	112.199326	519.1663	1.9366283	421.4192	112.199615	521.675	-13.657828	2.8444378	4.4273934	46.840836	-13.604742	-421.3204	16.80201	1343.3618223667145	38.381766407830376
36	5917.4116	54.00659	5960.452	5811.663	6380.5596	659.5443	6722.0146	4420.79	1000.0	1000.0	179999	425.6826	112.13256	533.57117	14.571318	425.68262	112.132614	533.1432	8.795397	2.883892	4.4168434	43.58821	-13.554932	-425.565	16.568663	1383.41477060318	38.42818812529246
37	5935.9873	105.777374	6100.0664	5782.365	5918.0693	1550.8945	6787.045	1389.4154	1000.0	1000.0	184999	429.8199	111.47901	536.732	16.391453	429.8201	111.4789	536.19653	8.208682	2.9358404	4.3949976	33.189213	-12.0902	-429.68515	17.150578	1420.1211087703705	38.3816516463821
38	6149.619	94.407684	6250.0596	5975.4966	6613.646	103.38068	6815.2925	6445.7676	1000.0	1000.0	189999	433.45877	111.284325	539.5357	-7.7830405	433.45895	111.284615	538.83905	15.233359	2.9732547	4.4118023	60.22041	-13.664658	-433.3221	17.041964	1461.472380399704	38.459799540670296
39	6114.091	54.57298	6177.7856	6035.423	5813.4917	1965.1428	6864.0605	441.0867	1000.0	1000.0	194999	437.4241	111.09848	543.64307	20.879253	437.424	111.09902	542.0715	5.632255	2.9993947	4.402476	41.214565	-13.406103	-437.2653	17.254791	1502.2302913665771	38.5187254685622
40	6195.2085	96.46846	6323.2017	6043.0024	6855.142	143.2567	7101.446	6587.056	1000.0	1000.0	199999	441.40338	110.41306	545.5073	5.1148243	441.40363	110.41306	545.21	6.129243	3.0756795	4.4161906	46.546734	-14.209403	-441.2449	17.501686	1541.5855431556702	38.53963863253593
41	6187.224	25.036812	6226.1914	6157.239	6778.181	87.40606	6964.9243	6644.5474	1000.0	1000.0	204999	444.9598	110.60835	550.4594	10.137381	444.95987	110.60832	549.0871	13.949162	3.1025722	4.406211	46.060402	-15.936413	-444.7855	17.25559	1582.8337180614471	38.60570049285889
42	6232.7466	101.0666	6358.851	6114.611	6697.1733	29.3685	6727.676	6638.6187	1000.0	1000.0	209999	448.89542	110.42229	554.48804	6.344371	448.89523	110.42243	552.70526	16.384096	3.1885033	4.432631	40.463383	-15.034735	-448.7365	17.705915	1621.4782061576843	38.60662400722504
43	6255.958	87.88594	6387.4526	6150.6934	7085.7397	83.20796	7171.1987	6919.2114	1000.0	1000.0	214999	452.99277	109.886116	562.5919	9.787867	452.99265	109.8869	560.1027	10.823779	3.210113	4.433699	42.2802	-12.502121	-452.8186	18.037252	1663.218341588974	38.67949637146883
44	6417.96	102.58301	6587.577	6300.2427	6625.5757	1513.6832	7193.1274	2085.622	1000.0	1000.0	219999	456.4828	110.119484	563.695	20.041754	456.4827	110.119354	563.9463	21.63506	3.2826087	4.429578	45.777763	-13.820245	-456.29636	18.559765	1705.4528903961182	38.76029301231558
