Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossQReg	Time	AVG Time Per Epoch
20	9344.327	0.4607049	9345.021	9343.85	9359.56	0.20385611	9359.844	9359.199	1000.0	1000.0	99999	639.75726	219.59167	1070.6781	-7.60752	639.7573	219.58772	1016.0037	-5.425453	1.5570908	1.3968037	26.528158	-10.044453	-658.0525	141.1668	86.26359	768.9490435123444	38.44745230674744
21	9345.729	1.5070367	9347.871	9344.309	9359.568	0.13169914	9359.738	9359.349	1000.0	1000.0	104999	651.6454	223.04736	984.8403	-9.32207	651.6451	223.05211	937.77264	-8.614856	1.4689735	1.4243853	24.77526	-9.056676	-671.0401	144.0738	85.511795	808.6880874633789	38.50895664805458
22	9350.354	0.76106066	9351.257	9349.004	9359.42	0.14588517	9359.557	9359.044	1000.0	1000.0	109999	664.7467	225.23874	860.2911	-4.6111445	664.7462	225.23953	997.3363	-11.597201	1.5341316	1.4624876	34.00917	-8.6563635	-683.9278	135.20667	80.72359	848.1404738426208	38.551839817654006
23	9351.857	1.9225802	9354.47	9349.467	9356.209	0.23564495	9356.429	9355.56	1000.0	1000.0	114999	678.53314	224.00002	1016.6559	-9.428596	678.53094	224.00496	1043.4884	-8.612312	1.5187353	1.4343778	14.654114	-8.315159	-697.7135	131.00072	78.942116	888.3496284484863	38.62389698235885
24	9353.432	0.6849992	9354.544	9352.474	9359.715	0.1291867	9359.868	9359.446	1000.0	1000.0	119999	689.7193	223.62703	1074.9622	-10.2956295	689.7165	223.63817	936.7823	-19.566833	1.4967364	1.3865482	13.097242	-7.3749266	-708.9514	126.17415	75.94325	928.1947679519653	38.67478211720785
25	9348.8545	0.8336117	9350.245	9347.896	9359.786	0.10694318	9359.903	9359.631	1000.0	1000.0	124999	700.7105	223.23705	966.7257	-7.4536486	700.7087	223.23932	1047.2042	-6.5632763	1.5403439	1.3381759	31.505602	-8.659894	-718.8089	129.39748	78.23457	967.6507539749146	38.706030254364016
26	9346.324	0.864801	9347.43	9344.863	9359.778	0.20332679	9359.985	9359.429	1000.0	1000.0	129999	710.9682	223.91246	1063.3527	-10.239774	710.968	223.90549	1037.5166	-8.841904	1.4353776	1.3894371	16.321993	-8.004746	-730.03955	127.52575	78.92235	1007.5857739448547	38.75329908040854
27	9346.11	0.89703953	9347.738	9345.008	9359.708	0.2741371	9359.976	9359.234	1000.0	1000.0	134999	720.1953	224.3036	968.7669	-35.84614	720.196	224.28938	1044.256	-15.547412	1.3618305	1.3934157	24.864916	-8.573219	-737.8235	136.05568	81.4473	1047.6458444595337	38.80169802241855
28	9346.356	1.1513354	9348.649	9345.647	9359.874	0.085903645	9359.98	9359.671	1000.0	1000.0	139999	727.22327	225.60469	1026.9863	-9.402443	727.223	225.59773	1138.3506	-11.2857065	1.4201441	1.3883681	17.520075	-11.445	-745.11163	128.23743	78.272415	1087.534166097641	38.84050600869315
29	9345.896	2.3135178	9348.998	9342.892	9359.811	0.104502685	9359.925	9359.616	1000.0	1000.0	144999	736.3015	224.0898	1039.8898	-8.139095	736.30194	224.08357	1072.9999	-10.508225	1.439113	1.391965	21.91282	-8.601178	-753.1281	127.93586	77.99255	1127.5327551364899	38.880439914506056
30	9343.686	1.0652885	9345.576	9342.671	9358.7295	0.141906	9359.054	9358.502	1000.0	1000.0	149999	744.10046	223.86533	970.24164	-10.953048	744.0988	223.86864	1083.3297	-5.3600326	1.42325	1.356256	24.05625	-8.553983	-760.8129	124.0565	76.250465	1167.3749389648438	38.91249804496765
31	9344.221	1.6481559	9346.922	9342.474	9358.992	0.3645967	9359.519	9358.386	1000.0	1000.0	154999	753.1691	222.21626	1030.8546	-17.426416	753.16754	222.2148	1045.0442	-13.678329	1.4019357	1.3762747	19.056889	-7.7841215	-770.1469	134.72505	82.3663	1207.2863664627075	38.94472156032439
32	9344.82	2.2402143	9347.466	9340.916	9359.336	0.1779762	9359.48	9358.85	1000.0	1000.0	159999	759.5425	221.97917	1115.7339	-10.217815	759.5409	221.98033	1135.2764	-28.684587	1.315598	1.3522877	22.229462	-9.518888	-776.4213	132.4836	81.1567	1247.3095214366913	38.97842261940241
33	9348.414	0.75546855	9349.36	9347.076	9359.893	0.090221375	9359.985	9359.73	1000.0	1000.0	164999	764.27936	221.96089	1051.835	-6.1426096	764.27783	221.96239	1091.8345	-21.377888	1.3343599	1.3332573	26.445625	-8.455799	-780.1034	122.49477	75.14102	1287.350329399109	39.01061610742049
34	9350.338	0.9887816	9351.708	9348.73	9359.803	0.17581299	9359.984	9359.481	1000.0	1000.0	169999	770.3177	219.53535	1109.8485	-14.236904	770.3166	219.54211	1176.0447	-17.008896	1.440196	1.3387067	18.983215	-9.171111	-785.71155	133.8096	82.25389	1327.3855249881744	39.040750798057104
35	9347.596	0.6979957	9348.382	9346.586	9359.575	0.16728719	9359.78	9359.23	1000.0	1000.0	174999	775.8167	219.31712	1021.1287	-20.299776	775.81775	219.31224	1029.1575	-14.884131	1.3384546	1.3350834	19.51644	-10.911389	-791.5281	142.34216	85.8246	1367.5300588607788	39.072287457329885
36	9348.201	1.4406391	9350.999	9346.914	9357.279	0.1618565	9357.516	9357.008	1000.0	1000.0	179999	780.30884	220.75748	1065.4607	-43.143433	780.3086	220.743	1064.3784	-17.05303	1.3658851	1.3331438	16.188656	-8.563657	-796.5533	125.0198	76.187935	1407.570478439331	39.099180022875466
37	9349.068	0.6267403	9349.778	9348.186	9355.341	0.23057052	9355.684	9354.979	1000.0	1000.0	184999	785.5776	220.00833	1025.457	-29.217777	785.5778	220.00385	1154.0912	-12.890126	1.3600509	1.3756979	20.98502	-11.075333	-802.1103	124.54392	76.613014	1447.6643207073212	39.126062786256945
38	9348.525	1.196426	9349.812	9346.272	9353.064	0.17091127	9353.277	9352.646	1000.0	1000.0	189999	793.90936	216.94354	1311.5995	-32.74223	793.9075	216.9366	1245.1631	-27.2768	1.3673515	1.28505	19.706573	-8.53605	-809.43616	119.065125	73.68209	1487.7255818843842	39.150673263951354
39	9346.33	1.5487282	9348.674	9344.973	9359.182	0.15421589	9359.373	9358.862	1000.0	1000.0	194999	800.227	215.49396	1060.3744	-38.52613	800.2255	215.49489	1078.4327	-25.894196	1.2664818	1.2710859	30.455452	-8.485212	-815.24854	126.74741	77.75115	1527.7838551998138	39.173945060143105
40	9346.904	2.4941049	9350.598	9343.365	9357.439	0.17988668	9357.719	9357.204	1000.0	1000.0	199999	804.7305	215.411	1123.9856	-33.501953	804.7272	215.41562	1260.1335	-33.976624	1.2468078	1.2599508	26.399624	-8.1977215	-820.1903	128.35115	78.400085	1567.8425488471985	39.196063780784606
41	9346.14	1.8295971	9349.747	9344.749	9357.025	0.25526977	9357.252	9356.321	1000.0	1000.0	204999	807.5761	215.96439	1101.6624	-150.46445	807.57275	215.96292	1184.5938	-17.293179	1.1817741	1.3450222	21.56378	-12.3791	-822.6186	129.66731	80.05315	1608.1887109279633	39.22411495301782
42	9348.614	4.2792115	9354.235	9344.247	9359.239	0.12758893	9359.437	9359.004	1000.0	1000.0	209999	809.02	216.20903	1078.7025	-31.073256	809.01825	216.21031	1148.0905	-22.943714	1.2111994	1.3158259	13.310024	-8.285316	-823.7607	113.52142	71.45989	1648.42720246315	39.248266776402794
43	9344.111	1.5280035	9346.065	9342.119	9351.3955	0.17131227	9351.664	9351.088	1000.0	1000.0	214999	813.9423	212.12793	1221.8536	-27.608654	813.9398	212.12546	1261.5464	-23.446444	1.2792774	1.3149655	17.012373	-9.007682	-828.3534	116.92483	72.96059	1688.7578120231628	39.273437544356945
44	9345.187	2.3305566	9348.847	9341.904	9355.808	3.5293603	9358.247	9350.248	1000.0	1000.0	219999	817.23645	210.5231	1147.8389	-33.601063	817.23553	210.51108	1219.4463	-21.071821	1.1725202	1.2802505	14.006793	-8.13353	-831.1262	130.76929	79.94126	1729.0529403686523	39.296657789837234
45	9348.783	1.5329447	9351.25	9347.131	9357.568	0.44413617	9358.0	9356.509	1000.0	1000.0	224999	818.3998	211.15903	1017.40186	-50.18298	818.3963	211.16243	1082.392	-18.29854	1.2784879	1.2789216	17.845196	-10.973564	-832.13434	128.35512	77.66281	1769.3171381950378	39.31815867424011
46	9350.24	1.435225	9351.783	9347.642	9359.389	0.12928633	9359.606	9359.131	1000.0	1000.0	229999	821.2989	209.66232	1137.8285	-24.959047	821.2986	209.64761	1094.5856	-33.215977	1.256329	1.2836448	17.425468	-9.153091	-834.72473	166.15556	96.51916	1809.2550094127655	39.33163069123807
47	9348.693	0.9555604	9349.886	9347.013	9359.496	1.1976961	9359.981	9355.914	1000.0	1000.0	234999	822.4703	210.00548	1211.8658	-34.164253	822.4681	210.00671	1286.4933	-36.046646	1.2159157	1.2585863	19.83905	-9.232548	-836.8523	129.05882	78.293045	1849.7595944404602	39.356587171554565
48	9349.221	0.9234679	9350.525	9347.966	9359.084	0.088025615	9359.161	9358.909	1000.0	1000.0	239999	824.48773	209.17407	1064.5944	-36.572998	824.48486	209.18315	1139.6877	-28.022327	1.2532064	1.2917044	19.249666	-7.916545	-838.1081	110.72975	68.7652	1890.3174402713776	39.381613383690514
49	9349.273	1.2943093	9351.357	9347.559	9359.76	0.14237665	9359.89	9359.388	1000.0	1000.0	244999	825.22186	209.99011	1098.5299	-23.959253	825.21826	209.98796	1182.546	-46.274113	1.3059291	1.2645284	14.208963	-9.8551655	-839.1291	104.44483	64.5064	1930.5545477867126	39.399072452467315
50	9347.035	1.4472989	9348.834	9344.6875	9359.579	0.111123204	9359.715	9359.381	1000.0	1000.0	249999	827.55695	208.04842	1208.8085	-15.231443	827.55493	208.04721	1177.307	-20.051329	1.1732482	1.2642281	15.022606	-8.440908	-841.43365	92.10383	59.351	1970.5423097610474	39.41084624290466
51	8598.607	1491.5485	9345.97	5615.5117	9353.533	0.10205475	9353.649	9353.303	920.2	1000.0	254999	830.1816	205.37979	1243.5457	-16.56944	830.17725	205.38846	1358.3405	-50.923405	1.1654048	1.2964224	40.89237	-8.484238	-843.4018	110.14683	67.57801	2010.568169593811	39.42290533757677
52	9348.133	1.1744388	9348.989	9345.812	9356.078	0.21780233	9356.276	9355.571	1000.0	1000.0	259999	833.5601	203.74297	1160.1067	-53.72325	833.5587	203.74998	1327.3715	-21.341217	1.253267	1.2427739	18.869959	-10.04337	-846.91724	111.9289	68.47533	2050.9233882427216	39.440834435132835
53	9350.053	0.9027921	9351.065	9348.747	7656.6353	3403.5447	9358.461	849.4091	1000.0	818.2	264999	835.2959	204.5247	1088.6755	-45.851723	835.2939	204.52556	1141.7372	-40.915997	1.1761065	1.2340877	27.546782	-8.409757	-848.3096	97.72687	61.417873	2090.531351327896	39.44398780138987
54	9350.377	1.014039	9351.556	9349.087	9357.819	0.096856594	9357.92	9357.626	1000.0	1000.0	269999	837.73474	201.94464	1183.5049	-60.293877	837.73303	201.95609	1224.2133	-29.41485	1.1775118	1.2159812	23.624279	-9.132352	-850.37134	113.05615	69.19954	2130.888288259506	39.46089426676432
55	9348.63	1.4129039	9351.183	9346.821	9356.509	0.12767561	9356.637	9356.263	1000.0	1000.0	274999	837.9127	203.20946	1108.0662	-46.27936	837.9102	203.21582	1150.1108	-24.848108	1.1182959	1.2665163	24.08818	-8.253177	-850.4787	100.92476	62.07455	2171.195554971695	39.47628286101601
56	9346.753	1.3557674	9348.409	9344.699	9355.225	0.22363943	9355.538	9354.633	1000.0	1000.0	279999	840.2748	199.56038	1042.0502	-58.052216	840.2722	199.56511	1132.5238	-27.598923	1.0187423	1.2283698	23.69693	-9.209048	-851.9744	104.6543	64.1745	2211.4092257022858	39.48945049302919
57	9349.088	0.72771585	9349.864	9347.951	9359.732	0.12653439	9359.844	9359.387	1000.0	1000.0	284999	840.2398	199.40625	1053.9	-74.434166	840.2397	199.40585	1136.9365	-27.101585	1.1118934	1.171608	13.343863	-10.511686	-852.2594	102.47061	64.377914	2251.6800451278687	39.503158724098874
58	9351.678	0.7825374	9352.776	9350.65	9359.081	0.0783791	9359.163	9358.862	1000.0	1000.0	289999	841.1019	198.40628	977.66565	-20.220709	841.10144	198.4087	932.8171	-32.737835	1.1472094	1.1545743	12.49333	-7.5919137	-853.2443	91.89627	58.501488	2291.846791744232	39.51459989876583
59	9350.865	1.0295402	9352.271	9349.852	9359.451	0.13195272	9359.629	9359.165	1000.0	1000.0	294999	841.73285	197.79388	1266.6436	-30.484058	841.7338	197.79285	1210.8264	-47.35908	1.1268772	1.220456	23.537169	-8.347155	-854.1251	94.85156	60.690376	2331.933452606201	39.524295847294695
60	9347.74	1.2757266	9349.947	9346.481	9359.627	0.25926676	9359.885	9358.966	1000.0	1000.0	299999	843.0244	197.09727	958.56	-151.07872	843.0227	197.0988	983.9979	-45.87317	1.0900886	1.1837888	26.986332	-8.640434	-855.18616	89.06832	56.1663	2372.200478076935	39.53667467435201
61	9345.691	1.5347482	9348.398	9344.274	9357.936	0.19020219	9358.118	9357.618	1000.0	1000.0	304999	845.4369	193.67023	1294.35	-15.921342	845.4337	193.68498	1319.809	-67.6617	1.1095295	1.211115	17.909	-8.123281	-857.66595	94.79189	58.359386	2412.602625608444	39.55086275397754
62	9348.631	1.4576114	9350.375	9346.292	9356.03	0.30468845	9356.273	9355.25	1000.0	1000.0	309999	846.0757	194.18698	1132.6558	-9.897884	846.0759	194.18796	1093.5951	-18.462852	1.1948981	1.1775969	13.999813	-10.190515	-857.86365	77.70271	50.62074	2453.322167158127	39.56971241197279
63	9351.303	0.60952353	9352.129	9350.605	9356.518	0.066678554	9356.596	9356.41	1000.0	1000.0	314999	849.2504	190.65517	1356.9302	-24.540936	849.2505	190.64818	1131.7611	-37.11463	1.1272477	1.1760633	15.138401	-8.739785	-860.5617	91.07793	57.295727	2493.8142898082733	39.584353840540324
64	9350.572	0.22299822	9350.858	9350.305	9357.373	0.14051442	9357.518	9357.105	1000.0	1000.0	319999	849.9176	189.4305	1061.433	-44.19236	849.9151	189.43515	1042.5929	-28.300535	1.2239084	1.2104318	14.256091	-8.763469	-861.1748	95.46744	60.33588	2534.3519475460052	39.599249213933945
65	9351.047	0.52113444	9351.6	9350.124	9357.467	0.08582034	9357.575	9357.328	1000.0	1000.0	324999	852.1585	187.67198	1305.0876	-40.72356	852.15906	187.66417	1197.0863	-59.71451	1.3834096	1.2057061	15.508873	-9.72735	-863.0259	109.91015	67.20446	2574.9830067157745	39.61512321692247
66	9349.62	2.1667705	9352.676	9347.251	9355.772	0.18251768	9356.019	9355.428	1000.0	1000.0	329999	854.31464	186.15556	1093.3654	-28.244488	854.31415	186.15285	1025.4214	-24.683151	1.1895095	1.2274708	31.095976	-8.500313	-864.8528	111.486275	67.44278	2615.4491109848022	39.62801686922709
67	4678.287	3021.1648	9353.447	1373.242	1567.9905	186.16588	1803.4023	1298.758	500.36365	167.8	334999	853.2066	185.89758	1203.1276	-30.485134	853.20703	185.89702	1277.8246	-43.547977	1.1910844	1.1847049	30.266256	-8.440347	-863.5525	211.4177	119.37686	2653.2092616558075	39.600138269253634
68	4492.9346	2449.7158	9353.675	1401.0515	9358.748	0.1239015	9358.902	9358.556	480.6	1000.0	339999	846.8799	191.63795	1161.8168	-39.289684	846.8851	191.65819	1340.5905	-30.282116	1.3445617	1.2293698	19.007385	-7.6946898	-856.2515	387.1703	212.90005	2693.704611301422	39.6133031354231
69	9351.402	1.6827654	9353.871	9348.694	9359.786	0.2081728	9359.908	9359.2705	1000.0	1000.0	344999	840.2708	200.86346	1176.7782	-139.29662	840.259	201.0017	1240.7074	-49.263874	1.4395632	1.3073617	18.188883	-10.177455	-850.466	300.0116	172.78636	2734.3252141475677	39.627901688866
70	9348.475	0.42407063	9349.164	9347.857	9359.101	0.6487796	9359.656	9357.974	1000.0	1000.0	349999	839.8778	203.50159	2004.226	-52.29735	839.8782	203.53583	2012.4656	-38.623737	1.3721768	1.3147331	35.263863	-7.8850555	-850.3669	286.66138	164.03912	2774.4380366802216	39.634829132897515
71	9349.201	1.6185284	9351.052	9346.535	9358.017	1.256101	9358.538	9354.26	1000.0	1000.0	354999	840.4177	205.17004	2761.1094	-51.00873	840.41626	205.20706	2704.0894	-81.56796	1.3420632	1.2031019	25.480057	-8.488932	-851.6634	301.03152	172.05777	2814.852183818817	39.64580543612091
72	7613.029	2633.7861	9350.932	2493.108	9358.35	0.30899325	9358.755	9357.856	814.3333	1000.0	359999	840.8507	205.4835	3092.584	-47.86885	840.8516	205.4948	3069.9412	-52.359726	1.281041	1.1673123	28.712318	-12.217859	-852.12164	666.3484	359.5649	2855.2584114074707	39.65636685490608
73	9352.322	2.2996037	9354.557	9348.63	9331.351	0.3689238	9332.021	9330.818	1000.0	1000.0	364999	844.6478	205.44084	3448.1108	-141.5038	844.6482	205.48703	3311.048	-183.47777	1.7272307	1.2221385	32.281013	-10.4799385	-856.1854	2147.0146	1124.5144	2895.87978720665	39.66958615877857
74	5774.2847	3688.673	9348.498	810.44165	9357.232	0.45634055	9358.304	9356.7	618.0	1000.0	369999	864.5182	212.44724	2724.2524	-324.9968	864.4938	212.54387	2727.261	-201.80013	2.2076876	1.1648555	31.86308	-9.653681	-881.50385	1440.318	785.97955	2936.722491502762	39.685439106580375
75	8802.161	1091.1919	9355.867	6619.8076	9352.495	0.29751244	9352.951	9351.893	941.8	1000.0	374999	940.61993	236.27023	2428.6501	-779.4646	940.67737	235.88673	2489.112	-269.6725	2.4578466	1.1379669	35.986053	-6.75859	-959.04193	1002.1833	575.8501	2977.529663324356	39.70039554595947
76	9341.232	5.537458	9349.916	9334.119	9344.005	0.23383054	9344.396	9343.525	1000.0	1000.0	379999	996.9573	243.24023	1614.094	-808.2587	996.9988	242.90427	1620.656	-346.63525	2.800462	1.3401499	39.346832	-7.5363564	-1014.7886	1023.6576	583.5687	3017.9392762184143	39.709727353171296
77	8985.244	730.67053	9352.67	7523.91	9351.569	0.17371754	9351.805	9351.294	961.2	1000.0	384999	1082.797	255.52469	1553.2125	-636.2371	1082.8282	255.37411	1738.2858	-330.14542	2.9498498	1.2866817	44.45968	-8.512745	-1103.6334	849.2318	484.76996	3058.753298997879	39.72406884911773
78	9352.438	0.24261162	9352.734	9351.997	9353.001	0.14823498	9353.32	9352.854	1000.0	1000.0	389999	1181.3398	270.7787	1548.7274	-356.33386	1181.3514	270.71393	1614.1439	-243.43555	2.868882	1.1639577	29.595516	-6.2819633	-1206.3579	794.2926	465.4441	3099.31364774704	39.73479038629777
79	9352.62	0.34603262	9353.004	9352.098	9351.591	0.16649374	9351.866	9351.347	1000.0	1000.0	394999	1253.0372	272.98886	1528.6643	-308.6251	1253.0546	272.89447	1534.6631	-236.35439	2.837357	1.1139463	44.923832	-7.6261616	-1273.4222	665.197	397.7701	3139.709782600403	39.74316183223
80	9352.017	0.10059921	9352.162	9351.889	9352.894	0.16445875	9353.171	9352.682	1000.0	1000.0	399999	1279.4897	272.7845	1535.5231	-445.19635	1279.4918	272.77283	1518.5865	-459.6913	2.9029007	1.1384269	19.491047	-9.345699	-1296.8187	786.3318	450.2807	3180.169527053833	39.752119114995004
81	6718.997	3239.6953	9351.759	1345.231	9351.033	0.15932341	9351.296	9350.711	718.5714	1000.0	404999	1279.3015	270.32285	1705.0796	-608.88226	1279.3031	270.30246	1712.8763	-519.37335	2.8941588	1.1616377	36.130013	-6.1616106	-1292.8556	734.483	421.8197	3220.7903180122375	39.76284346168424
82	4589.079	3583.7913	9351.092	914.7283	9347.636	0.23192547	9347.887	9347.102	490.91666	1000.0	409999	1256.0122	269.18356	1523.4253	-389.03214	1256.016	269.12766	1538.5787	-342.55804	2.618972	1.2298552	35.524803	-8.883391	-1267.4159	853.3192	479.2591	3261.4367139339447	39.773618494592064
83	9333.041	5.3004127	9342.161	9327.544	9323.393	0.24470404	9323.946	9323.039	1000.0	1000.0	414999	1238.492	260.78732	1517.6964	-475.52277	1238.4955	260.72406	1533.9602	-394.8595	2.6834245	1.2629019	37.1115	-12.322022	-1251.2609	1071.7024	591.5666	3301.877598285675	39.78165783939591
84	9329.1875	7.6982765	9343.524	9322.782	9336.719	13.726175	9357.512	9325.954	1000.0	1000.0	419999	1228.8164	254.24971	1765.7412	-465.54034	1228.8213	254.21187	1701.6702	-312.7225	2.439104	1.1671695	30.096964	-7.476775	-1241.1873	732.4243	415.61212	3342.368038892746	39.790095726648964
85	9343.458	6.8262753	9350.609	9331.905	9355.227	0.19079268	9355.472	9354.882	1000.0	1000.0	424999	1206.269	252.5463	1800.9297	-659.2758	1206.2858	252.46321	1536.1102	-554.2859	2.1293154	1.2736244	42.36381	-9.378412	-1218.3876	754.0087	426.68256	3382.7814614772797	39.79742899502025
86	9352.31	1.6617752	9355.303	9350.805	9359.283	0.25193608	9359.768	9358.942	1000.0	1000.0	429999	1185.0876	248.76187	1843.7211	-315.03104	1185.0992	248.70717	1573.2034	-369.14813	2.128213	1.3936398	41.742134	-7.7638817	-1196.2699	719.1395	412.37222	3423.4604313373566	39.80767945910609
