Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	Time Steps	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
28	290.4773	52.451817	404.05228	186.74286	175.81818	106.52585	29.330471	143.15016	7.7129865	116000	2.1457673e-08	142.31209	-0.10192833	-78.79001	0.6685064	0.033489514	0.4835	79.0	116.21407961845398
29	318.8894	77.81293	462.5089	163.20314	205.26315	98.8175	33.39894	138.44173	-19.65503	120000	-1.1920929e-09	472.66296	-0.09321366	-313.82117	0.6560853	0.02195864	0.46425	79.0	120.0061821937561
30	292.72293	77.03393	457.66397	116.63053	183.33333	101.80692	37.57363	144.7235	-27.079378	124000	-1.001358e-08	249.88855	-0.09694616	-115.937195	0.6472184	0.015884327	0.48025	79.0	123.91762208938599
31	280.41306	64.18257	387.8618	136.02637	175.72728	94.19493	39.225677	149.33466	-28.0813	128000	-3.218651e-09	419.3478	-0.094401255	-231.9853	0.6393016	0.017369896	0.47675	79.0	127.55949258804321
32	325.05298	77.80976	557.8051	214.45	188.0	108.0037	32.506138	149.98904	6.275574	132000	3.8146974e-09	161.22258	-0.09685913	-91.92718	0.6312458	0.04609723	0.5085	79.0	131.29065895080566
33	320.1739	79.188545	501.34485	225.78757	186.4762	110.58984	31.245005	148.80708	8.527981	136000	-4.768372e-10	146.21739	-0.104625076	-63.039093	0.6238867	0.02405141	0.4915	79.0	135.1834053993225
34	283.44574	66.01427	425.0527	155.15916	178.63637	101.5715	37.331207	142.9239	-17.029158	140000	-3.170967e-08	514.7078	-0.09504282	-356.68268	0.61310154	0.01386536	0.48625	79.0	139.23283529281616
35	339.24118	87.78079	609.38666	221.50554	196.05263	101.724014	36.946613	144.70424	-9.677523	144000	4.0084123e-09	623.4749	-0.087212205	-541.76575	0.6006497	0.043926623	0.47375	79.0	143.41585731506348
36	306.94052	40.93305	384.63287	234.27676	170.27272	111.71554	33.191154	149.52121	-0.07151319	148000	1.2874604e-08	222.57411	-0.103839494	-132.50128	0.593256	0.029052444	0.4935	79.0	148.4001522064209
37	308.80063	66.35046	390.85092	59.15843	175.09091	108.95561	33.141045	148.59892	-6.922972	152000	-5.2452087e-09	314.57214	-0.09372974	-201.9718	0.5848053	0.016655318	0.48675	79.0	152.41700315475464
38	318.66266	42.019962	404.0989	250.16061	176.77272	110.88128	33.516693	145.10205	7.010853	156000	1.1205673e-08	176.5309	-0.1050067	-74.198006	0.57363874	0.042982556	0.51725	79.0	156.67062640190125
39	319.44897	51.696472	402.28082	230.71022	173.34782	108.36563	33.629177	144.6166	2.6404662	160000	-2.8371812e-08	236.49907	-0.107260644	-92.73413	0.5633965	0.03293215	0.52875	79.0	160.85937237739563
40	333.54034	59.805916	497.32846	260.14725	187.0	113.327774	34.222324	149.52846	-1.2573222	164000	-5.2452087e-09	150.64964	-0.10385875	-63.346046	0.55107445	0.03978881	0.52075	79.0	165.22007417678833
41	323.98328	74.580475	450.01718	168.50604	182.90475	113.870155	31.48539	148.06866	-1.7807444	168000	-5.722046e-09	332.51022	-0.09451709	-209.19156	0.54291975	0.0186215	0.479	79.0	170.1925458908081
42	326.41074	49.362415	495.58148	273.19318	173.78261	109.401276	35.946854	148.62901	2.2933211	172000	-1.37090685e-08	157.56104	-0.10281644	-90.21603	0.53247005	0.03586056	0.5215	79.0	174.58853244781494
43	341.36356	69.299866	531.80237	221.38217	184.71428	116.900826	35.153366	156.54079	1.812578	176000	-1.0490417e-08	133.12541	-0.104392566	-53.19626	0.52112013	0.040272053	0.5005	79.0	178.87701511383057
44	313.83813	53.12396	410.26373	190.63084	166.13043	116.32412	36.28406	157.04872	3.1702647	180000	-8.761883e-09	135.93877	-0.10477543	-70.90758	0.5122171	0.027949844	0.51725	79.0	182.96968340873718
45	345.06012	60.18224	495.04858	222.40189	185.09525	114.6948	35.41547	159.83687	-1.4126818	184000	-2.5749207e-08	143.15688	-0.10457093	-65.52782	0.49951315	0.040906526	0.523	79.0	187.1569664478302
46	339.69894	44.888214	452.6664	283.26816	177.18182	117.64062	35.231583	154.16537	-2.576974	188000	6.6757204e-09	116.485664	-0.10275978	-47.725685	0.49001318	0.024579447	0.5055	79.0	191.24692010879517
47	353.19214	50.23361	437.01782	234.13841	184.61905	118.80226	36.936844	158.85342	-0.35285825	192000	2.9802323e-09	87.12218	-0.10204953	-45.303017	0.478455	0.036903568	0.478	79.0	195.34194898605347
48	345.47794	41.232147	466.70987	273.0218	172.73914	117.791794	37.70304	158.8621	-0.42603117	196000	-6.198883e-09	146.0908	-0.10510265	-80.37561	0.4690164	0.04537494	0.531	79.0	200.7829566001892
49	334.45367	76.61325	432.57346	71.74663	181.45454	121.97704	41.160328	164.05048	-13.672891	200000	-2.1040439e-08	368.1869	-0.09343302	-268.9813	0.45684835	0.006573797	0.49325	79.0	205.15167808532715
