Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time	AVG Time Per Epoch
1	-42.98589	4.238425	-34.55573	-59.063114	-9.896473	2.01547	-6.393795	-13.256081	50.0	50.0	4999	-1.6642965	0.6612504	0.88606304	-4.982316	-1.6642542	0.6611391	0.74178576	-4.991078	0.97479564	0.06699898	16.426077127456665	16.426079750061035
2	-42.994144	4.1110287	-32.019802	-58.19823	-9.142748	1.5629998	-6.7595406	-11.54448	50.0	50.0	9999	-3.0731552	1.0649457	0.3392218	-8.063836	-3.0730882	1.0648153	0.19008802	-8.189654	2.358156	0.12408048	36.09905290603638	18.049527645111084
3	-10.787249	3.4724207	-3.01238	-20.134851	-9.498167	4.628726	-2.0953727	-15.318492	50.0	50.0	14999	-4.1101537	1.3789469	1.1090603	-9.941477	-4.110157	1.378394	1.324836	-9.871349	3.4699805	0.23486848	57.91805696487427	19.30601978302002
4	-10.333477	3.4258497	-3.0270295	-25.630924	-9.101024	2.4564042	-2.4842837	-11.927288	50.0	50.0	19999	-4.7112155	1.4930809	0.7745609	-10.8457575	-4.7112436	1.4932745	1.4787257	-10.529926	4.20079	0.3725336	79.41921949386597	19.854805529117584
5	-11.43805	3.889417	-2.6017702	-27.240797	-11.366744	4.0617013	-5.8122	-17.006083	50.0	50.0	24999	-5.2398677	1.6639402	1.3187525	-11.684972	-5.2398324	1.6651323	1.3383552	-11.861372	4.7992024	0.49071786	100.72090411186218	20.144181346893312
6	-10.737668	4.2450204	-3.4399712	-21.083836	-9.514994	4.8906913	-3.154394	-14.956814	50.0	50.0	29999	-5.4810495	1.813401	2.2074106	-12.527063	-5.4811335	1.8150995	1.806431	-13.025663	5.0558724	0.5608634	122.78820157051086	20.46470061937968
7	-11.41515	4.953785	-3.2086232	-22.915508	-12.043862	7.1890545	-4.154674	-27.375576	50.0	50.0	34999	-5.6544685	1.8443832	1.904226	-12.957892	-5.6545897	1.8447134	1.619884	-13.159238	5.2524786	0.6203923	144.16695404052734	20.595279455184937
8	-10.8124275	4.7148223	-2.7001727	-23.840164	-8.876033	4.2879705	-4.5643787	-17.235914	50.0	50.0	39999	-5.8822975	1.9823278	2.2587957	-13.342546	-5.88242	1.9837176	1.8254629	-13.676142	5.527908	0.71159524	165.7920310497284	20.72400414943695
9	-10.082822	4.7616563	-2.7447813	-21.518711	-7.4590406	3.113053	-2.7048092	-14.9674835	50.0	50.0	44999	-6.094793	2.1417556	3.0383396	-14.796835	-6.0948615	2.1422098	6.17214	-14.773607	5.7566595	0.7965752	187.13217687606812	20.792464388741386
10	-8.656805	4.242762	-2.903055	-24.005814	-8.5431	5.847435	-3.2298532	-21.719225	50.0	50.0	49999	-6.219952	2.1669369	1.5076158	-14.995028	-6.219874	2.1678193	1.7404883	-15.447031	5.8832183	0.8654625	208.20064282417297	20.820064520835878
