Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time	AVG Time Per Epoch
1	-42.90322	3.6202826	-36.035786	-53.90377	-8.378149	2.761105	-3.785394	-13.459615	50.0	50.0	4999	-1.7824663	0.9364378	1.0957831	-7.3556323	1.0899616	0.04168475	23.58396077156067	23.583962440490723
2	-43.126587	3.338004	-34.387157	-50.6443	-8.971919	3.051583	-3.110611	-12.781636	50.0	50.0	9999	-2.3116496	1.3249153	5.1152625	-8.362311	1.4856128	0.054532606	53.246459007263184	26.623230457305908
3	-10.818659	2.9058168	-3.906445	-20.018555	-9.285123	5.6394324	-1.9617807	-17.964334	50.0	50.0	14999	-0.5158482	2.2722645	10.513404	-7.925296	-0.30785328	0.2076522	83.91461038589478	27.971537431081135
4	-11.447931	3.3143325	-5.500071	-22.321127	-8.038622	2.3189843	-4.057284	-12.356154	50.0	50.0	19999	2.001642	3.4801662	25.160553	-8.509023	-2.9055214	0.96753186	114.7935471534729	28.698387265205383
5	-18.56108	7.557354	-7.258207	-49.81339	-24.44146	11.194905	-10.495469	-39.125103	50.0	50.0	24999	12.319739	13.879728	164.65051	-10.7817545	-15.110789	23.381493	145.8064522743225	29.161290836334228
6	-35.08445	10.80336	-8.544491	-62.23367	-43.905968	8.998332	-30.943459	-64.65017	50.0	50.0	29999	75.34599	70.69533	552.905	-27.83956	-89.2441	705.3453	176.92795658111572	29.487993121147156
7	-45.83444	14.57899	-16.319792	-75.05677	-50.515327	17.669035	-23.920525	-75.638565	50.0	50.0	34999	214.64029	135.45383	907.6685	-22.525114	-245.57927	4121.332	208.1093726158142	29.729910612106323
8	-46.83976	15.426647	-18.090801	-80.44528	-44.647724	9.317482	-30.747448	-63.16576	50.0	50.0	39999	382.7967	209.53075	1550.071	-65.46417	-432.5002	11990.778	239.05491018295288	29.88186401128769
9	-38.669575	13.777126	-12.208357	-75.2453	-29.894724	12.4359	-11.975039	-50.21224	50.0	50.0	44999	612.80096	325.74292	2660.508	-41.120495	-688.4872	30077.9	270.3113040924072	30.034589582019382
10	-38.987415	16.293537	-12.87317	-74.536736	-49.194843	15.906175	-19.951704	-75.1582	50.0	50.0	49999	879.2811	510.03104	3753.1929	-87.3041	-983.7838	63810.895	301.43713450431824	30.143713665008544
