Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time	AVG Time Per Epoch
27	-5.7564898	1.569527	-2.3904083	-9.088806	-4.5498295	1.4245067	-2.4118533	-7.365878	50.0	50.0	134999	-1.2413608	1.1587197	1.2343602	-9.479059	1.1354523	0.013776523	553.713668346405	20.50791371310199
28	-5.123786	1.425172	-2.0875704	-8.357283	-3.834927	1.5489866	-1.1506016	-6.312626	50.0	50.0	139999	-1.2270812	1.142214	1.6039443	-9.253016	1.1239202	0.013389203	573.949982881546	20.498213750975474
29	-5.5081844	1.471053	-2.75386	-8.864273	-4.065524	1.4854583	-2.6049461	-7.6900473	50.0	50.0	144999	-1.2208283	1.1324499	0.7583606	-9.868382	1.1207905	0.013191571	594.2148704528809	20.490168004200378
30	-5.602542	1.3750948	-2.4075046	-8.816439	-4.148636	1.8714017	-1.6021748	-7.206632	50.0	50.0	149999	-1.2176466	1.1388541	2.3827236	-9.125216	1.1191916	0.013534807	614.5438413619995	20.48479477564494
31	-5.5869036	1.5825874	-2.2871256	-8.653571	-4.9619737	1.1114221	-3.0115736	-6.6308966	50.0	50.0	154999	-1.1929975	1.1336219	1.2010525	-9.268251	1.0960915	0.01293104	634.7310304641724	20.47519459262971
32	-5.8778834	1.5101511	-2.466556	-9.769183	-3.6077507	1.3559898	-1.368679	-5.4611263	50.0	50.0	159999	-1.171575	1.1179242	1.8547323	-8.900019	1.0764858	0.0129568055	654.963376045227	20.467605598270893
33	-7.4375544	3.3284867	-2.8095021	-17.58636	-5.238008	3.3208442	-1.3310096	-14.318352	50.0	50.0	164999	-1.1104593	1.1108478	2.6405036	-9.18053	1.0028055	0.01462731	675.0895583629608	20.45725940213059
34	-5.623849	1.4010022	-2.1835995	-9.691221	-4.002635	1.7841475	-1.3317523	-6.037304	50.0	50.0	169999	-1.1515807	1.1293358	1.9098786	-9.910343	1.0576814	0.013728729	695.3577978610992	20.45169998617733
35	-5.6106243	1.356168	-2.216549	-8.659992	-4.264664	1.1899668	-3.0274742	-6.5090575	50.0	50.0	174999	-1.171015	1.1329454	2.9083319	-9.851611	1.0794927	0.013760333	715.6373131275177	20.44678044319153
36	-5.7119236	1.5050298	-2.5707262	-10.848843	-4.7318525	1.4853151	-2.0718434	-7.3298545	50.0	50.0	179999	-1.1621066	1.1301152	1.8301241	-9.106013	1.0731457	0.012957786	736.0246090888977	20.445128089851803
37	-5.9218483	1.4401722	-1.7727097	-9.460068	-4.5381575	2.362629	-1.0058931	-10.430073	50.0	50.0	184999	-1.1374977	1.1117331	1.6933788	-10.513052	1.0491524	0.012641083	756.1473615169525	20.43641522124007
38	-5.5046887	1.8038008	-2.0595503	-13.143984	-5.0960817	1.7362585	-2.0236814	-7.5056806	50.0	50.0	189999	-1.1463668	1.0999018	1.2551687	-10.147906	1.0605367	0.0128297955	776.4181616306305	20.43205694148415
39	-5.762218	1.5836651	-2.1644652	-8.945673	-4.2971663	1.270196	-1.7504408	-6.1196284	50.0	50.0	194999	-1.1375034	1.100718	1.6542559	-9.304639	1.0518935	0.01254516	796.3941946029663	20.420364019198296
40	-5.9928203	2.7308695	-2.1338174	-22.281406	-3.908847	1.5000085	-1.3369129	-6.201567	50.0	50.0	199999	-1.1367269	1.0883512	2.4510727	-10.070364	1.0534335	0.012258297	816.5487947463989	20.413719916343688
41	-5.6225677	1.6708003	-2.219623	-9.653324	-4.318616	0.9531527	-2.2111158	-5.4139643	50.0	50.0	204999	-1.141043	1.0931041	2.8075895	-10.184925	1.058703	0.01274802	836.7742793560028	20.409128811301255
