Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
33	188.28836	181.4765	968.2241	-56.600464	252.43484	200.32954	693.7973	17.162788	137.32433	153.4	164999	235.24538	41.177624	342.80725	-198.73831	-237.68324	65.966805	1330.0889999866486
34	255.99883	170.61522	664.8092	2.0557835	417.24658	198.74434	703.50916	192.06908	143.57143	201.8	169999	235.11162	41.955288	347.50113	-350.45102	-237.64735	66.64714	1373.9595046043396
35	258.07532	208.63795	925.9767	15.134167	1028.6067	566.7513	2200.3188	323.00012	119.82051	465.4	174999	237.75749	42.09348	354.15292	-331.74377	-240.345	68.50683	1416.7317056655884
36	426.05698	440.13937	1832.7664	24.077852	884.5255	405.77844	1475.7848	185.06374	197.73914	520.1	179999	241.77043	44.053295	370.73553	-375.3995	-244.46616	71.48003	1461.6526432037354
37	422.5785	468.4644	1835.2189	55.503803	828.5754	298.59442	1096.7922	202.38751	252.61905	654.9	184999	247.47249	46.399883	384.76166	-312.55493	-250.24216	71.87208	1505.928920507431
38	273.94003	299.89896	1302.4537	9.990131	70.761536	38.8107	122.075516	30.642572	138.35898	43.1	189999	257.67224	49.968338	404.85504	-187.79343	-260.76755	77.6675	1546.857505083084
39	407.8809	275.04492	1055.3168	25.144156	749.9969	281.21075	1438.714	519.7299	144.6	219.5	194999	269.06134	52.57326	433.82077	-230.64381	-272.36646	86.88641	1590.789431810379
40	531.3933	308.78552	1373.6979	49.453228	386.91068	433.9769	1308.0771	21.005009	182.1923	127.1	199999	283.7438	55.84461	444.89407	-311.34702	-287.3947	89.97881	1629.678361415863
41	585.04877	391.62607	1952.0344	22.381601	542.06793	177.40175	896.93604	360.72574	200.76923	174.4	204999	298.43665	58.14397	450.6257	-279.84088	-302.2278	95.083084	1673.7788591384888
42	450.21216	287.69864	1391.658	18.038519	316.92786	355.01254	1210.961	61.350815	153.51515	114.7	209999	312.99725	59.48184	461.22537	-227.01675	-316.8539	98.02541	1717.1807370185852
43	543.62616	349.57608	1437.2612	67.49839	655.979	386.6842	1337.5045	129.44995	184.34782	225.7	214999	319.99054	59.910576	457.10876	-198.67012	-323.76807	98.9235	1761.4234569072723
44	385.81033	324.36157	1181.4355	13.962388	583.33215	134.17331	868.2801	404.86884	167.14706	214.4	219999	326.21683	59.67253	459.50107	-249.64703	-329.96933	108.18109	1804.8742847442627
45	576.4537	525.9419	2275.6086	33.027344	1081.2018	265.96042	1512.0527	657.83453	229.85715	409.4	224999	331.61932	59.290283	460.56848	-283.42007	-335.30185	109.71705	1849.6246311664581
46	596.0539	542.83057	1926.9506	1.9148915	621.5193	195.57202	1078.3315	372.74136	274.0625	245.4	229999	335.52246	58.273407	463.68027	-331.12732	-339.22137	109.26186	1892.6613686084747
47	488.76657	322.18762	1297.195	21.204176	84.107895	132.11375	466.22525	22.345568	214.14815	49.2	234999	339.66046	56.474316	488.45758	-232.70358	-343.29996	110.4354	1936.429838180542
48	272.3883	330.88766	1153.4264	5.298697	344.1084	500.65866	1700.0541	96.51494	126.475	166.8	239999	341.9911	56.20961	499.17728	-179.90735	-345.49704	108.41146	1979.5636401176453
49	495.93216	404.51743	1547.6249	22.100706	643.2008	419.0709	1806.999	210.5504	201.84	279.6	244999	341.1928	55.838398	484.94757	-273.56757	-344.47226	113.18409	2022.0616495609283
50	434.11743	218.46362	951.1995	17.042442	1471.08	793.5798	2930.483	552.9445	174.64285	536.2	249999	336.78183	53.422775	469.57678	-219.81328	-339.8528	107.11672	2067.2104613780975
51	499.5879	442.31503	1582.1096	24.116737	104.720314	117.402565	362.4526	35.63928	188.38461	49.9	254999	332.29153	52.94813	450.74573	-303.87704	-335.2314	103.5203	2111.1571719646454
52	262.77994	382.31384	2031.5544	4.725216	576.84344	333.925	1154.5487	22.249966	124.42857	220.7	259999	329.2071	54.33324	472.031	-307.05582	-332.3109	105.88095	2155.0413756370544
53	336.25995	297.65497	1405.4862	13.34024	385.4245	135.7755	606.0836	215.48027	126.26316	155.4	264999	331.13403	56.18628	474.9627	-260.8567	-334.2861	100.85673	2199.3772370815277
54	632.1978	411.2024	1479.4493	119.91106	701.0003	332.66675	1371.4147	326.27737	204.68	229.4	269999	334.56448	57.385876	477.10275	-321.95712	-337.81726	100.748116	2243.09974527359
55	367.7548	301.10693	1150.5756	25.15656	267.89227	236.26598	800.02856	13.47373	136.75676	113.7	274999	338.02042	56.57429	481.16995	-217.0001	-341.2702	112.718124	2287.5173304080963
56	431.60464	309.1475	1167.8447	6.9206038	429.9577	373.87656	957.8864	19.346066	173.39285	133.2	279999	341.8258	56.12574	476.25128	-317.23715	-345.04367	105.81712	2332.062919616699
57	602.072	556.3462	2531.019	18.111673	394.97598	342.7594	1048.1688	72.108734	217.36363	185.4	284999	343.62143	54.74188	464.5261	-198.32657	-346.6818	104.97475	2376.548308134079
58	842.21484	781.1564	3172.1294	28.472311	472.91168	360.7236	1094.3314	43.61336	254.7619	140.3	289999	344.25186	53.33796	464.224	-300.5711	-347.25085	105.87246	2421.0031414031982
59	375.17905	384.09564	1792.1569	25.298466	938.74255	595.3352	2622.7236	496.98602	137.88889	263.5	294999	344.487	53.325264	465.65643	-183.39111	-347.45444	109.0476	2465.534220933914
