Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageQ3Vals	StdQ3Vals	MaxQ3Vals	MinQ3Vals	LossPi	LossQ	Time	AVG Time Per Epoch
19	-9.799822	3.484157	-3.627479	-21.095095	-6.111249	2.613666	-2.5250876	-10.576311	50.0	50.0	94999	-9.870901	2.9449015	11.644375	-24.229553	-9.871013	2.945943	8.218402	-24.674463	-9.871252	2.9459722	5.9901333	-25.578392	9.47473	3.7707531	490.09918880462646	25.794694247998688
20	-9.168568	2.9030793	-2.2477348	-15.555607	-7.6696978	3.673055	-0.9260434	-14.702484	50.0	50.0	99999	-10.07324	3.033575	10.039581	-25.192171	-10.073062	3.0358565	5.6057577	-26.714525	-10.073344	3.0359292	6.886501	-25.839691	9.649489	4.1531196	516.947155714035	25.84735789299011
21	-9.699804	3.604273	-3.6360643	-31.131208	-6.2926087	2.1615727	-3.4640286	-9.983086	50.0	50.0	104999	-10.181283	3.0580065	7.179375	-27.010635	-10.181287	3.0577738	4.371754	-26.156374	-10.181373	3.0576844	5.337462	-26.699648	9.763507	4.1294475	543.5959575176239	25.88552188873291
22	-9.083439	3.0056202	-2.9152098	-17.486713	-8.129007	2.7948563	-4.548478	-12.915837	50.0	50.0	109999	-10.274575	3.094017	8.879987	-25.944395	-10.274656	3.0948708	9.130187	-26.285643	-10.274625	3.0939245	6.0771832	-25.41004	9.867673	4.2682757	570.2541356086731	25.920642603527416
23	-10.235186	3.3235145	-2.3819218	-19.02309	-9.6437845	2.3575191	-6.124514	-12.504156	50.0	50.0	114999	-10.269083	3.155412	6.5273085	-27.133884	-10.26899	3.1567278	9.001785	-25.598204	-10.268839	3.1565638	6.2947936	-25.453354	9.863637	4.2593274	596.5019176006317	25.934866075930387
24	-10.746669	4.42508	-2.8950827	-28.993662	-9.478882	3.6804905	-1.6806482	-14.529713	50.0	50.0	119999	-10.234244	3.1753316	7.3303623	-27.550953	-10.234359	3.1758347	8.078498	-26.410633	-10.234231	3.1772316	7.907453	-27.157133	9.8291	4.1462846	622.5520601272583	25.939669251441956
25	-10.588949	4.619001	-2.8753922	-23.994509	-8.630092	7.3048415	-1.7168295	-26.764856	50.0	50.0	124999	-10.204113	3.1825213	9.53766	-27.290026	-10.203955	3.1821554	6.4147816	-26.826895	-10.203922	3.1845193	8.403359	-27.334644	9.806255	4.1146784	648.7124087810516	25.94849642753601
26	-11.177875	4.454301	-3.2457714	-31.205473	-9.731746	3.9277284	-2.3098955	-17.188513	50.0	50.0	129999	-10.196479	3.1646044	10.767433	-26.710701	-10.196678	3.164716	7.701453	-26.924175	-10.196324	3.1667452	10.016351	-28.14384	9.82298	4.159729	675.0060093402863	25.96176967254052
27	-10.763649	4.2286634	-2.6424208	-24.885603	-8.670819	2.1871336	-5.914938	-13.061411	50.0	50.0	134999	-10.154692	3.133272	5.698639	-27.915867	-10.15478	3.1324358	10.392029	-27.047564	-10.154613	3.1341286	7.968667	-26.949762	9.79478	4.0979943	701.1677436828613	25.969175771430688
28	-10.035374	3.8463724	-3.0550401	-18.190916	-7.9917283	4.302054	-3.4399707	-16.815804	50.0	50.0	139999	-10.114353	3.110948	6.866244	-25.779934	-10.11428	3.1114087	9.311491	-26.70839	-10.113915	3.1148486	9.701547	-27.38426	9.7632475	4.061252	727.4453926086426	25.9801926612854
29	-10.189774	3.7479393	-2.7622552	-18.083477	-10.398626	3.9787478	-5.5188246	-15.9457	50.0	50.0	144999	-10.133177	3.157528	6.9155393	-25.001696	-10.133145	3.1570318	7.869889	-25.683558	-10.132839	3.160222	9.895065	-25.832523	9.802447	4.0796146	753.7771134376526	25.992314314020092
30	-10.145858	4.20935	-2.3553357	-18.358778	-9.864318	4.183838	-2.3357012	-14.709012	50.0	50.0	149999	-10.124634	3.2051044	12.219156	-26.273146	-10.124519	3.2064855	18.318718	-25.833632	-10.124414	3.2075307	7.780315	-26.209131	9.766794	4.1508203	780.0926630496979	26.003088839848836
31	-10.209493	3.6485693	-2.576419	-18.341478	-9.37219	2.7195895	-6.754847	-16.626654	50.0	50.0	154999	-10.062943	3.2246864	7.794378	-26.031027	-10.062769	3.2258086	8.495794	-25.816076	-10.062737	3.227007	9.294689	-26.489733	9.698424	4.0906835	806.4128139019012	26.013316646698982
32	-9.437022	4.020092	-2.7908375	-28.445366	-8.216673	4.1207676	-4.8287973	-15.97567	50.0	50.0	159999	-10.005389	3.2629745	12.031595	-26.304714	-10.005437	3.263192	6.9272456	-26.662722	-10.005553	3.264417	9.463508	-26.458242	9.669606	4.018025	832.715194940567	26.022349901497364
33	-9.216505	3.3676064	-3.002993	-17.726398	-9.43261	1.7859806	-5.680837	-11.3495	50.0	50.0	164999	-9.907091	3.2800822	8.95162	-28.995262	-9.907031	3.2797666	6.313727	-29.733335	-9.907082	3.2819102	9.967197	-28.670029	9.572994	3.8767157	859.1603357791901	26.035161755301736
34	-10.254267	4.0430055	-2.5317504	-29.478119	-11.395635	3.104824	-6.0008497	-17.120047	50.0	50.0	169999	-9.815883	3.2460928	8.2872715	-28.657745	-9.815709	3.2473001	7.513894	-27.186666	-9.815772	3.2480288	11.565986	-27.601616	9.494921	3.7941532	885.3086762428284	26.038490533828735
