Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time	AVG Time Per Epoch
1	1.7400606	6.2012806	42.200554	-9.703754	238.99763	116.90522	375.16125	90.46155	20.680498	234.1	4999	15.142379	12.299166	53.457294	-18.244007	15.142982	12.298347	53.78381	-17.958145	1.0466969	3.4585187	23.754848	-14.009006	-18.026731	3.0409315	29.081787586212158	29.08178997039795
2	2.1872704	6.36448	41.63332	-10.0297985	103.94186	3.3822122	109.49195	97.767044	20.536884	223.2	9999	48.848522	15.412445	92.70224	-33.720406	48.84914	15.410099	92.846695	-38.168056	0.92454267	4.532184	39.332905	-12.96962	-52.914158	16.649849	64.15290427207947	32.07645344734192
3	103.66595	128.83153	388.73346	-48.692654	259.2386	104.42868	471.2798	17.177732	165.44827	199.4	14999	67.07533	18.094189	130.12271	-47.842457	67.07571	18.095428	132.0234	-45.777355	-0.21341643	4.565707	42.72129	-12.186174	-70.78008	24.635374	100.49638199806213	33.49879511197408
4	169.11966	132.2717	479.97433	-12.490022	333.37076	234.42096	926.1888	89.190544	183.5	295.7	19999	74.331314	20.634798	148.1349	-51.716488	74.330315	20.636421	146.84604	-45.099953	-0.33408576	4.1802354	40.23454	-13.313318	-77.261375	30.490513	138.78321528434753	34.69580453634262
5	205.32637	119.9519	443.44946	26.754757	222.74797	73.87396	308.5339	82.29574	209.70833	187.1	24999	78.50093	22.940731	148.14345	-51.837166	78.499275	22.944973	152.76604	-51.114834	-0.2293979	3.9329085	45.526268	-13.629507	-80.91419	34.86948	174.9608678817749	34.992173957824704
6	247.0396	158.9144	646.04175	6.9245954	434.20996	12.148219	458.05963	416.34793	221.54546	219.7	29999	80.24367	24.000914	141.19273	-52.321583	80.24314	24.001009	141.85652	-52.378864	-0.27894783	3.887144	42.422333	-14.666704	-82.264015	33.989063	211.3779492378235	35.229658563931785
7	289.64774	119.62597	465.61072	29.31852	450.6359	35.96793	534.3882	407.66507	211.875	232.6	34999	82.20915	25.18592	148.59987	-50.45862	82.20809	25.188354	147.1515	-59.476185	-0.19536188	3.8066602	45.89828	-12.492656	-84.03006	33.755196	247.6913092136383	35.38447311946324
8	267.53906	122.34301	579.6368	19.20145	301.57843	24.714031	335.86182	256.4972	178.57143	163.8	39999	86.58073	26.923092	151.7335	-79.343575	86.579346	26.928438	149.35788	-51.824295	-0.27955514	3.7048123	40.600677	-16.779898	-88.26189	33.637276	283.5966477394104	35.44958120584488
9	297.95224	76.3143	455.43405	127.0963	404.37665	5.1800756	413.42722	396.46527	166.73334	204.1	44999	90.90043	28.819023	155.87392	-50.550022	90.89879	28.825428	154.83073	-49.99108	-0.19079761	3.6310155	67.05127	-12.547722	-92.4525	32.99295	319.90647745132446	35.54516442616781
10	367.7878	117.49938	537.8074	78.61413	283.22052	54.39769	394.61853	211.84407	209.54167	214.2	49999	94.57262	30.430946	157.57442	-52.299126	94.57104	30.43427	160.0043	-50.501537	-0.11955029	3.6515296	91.70991	-15.104336	-96.04247	32.297836	357.09765577316284	35.709765791893005
11	363.0764	116.990974	605.9276	116.70469	414.2369	61.57037	469.47348	267.48706	207.33333	182.2	54999	98.72957	30.620895	160.058	-64.82156	98.72967	30.619804	161.70488	-57.044632	-0.08450719	3.697695	70.21712	-13.553288	-100.13795	31.385244	393.16148948669434	35.74195380644365
12	333.20703	120.15145	598.186	49.86649	436.56894	7.0202994	443.71664	420.49686	166.6	215.3	59999	102.75905	31.124378	169.32228	-91.59186	102.75976	31.12423	164.74771	-53.692074	-0.20890045	3.5978434	77.170006	-13.623737	-104.07866	31.297976	429.40211033821106	35.78350939353307
13	363.1629	102.010994	501.62598	28.144785	240.40457	118.24536	438.14474	64.663414	188.5	160.5	64999	106.78851	32.18864	178.24469	-55.747303	106.7892	32.185467	176.46527	-69.79912	-0.085296005	3.5684297	84.992805	-13.629581	-108.09052	31.705357	465.40165305137634	35.80012732285719
14	321.5919	137.8222	646.11017	18.01117	237.97574	101.84186	350.11932	109.52131	174.10345	114.5	69999	110.5434	33.43605	180.00671	-59.942734	110.543785	33.432873	180.15036	-59.307243	0.05415552	3.5154448	62.13283	-16.385162	-111.79243	32.537186	501.28860354423523	35.806329011917114
15	376.19315	156.8143	742.53906	33.6541	257.74655	42.21592	337.16275	203.86841	186.11111	133.2	74999	112.266174	34.428135	174.33067	-81.56153	112.26638	34.424282	176.9781	-56.678055	-0.011900179	3.4838457	70.09345	-16.760006	-113.440475	34.048004	537.0136041641235	35.800907071431475
16	366.81854	101.19646	569.84454	112.4118	390.41754	75.77953	516.7676	239.43016	185.44444	173.6	79999	114.292336	35.013103	172.79642	-84.10737	114.29267	35.01026	176.76385	-75.64391	0.018284798	3.4318726	68.6339	-16.354727	-115.4134	35.0842	573.8004817962646	35.86253023147583
17	346.3856	72.34127	512.8919	193.2136	346.1027	57.14869	430.3666	210.57616	162.19354	175.1	84999	116.451164	35.77917	173.73422	-78.07228	116.451225	35.778904	174.54929	-84.14139	0.035352323	3.5128932	77.31636	-14.286598	-117.59029	34.086487	609.9766173362732	35.880977630615234
18	370.49557	113.04054	736.56	141.3493	404.07907	179.33772	709.146	210.41083	192.53847	230.5	89999	118.12655	36.050583	175.61206	-62.868774	118.12598	36.048046	175.04286	-95.049164	-0.059669554	3.4740012	93.2968	-15.815822	-119.168724	32.0102	646.4577827453613	35.91432139608595
19	390.96426	136.63503	647.2682	20.092077	167.22812	129.32973	382.93613	27.999613	178.82143	162.9	94999	119.11072	36.29454	175.60213	-83.0065	119.11074	36.29206	176.4519	-62.89805	-0.1607972	3.4305308	93.24258	-18.098686	-120.0834	31.855145	683.3996999263763	35.96840538476643
20	411.06552	143.31009	759.8978	55.07187	479.9439	65.215805	603.87665	413.74405	213.0	211.4	99999	119.93707	36.69784	181.43185	-85.76291	119.937416	36.69763	181.96057	-75.771996	-0.09944767	3.3821967	114.50549	-17.520868	-120.88144	30.877712	720.3569219112396	36.01784620285034
21	454.7715	123.65896	821.9676	199.03166	409.57422	195.95712	727.08624	53.57633	222.52174	284.4	104999	120.83503	36.99801	184.70804	-61.90215	120.83511	36.99734	184.84523	-71.09084	-0.11673814	3.3660758	99.66392	-13.37169	-121.73163	31.146769	757.2717912197113	36.060561611538844
22	412.90424	53.03987	573.1304	320.84387	460.0666	40.193504	522.20276	399.65338	182.40741	212.4	109999	122.18201	37.59926	185.91267	-73.505775	122.181854	37.602863	186.1789	-68.34975	-0.20077695	3.3423774	86.30464	-14.330204	-123.05434	30.600569	793.6439814567566	36.07472653822465
