Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossQReg	Time	AVG Time Per Epoch
18	-14.093297	4.052547	-4.85185	-23.340034	-9.050493	4.9701924	-2.491957	-17.238981	50.0	50.0	89999	-6.5018415	3.511008	5.6949325	-20.854067	-6.5018396	3.5105944	8.896413	-20.17557	0.29649058	1.03868	10.927438	-10.515797	6.616981	3.9217246	2.2242146	814.4819960594177	45.24899994002448
19	-14.49313	4.141008	-6.5666337	-26.086853	-9.271536	2.3073266	-5.479858	-12.232892	50.0	50.0	94999	-6.419791	3.4971156	7.388295	-20.087894	-6.419804	3.4966316	9.716023	-20.46572	0.31973627	1.0398864	7.7345963	-9.751372	6.5374274	3.9559655	2.2382982	859.5827300548553	45.24119644416006
20	-14.199567	4.75301	-6.378173	-25.067324	-9.061715	3.6884358	-3.7618563	-16.428507	50.0	50.0	99999	-6.291018	3.4630642	6.339325	-20.802513	-6.291177	3.4624007	7.1622605	-20.997543	0.3143635	1.0442481	8.801838	-10.93208	6.4071984	3.8873587	2.194971	903.0153224468231	45.150766253471375
21	-15.124254	4.7440896	-5.024156	-25.043283	-10.628095	4.3880134	-3.528957	-16.46862	50.0	50.0	104999	-6.193241	3.4130862	5.380997	-19.445824	-6.1933255	3.4105122	6.9190245	-20.568092	0.3292801	1.0477856	8.916658	-12.8946295	6.317471	3.8789945	2.186163	942.5374312400818	44.882734945842195
22	-14.549433	4.7712507	-6.1186495	-26.559742	-6.761213	3.6866527	-3.1041462	-16.666098	50.0	50.0	109999	-6.093307	3.3836966	6.2284703	-19.636293	-6.093494	3.382511	8.468141	-20.597996	0.32042816	1.0453598	7.9347706	-10.830233	6.217581	3.8141642	2.1501343	981.956228017807	44.63437410918149
23	-13.887058	4.828025	-5.6902647	-25.113323	-7.788443	2.372996	-4.378094	-12.1943865	50.0	50.0	114999	-6.027617	3.3743596	6.872114	-19.717052	-6.027962	3.3713548	6.9724636	-20.339293	0.33688518	1.0480727	10.337868	-9.226791	6.1500106	3.8113306	2.1417603	1021.5470311641693	44.4150884255119
24	-14.182608	4.661208	-5.430485	-23.568098	-8.414586	2.2590928	-4.919074	-11.193476	50.0	50.0	119999	-5.9644575	3.3412886	12.26941	-20.081802	-5.9646297	3.3394637	5.9821334	-19.850817	0.3233445	1.046417	9.693665	-12.56725	6.0841036	3.7964008	2.130573	1061.08225440979	44.21176069974899
25	-14.521643	3.9877603	-7.0066814	-24.080812	-7.787243	3.0936918	-4.9951935	-15.519975	50.0	50.0	124999	-5.8529377	3.3159323	5.703291	-20.34671	-5.8531237	3.314309	6.669613	-20.010372	0.31784415	1.0449955	8.289741	-11.630247	5.9766006	3.7457254	2.0937235	1100.7834920883179	44.031339769363406
26	-14.957781	4.730384	-5.4178658	-25.316385	-8.457437	4.126781	-2.8033202	-14.3911915	50.0	50.0	129999	-5.7963724	3.2900252	9.408273	-20.65664	-5.796261	3.289671	5.6574326	-20.686007	0.31816915	1.041954	5.865534	-11.856085	5.922687	3.729425	2.0824125	1140.4371497631073	43.8629673902805
27	-15.46749	4.574459	-5.49053	-25.370031	-7.778825	4.162293	-2.7550473	-14.938908	50.0	50.0	134999	-5.7354064	3.275836	7.3892703	-20.551182	-5.735793	3.2745183	6.469347	-20.64217	0.3144626	1.0446372	9.8328285	-10.234563	5.871541	3.6881444	2.05894	1180.0539212226868	43.705700865498294
28	-14.115247	4.3597336	-5.6426253	-24.233625	-7.618675	2.8527458	-4.250063	-13.914036	50.0	50.0	139999	-5.681948	3.2659688	7.0489607	-20.22626	-5.6820273	3.263754	5.9537945	-20.675941	0.31040812	1.0428449	8.333424	-10.032301	5.817585	3.6765246	2.046239	1219.8147044181824	43.56481095722744
29	-13.89453	4.397676	-7.546064	-23.890526	-9.079229	2.6401482	-5.3796577	-13.517986	50.0	50.0	144999	-5.6240826	3.2515385	9.298705	-20.09378	-5.6242814	3.2498245	5.6067905	-20.9095	0.3038796	1.0416718	5.151677	-10.468664	5.754975	3.6558828	2.033575	1259.7347178459167	43.43912828379664
30	-15.871055	4.860646	-6.40032	-26.449968	-9.087584	3.517732	-5.0247436	-15.624646	50.0	50.0	149999	-5.547733	3.2127268	7.8572206	-20.839712	-5.5481	3.2112455	7.550938	-21.560253	0.29666182	1.0399824	9.007523	-9.750889	5.6754174	3.5986578	1.9962713	1299.5183856487274	43.31727960904439
31	-14.080335	4.072893	-5.2348843	-23.21754	-9.35108	4.106061	-5.186077	-16.356955	50.0	50.0	154999	-5.490801	3.1906645	6.9078526	-19.62229	-5.4907403	3.1903505	6.7474213	-20.057987	0.2989811	1.0434489	5.877345	-12.229082	5.6283026	3.5696118	1.9809934	1339.4481706619263	43.20800558213265
32	-14.793346	4.2554607	-6.24724	-25.484564	-9.153719	3.1534352	-4.7073355	-14.600466	50.0	50.0	159999	-5.442078	3.1778686	10.318077	-19.404284	-5.4421477	3.1749008	6.5260468	-20.434292	0.29588327	1.0444777	7.0919847	-8.864405	5.5663657	3.545584	1.9661565	1379.2319061756134	43.100997142493725
33	-14.247241	4.414089	-6.475121	-23.498846	-8.712317	2.9996698	-5.2997627	-15.137605	50.0	50.0	164999	-5.400719	3.148719	7.7897825	-19.653091	-5.40056	3.1484098	10.980665	-21.088903	0.29655617	1.0419463	10.26285	-10.239381	5.532414	3.5880938	1.9826488	1419.2687401771545	43.00814371398001
34	-14.103944	4.8474164	-5.6083174	-23.057236	-10.040089	3.9927897	-2.6440487	-14.911526	50.0	50.0	169999	-5.3570724	3.1346197	10.048483	-19.548914	-5.3571754	3.1339023	9.525409	-20.810503	0.29043692	1.0490699	17.19207	-10.4274435	5.4961076	3.61672	1.9983832	1459.1429378986359	42.91596883886001
35	-15.03996	4.658319	-5.971477	-25.328318	-9.597991	2.9318774	-6.078771	-14.155495	50.0	50.0	174999	-5.320422	3.127291	10.454572	-20.02057	-5.3205814	3.12628	11.561013	-20.503195	0.2855894	1.0443803	12.6643915	-10.815949	5.4645095	3.5689132	1.9774002	1498.9929902553558	42.828371225084574
36	-14.999714	4.2461886	-6.9776354	-23.610819	-9.004966	4.1727366	-4.3142834	-14.872269	50.0	50.0	179999	-5.285411	3.120466	11.334772	-21.36486	-5.2854867	3.1179905	10.780851	-20.74324	0.28790253	1.0429134	10.4322605	-11.48555	5.4120917	3.541236	1.960633	1538.7699790000916	42.74361060063044
37	-14.700151	4.2516613	-6.736497	-23.33611	-8.715676	3.0206096	-4.5046015	-15.607501	50.0	50.0	184999	-5.259196	3.1206758	7.1179185	-18.716822	-5.258919	3.118912	6.6593857	-19.52734	0.27785283	1.0420191	15.064262	-10.709039	5.4055495	3.4428296	1.9031141	1578.722892999649	42.66818635528152
38	-14.369363	4.5056734	-5.5818934	-24.579384	-7.396643	3.9158707	-2.535364	-12.399316	50.0	50.0	189999	-5.2699895	3.121973	7.471158	-19.088001	-5.269939	3.1203063	5.6658773	-19.963701	0.27354306	1.0441922	12.888726	-11.507038	5.4099226	3.5361886	1.950982	1619.1983041763306	42.61048176414088
39	-14.399091	4.982789	-5.3151836	-26.696917	-5.8804636	1.9684229	-3.287758	-10.370702	50.0	50.0	194999	-5.264134	3.1232016	10.194436	-19.152142	-5.2638507	3.1225333	6.294374	-19.717659	0.2814534	1.043719	7.687318	-10.088885	5.4124937	3.5729246	1.9687551	1661.4224781990051	42.60057643132332
40	-15.227569	4.800306	-5.721323	-25.36575	-8.422627	3.901835	-2.4587808	-15.331486	50.0	50.0	199999	-5.2469254	3.1286473	6.527885	-22.35905	-5.2467785	3.1282258	6.38895	-19.933762	0.28781366	1.0433866	17.418762	-8.628124	5.3846226	3.566646	1.967089	1703.0622742176056	42.57655692100525
41	-14.793499	4.832624	-6.40638	-24.488625	-8.040568	2.4079652	-3.9618015	-13.102734	50.0	50.0	204999	-5.214089	3.1255755	9.272747	-20.380133	-5.214048	3.1243799	6.448217	-20.369234	0.28520522	1.0427852	10.717747	-9.393478	5.3627853	3.516481	1.9372582	1750.8426911830902	42.703480336724255
42	-14.869916	5.133006	-5.6469054	-24.78989	-8.891919	2.1653583	-5.6125703	-13.809526	50.0	50.0	209999	-5.1755776	3.0884967	6.711026	-20.916834	-5.175346	3.0879064	5.972118	-22.172495	0.27876055	1.0456384	11.154865	-11.738081	5.3196554	3.5129347	1.9301387	1797.853507757187	42.8060359614236
