Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	Time Steps	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	AVG Time Per Epoch
0	11.241918	6.039775	46.54527	4.337509	13.624658	0.13558699	0.26437494	0.6277682	-0.6324316	5000	1.5962124e-08	71.848816	-0.028898185	-55.433704	0.9189431	0.020834625	0.2516	79.0	5.2385053634643555	5.238507270812988
1	18.776537	21.841902	213.79875	5.061968	18.138182	7.6512275	3.7723665	13.451141	-0.4655919	10000	-2.554059e-08	430.0575	-0.035384733	-123.18921	0.90815246	0.016275102	0.273	79.0	9.906100988388062	4.953051328659058
2	33.424976	35.924	228.97385	6.039232	26.43617	18.422987	9.521184	33.563076	-15.128792	15000	9.88543e-09	666.7415	-0.034939323	-118.40845	0.89002967	0.020199226	0.26	79.0	14.574397563934326	4.858133157094319
3	81.36979	70.77411	239.34857	6.320506	47.873787	34.107754	11.697187	45.122395	-3.9764636	20000	-2.6214122e-08	1853.032	-0.031261526	-614.6636	0.87751454	0.017388577	0.1876	79.0	19.121525764465332	4.780381798744202
4	127.92624	77.37504	293.28857	9.041836	68.84722	57.369495	10.71795	64.78773	-4.608232	25000	-5.555153e-09	1490.054	-0.025824362	-440.4032	0.86346245	0.008108435	0.1424	79.0	24.049415111541748	4.80988335609436
5	184.44075	56.41058	292.40494	23.34367	94.42308	65.90956	20.85422	86.402145	0.6792048	30000	-1.3709068e-09	930.8441	-0.024368407	-398.80994	0.8608963	0.008542704	0.1474	79.0	28.561310291290283	4.760218699773152
6	203.89328	43.281094	291.65054	99.98013	101.89796	78.27166	29.144484	107.29708	-0.1296272	35000	-1.142621e-08	595.18396	-0.02220041	-147.64752	0.8520138	0.010975924	0.1484	79.0	33.23753833770752	4.748220069067819
7	219.94342	62.28253	312.96228	17.303707	107.978264	82.43797	31.814915	116.53774	-3.4762254	40000	1.8763542e-08	654.3982	-0.021862937	-205.4591	0.84238905	0.011950905	0.165	79.0	38.152952432632446	4.769119292497635
8	250.51985	42.852978	315.85	62.158188	116.25581	89.7938	34.91511	124.85552	-1.8223877	45000	-2.0879508e-08	446.81064	-0.029048966	-238.88759	0.83232045	0.016748874	0.1734	79.0	42.774375438690186	4.75270856751336
9	278.09744	41.879738	332.46875	156.70465	128.20512	101.20625	38.51265	137.1464	-32.589226	50000	-8.586049e-09	434.14874	-0.026000144	-128.57303	0.83217347	0.00932346	0.1742	79.0	47.689390659332275	4.768939256668091
10	299.07303	24.51523	332.44568	198.58984	132.02702	107.81565	39.367943	144.6627	0.17269057	55000	-5.029738e-08	248.52538	-0.022574224	-112.98302	0.8237618	0.012245957	0.1402	79.0	52.545756101608276	4.7768870917233555
11	302.46497	43.17217	334.26596	65.14706	132.64865	114.063065	43.348904	153.00085	-1.4316895	60000	5.865097e-09	233.75208	-0.021559225	-39.30548	0.8027261	0.010411235	0.1724	79.0	57.45779347419739	4.78814959526062
12	316.938	11.622093	350.15176	295.20245	134.37837	116.2544	44.626606	154.61624	0.13417882	65000	3.569126e-08	66.27557	-0.026627503	-35.70179	0.7842099	0.017187372	0.1882	79.0	62.32193398475647	4.793995050283579
13	312.96805	26.562138	364.286	217.51404	128.94737	122.2198	46.362003	161.29791	-0.43114924	70000	4.6491624e-09	135.98813	-0.023621438	-31.69172	0.7676218	0.010589979	0.1534	79.0	66.93614983558655	4.781153695923941
14	317.8072	50.097195	363.07285	30.326666	128.6842	122.940025	46.513054	162.9392	-8.459602	75000	-3.999472e-09	188.57736	-0.01914416	-50.18318	0.7602669	0.013768578	0.1666	79.0	71.60445165634155	4.773630237579345
15	334.89478	15.475743	368.35168	301.84048	133.32433	124.85965	48.708023	166.65726	-0.055231273	80000	-6.9856645e-09	79.6645	-0.022632588	-36.976936	0.75415826	0.014266671	0.1754	79.0	76.14016199111938	4.758760288357735
16	339.06903	34.10931	392.2114	166.01306	133.62163	129.99768	49.211693	171.9688	1.7342101	85000	5.9604643e-12	191.82431	-0.020058176	-22.908493	0.7397344	0.016740082	0.173	79.0	81.27147483825684	4.780675116707297
17	355.8684	21.787884	405.19135	286.7397	137.13889	131.69104	49.321934	174.12088	-1.3281169	90000	-1.9812584e-08	132.05666	-0.021288306	-52.60006	0.73083967	0.0129128415	0.148	79.0	85.94117593765259	4.774509880277845
18	369.00772	16.309132	406.71518	329.2481	139.37143	135.47224	51.60155	179.24097	2.1959538	95000	-2.9593705e-08	83.978195	-0.021654114	-47.867416	0.72068256	0.01082374	0.1182	79.0	90.78877663612366	4.778356740349217
19	374.37784	32.79531	539.22894	325.6207	140.71428	141.39815	52.404705	185.19377	-0.7736031	100000	1.3013184e-08	187.49599	-0.020909626	-62.291748	0.70631355	0.02016163	0.1966	79.0	95.37249732017517	4.768624937534332
20	393.6964	56.37904	641.7719	346.91998	145.73529	143.26352	52.3249	187.39893	-0.2791323	105000	-1.3613701e-08	333.8333	-0.022437878	-100.07161	0.68996894	0.016365658	0.1634	79.0	99.94705414772034	4.759383610316685
21	395.8095	43.713173	632.37054	349.3003	144.91176	149.53625	53.572533	192.39804	1.1498238	110000	7.773936e-09	246.85042	-0.019868102	-98.86673	0.67455053	0.014339975	0.1482	79.0	104.85625672340393	4.766193595799533
22	422.72653	80.366356	644.1178	296.7144	151.27272	151.22995	53.597984	195.57858	-0.6164576	115000	2.1150708e-08	714.1013	-0.0214069	-188.25354	0.67062795	0.011354267	0.1202	79.0	109.59903407096863	4.765175466952116
23	475.4691	115.00163	659.1996	275.51535	164.93333	160.9059	54.709187	203.34439	0.28281742	120000	1.7306208e-08	1009.6441	-0.020773143	-251.13458	0.66162395	0.013399672	0.1382	79.0	114.43665838241577	4.768194168806076
24	560.90454	110.22777	674.27264	266.17197	187.65384	177.85007	55.52135	217.8746	1.1748004	125000	-7.614493e-09	1158.2067	-0.020753192	-389.4369	0.6574677	0.014006705	0.127	79.0	119.31905722618103	4.772762384414673
25	539.97314	106.42885	658.17114	275.7623	180.96297	185.1689	63.819477	236.68881	2.01159	130000	-5.1096083e-09	821.1311	-0.022425206	-245.2005	0.6549214	0.01387984	0.1694	79.0	123.89948749542236	4.765364967859709
26	615.2974	32.56298	669.17413	527.60736	202.0	190.7222	62.397686	242.64374	-15.410051	135000	4.260093e-08	211.71132	-0.023696164	-165.96542	0.6417256	0.013832613	0.1632	79.0	128.9270474910736	4.775075903645268
27	632.9859	79.497925	798.7522	407.6522	206.79167	202.83829	62.806847	253.06761	4.5129232	140000	9.039789e-09	500.8743	-0.022025393	-142.58429	0.6265532	0.016226409	0.1692	79.0	133.44797205924988	4.765999061720712
28	667.43085	52.84234	811.0422	587.5091	215.60869	202.17705	67.14283	256.94205	-2.1212964	145000	1.8703938e-08	219.39964	-0.023136018	-97.87507	0.63424057	0.014223546	0.1706	79.0	138.1453948020935	4.763634377512439
29	671.1809	105.05369	886.85974	308.87277	221.18182	211.24408	66.22549	262.4895	-0.6448643	150000	7.176399e-09	660.04877	-0.019101745	-109.891846	0.6388948	0.009439897	0.1672	79.0	142.6316945552826	4.754389874140421
30	725.61633	84.212425	903.73016	646.08704	233.95238	207.51672	64.47523	259.2337	3.9680448	155000	9.095669e-09	324.3778	-0.026466202	-151.53915	0.61775625	0.016174002	0.1984	79.0	147.47225880622864	4.757169692747055
31	729.6991	150.57375	1039.075	272.4154	235.38095	217.27666	68.439835	269.59955	-2.9141285	160000	-3.1836331e-09	767.14514	-0.01987139	-147.11139	0.59884053	0.014753682	0.1702	79.0	151.9471664428711	4.7483490109443665
32	732.2585	100.53361	1063.8218	606.4702	235.61905	217.8454	66.33329	271.24295	-6.7209926	165000	1.8094946e-08	565.21533	-0.025473788	-138.39005	0.5896304	0.012494393	0.1836	79.0	156.69338035583496	4.748284303780758
33	823.8589	96.54314	1081.4391	680.1099	259.73685	218.1052	67.440254	271.59494	-5.107204	170000	-1.3947486e-09	374.81323	-0.023290792	-248.36264	0.579368	0.015168492	0.1666	79.0	161.3176407814026	4.744636549669154
34	813.6904	146.94429	1180.3506	597.9541	255.47368	227.34535	70.71938	284.43198	1.4931247	175000	3.671646e-09	267.61826	-0.024773657	-68.00549	0.56439173	0.01380876	0.1694	79.0	166.19859838485718	4.748531430108207
35	828.4667	91.088425	1028.2802	576.99115	259.89474	229.27983	71.905945	288.03244	-0.58324647	180000	-1.2889504e-09	113.45861	-0.024098694	-28.853836	0.54465264	0.0119641	0.1716	79.0	170.7973654270172	4.7443713082207575
36	845.7058	206.53325	1083.803	292.35757	268.0	238.01297	69.06085	288.59625	-0.7708348	185000	-4.297495e-09	1721.0914	-0.019156057	-261.42773	0.53116846	0.010130777	0.1672	79.0	175.6357123851776	4.7469111970953035
37	849.58734	167.58057	1145.2169	317.9941	264.22223	232.43695	68.22119	291.02905	-1.9453341	190000	4.327297e-09	882.6978	-0.018399818	-167.61584	0.53464395	0.0101564815	0.1756	79.0	180.33304262161255	4.74560642869849
38	876.3113	132.83218	1175.8976	664.9011	272.66666	234.2118	68.9581	294.4717	-1.1993976	195000	-9.536743e-11	305.5973	-0.025872089	-115.49701	0.5256364	0.016701067	0.1664	79.0	184.91162633895874	4.741323813413962
39	863.85504	131.73618	1103.8937	592.7431	267.72223	233.52948	73.64446	296.13474	-8.572009	200000	-1.16199255e-08	146.16182	-0.021485789	-47.326035	0.51898414	0.014709949	0.1522	79.0	189.74434995651245	4.7436087906360624
40	875.66986	127.448	1160.2722	644.89734	271.22223	239.24435	72.773315	299.6007	-10.061723	205000	3.5848469e-09	170.413	-0.025081107	-50.064133	0.51074827	0.00849951	0.161	79.0	194.29325819015503	4.738860002378138
41	951.95917	201.1672	1158.5742	325.10492	291.88235	241.96954	70.80368	301.09946	2.0504713	210000	-1.3664365e-09	1061.6665	-0.017034337	-104.638306	0.49978518	0.011090278	0.1458	79.0	199.2272822856903	4.743506766500927
42	992.2771	128.73492	1334.5371	799.6909	303.875	246.4138	70.97911	302.2329	3.6009357	215000	2.259016e-09	134.00471	-0.021836564	-52.102356	0.4974237	0.015574553	0.1656	79.0	203.95521807670593	4.743144639702731
43	859.6814	167.31152	1094.7455	318.44205	264.72223	244.0534	74.167244	307.43225	-0.63554025	220000	1.1745096e-08	1052.0774	-0.018566646	-342.22742	0.4853279	0.009601076	0.1612	79.0	208.7679307460785	4.7447257529605515
44	937.50726	137.0244	1334.8618	742.5918	284.29413	239.62982	70.67785	300.40686	-2.177915	225000	1.8119811e-08	202.43372	-0.023044921	-117.528984	0.47155648	0.016056342	0.1584	79.0	213.39687776565552	4.742152876324123
45	966.83734	278.87256	1426.7921	235.5645	293.47058	249.0802	73.625595	308.6963	0.81141996	230000	1.0833144e-09	949.2423	-0.0175987	-151.33783	0.4716211	0.013528876	0.1748	79.0	218.3351068496704	4.746415407761283
46	856.7764	258.61984	1154.7566	259.89133	265.05554	247.69168	73.06014	314.2777	1.4879824	235000	1.3411044e-10	2289.6445	-0.021241214	-859.1061	0.4622362	0.011974793	0.1776	79.0	223.3036687374115	4.751141923539182
47	906.6854	209.1487	1393.5331	589.6134	278.29413	234.1196	69.64918	313.72586	-20.392506	240000	1.3299286e-09	1444.7749	-0.020101031	-679.0614	0.45245332	0.014070784	0.1782	79.0	227.95282673835754	4.7490172783533735
48	935.7948	341.77393	1421.3337	289.74036	288.11765	249.8395	68.80525	306.9355	3.5453627	245000	-1.4185906e-08	2386.0686	-0.02063167	-605.26855	0.45032623	0.0068286173	0.1654	79.0	232.3759741783142	4.742366858891079
49	1060.4532	208.41786	1382.2313	616.2002	318.6	246.45876	70.83236	309.035	0.5452082	250000	9.083748e-09	452.12054	-0.023612563	-339.88943	0.44923484	0.015350925	0.1646	79.0	237.1521987915039	4.743044013977051
50	1071.1116	202.15363	1390.3085	595.4647	323.8	262.57468	73.80002	319.82224	4.255513	255000	-5.9723853e-09	1084.673	-0.015036644	-198.44519	0.44109643	0.014048877	0.1524	79.0	241.79892897605896	4.741155507517796
51	1137.0554	99.81848	1303.2288	889.0013	340.0	255.30638	72.33776	313.22287	0.15146518	260000	9.033084e-09	189.59079	-0.021257194	-105.667114	0.43873334	0.0113663105	0.1554	79.0	246.37387776374817	4.737959219859197
52	1130.8466	152.28477	1439.771	906.54333	337.57144	264.37686	74.304474	321.77396	3.078414	265000	-1.9410253e-08	86.15494	-0.021688335	-19.64241	0.4372284	0.019190768	0.2358	79.0	250.96955037117004	4.7352745712928055
53	1052.459	151.0721	1295.8125	793.5202	315.6	260.56885	75.12319	322.78745	0.83883107	270000	-9.100139e-09	140.26997	-0.025570503	-34.141525	0.4280612	0.014723645	0.1624	79.0	255.5314929485321	4.732064719553347
54	1146.3815	330.9081	1747.0104	307.07446	344.7857	265.1608	72.45481	322.6132	3.1143136	275000	-1.1090189e-08	1151.0792	-0.018402819	-358.0891	0.42418545	0.016058387	0.1998	79.0	260.14500188827515	4.729909155585549
55	1075.5399	186.86996	1358.7802	590.6637	321.66666	261.4825	74.63206	325.74753	4.936249	280000	-1.2513995e-08	928.7078	-0.013456918	-275.35004	0.42032006	0.012239009	0.1434	79.0	264.704852104187	4.726872401578086
56	1085.9506	199.48616	1502.567	869.32495	324.26666	258.91846	75.428955	320.80884	-10.164343	285000	4.1782857e-09	168.89873	-0.022760117	-81.500015	0.41839638	0.011870988	0.1738	79.0	269.47964429855347	4.727713091331616
57	1052.7527	369.09402	1798.9426	317.33344	317.73334	265.53534	71.080124	325.8219	-2.63275	290000	-2.0369887e-08	1834.3466	-0.017404271	-577.01636	0.41464347	0.010131189	0.1992	79.0	274.3050820827484	4.729397995718594
58	1106.505	230.2162	1722.8529	810.6604	327.33334	256.0665	73.52486	324.79932	1.0203356	295000	2.3126603e-09	253.59642	-0.022890445	-136.22342	0.40053868	0.011790788	0.1506	79.0	279.17527532577515	4.73178436796544
59	962.8181	105.975716	1299.9424	868.45514	286.52942	258.2478	76.685974	331.4409	-2.1852129	300000	1.7374754e-09	305.70813	-0.023452004	-144.81926	0.39291194	0.02122415	0.2114	79.0	284.13188338279724	4.735531421502431
60	1097.8137	170.34552	1394.6332	732.2221	322.2	260.92624	68.60371	323.92255	-5.5432935	305000	8.33869e-09	459.02655	-0.022673601	-181.09698	0.39106664	0.01901381	0.2074	79.0	289.1945948600769	4.740895025065688
61	1189.2579	178.56717	1497.1493	846.45044	348.57144	268.94098	73.16221	330.83438	6.994652	310000	5.8054925e-09	136.40842	-0.026804568	-60.16884	0.38079637	0.015036661	0.1622	79.0	294.0218963623047	4.7422886894595235
62	1165.8041	326.4014	2025.1902	580.027	343.42856	273.07184	74.005554	335.27335	-2.6029785	315000	3.781915e-09	1183.2725	-0.0152540505	-619.12506	0.36970535	0.008044539	0.1894	79.0	298.8344850540161	4.743404554942297
63	1288.105	496.46323	2860.9482	954.2941	374.23077	273.33395	73.96747	335.875	-4.0611606	320000	2.0846725e-08	222.98413	-0.022611294	-100.23366	0.35962316	0.016624967	0.1684	79.0	303.63766860961914	4.744338594377041
64	1230.1172	532.3218	2680.143	825.42395	356.14285	272.0142	75.15009	341.9485	2.5747752	325000	2.758503e-08	156.32774	-0.02659233	-58.25055	0.35043126	0.017129492	0.1768	79.0	308.59264612197876	4.747579211455125
65	1414.6447	442.32227	2635.0754	912.59186	409.83334	283.6112	73.30515	346.76105	-0.9425156	330000	-2.3934245e-08	108.41316	-0.021544132	-28.116203	0.3337313	0.014185416	0.1794	79.0	313.15668296813965	4.744798252076814
66	1234.4246	376.9803	2382.136	884.8355	359.3846	279.85886	73.93126	345.86337	-9.101022	335000	-2.6325509e-08	169.4719	-0.021750158	-72.309525	0.31259137	0.01054716	0.159	79.0	317.8556077480316	4.744113573387487
67	1395.6852	473.23892	2684.0342	836.2504	406.16666	285.06284	71.36491	346.8142	-4.1231527	340000	1.3267994e-08	1204.3046	-0.016836952	-546.10034	0.31189716	0.007913611	0.1762	79.0	322.6736660003662	4.74520099513671
68	1271.4677	472.34708	2435.6743	614.32135	374.15384	276.2343	68.320274	337.4675	0.9218333	345000	-1.8481911e-08	1626.9921	-0.017241351	-373.83057	0.32364926	0.01649533	0.1746	79.0	327.25648260116577	4.742847601572673
69	1345.3407	468.19568	2243.2869	652.0033	391.33334	278.9568	68.540955	337.9812	1.6038424	350000	9.341538e-09	1270.011	-0.017039934	-321.61206	0.31851527	0.01114703	0.1752	79.0	331.8314824104309	4.740449775968279
70	1325.207	396.02524	1883.2491	296.2039	386.25	286.33484	68.60973	344.27707	-1.3861376	355000	-5.6371094e-09	842.0268	-0.020280937	-347.2403	0.31212014	0.01194509	0.1864	79.0	336.31385493278503	4.736814881714297
71	1258.2482	417.06595	2303.4443	686.3034	365.15384	269.6762	76.64822	343.29123	-3.219122	360000	9.188056e-09	590.36096	-0.025596566	-453.9887	0.30736873	0.020916276	0.1908	79.0	341.14192819595337	4.738082359234492
72	1330.4949	456.14172	2359.7485	310.84464	390.75	286.39496	72.10852	344.48068	-12.660505	365000	-1.9603222e-08	1069.5428	-0.020790402	-433.67566	0.29923546	0.01143998	0.1768	79.0	346.21555733680725	4.742678890489552
73	1307.5653	205.48288	1737.6732	1009.12195	378.53845	272.5617	75.31075	342.38925	2.0619373	370000	1.1581182e-08	280.779	-0.02418324	-188.25665	0.30960846	0.0157529	0.1994	79.0	350.8657648563385	4.741429277368494
74	1341.4109	497.78256	2610.0698	616.5385	391.25	286.36426	71.66927	345.68484	3.5053213	375000	3.0735507e-09	1169.3735	-0.016855378	-451.38184	0.2966052	0.012769186	0.1942	79.0	355.5011479854584	4.740015331904093
75	1400.9371	273.76517	1885.0194	930.1316	403.75	282.126	73.72017	342.8149	-0.06371045	380000	2.3770331e-08	120.9432	-0.027503805	-50.18541	0.28751567	0.014295665	0.1898	79.0	360.2539050579071	4.740182983247857
76	1301.7538	482.89465	2241.4268	253.17162	378.53845	285.45694	72.88001	345.23273	2.0853868	385000	-2.4151802e-08	1092.7623	-0.019479418	-155.09973	0.2819557	0.011936842	0.1582	79.0	364.77664256095886	4.737359015972583
77	1286.9994	412.0949	2032.6619	337.09253	377.3846	282.04333	69.57695	344.97137	1.4157226	390000	1.5616417e-08	1903.0398	-0.02012555	-492.66675	0.2747823	0.007190271	0.168	79.0	369.5141816139221	4.737361324139131
78	1320.8298	305.38678	1950.3751	890.338	381.69232	274.46957	73.29526	341.7293	5.9342594	395000	5.108118e-09	212.46295	-0.02545645	-143.43686	0.26971483	0.01730552	0.1958	79.0	374.2424314022064	4.737245985224277
79	1350.7999	297.04865	2228.3784	911.0051	388.25	283.13245	73.14938	344.1957	-0.6476518	400000	1.4340878e-08	52.955944	-0.026520273	-18.263458	0.2645755	0.012404838	0.1676	79.0	378.7124743461609	4.733905950188637
80	1338.7191	374.45233	2154.3706	867.78564	386.58334	283.32156	73.88005	348.1109	2.7446325	405000	1.3619661e-08	112.6427	-0.02518857	-74.013	0.25243074	0.011609349	0.1746	79.0	383.44363832473755	4.733872104574133
81	1238.8766	112.96461	1516.1462	1072.4078	357.14285	277.24594	77.14819	347.8769	0.30648804	410000	2.9087066e-09	69.16762	-0.025507478	-34.977467	0.23890258	0.012601052	0.1786	79.0	388.1932284832001	4.734063782343051
