Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time	AVG Time Per Epoch
1	-33.999493	52.457733	19.482714	-257.71426	155.26453	288.34232	735.78485	-97.66072	124.85714	434.4	4999	0.3511737	2.4825819	18.729658	-12.626395	0.35069317	2.4824862	19.247961	-12.651454	-1.5154269	0.41794562	20.98787832260132	20.98788070678711
2	-139.69037	164.73126	38.647232	-387.16843	-27.790762	134.79944	270.36353	-265.56287	418.76923	520.2	9999	5.0878596	4.652268	42.49217	-15.350567	5.087178	4.6496015	42.72882	-15.087079	-7.8270693	1.7295455	46.41006922721863	23.20503580570221
3	20.543852	200.0178	526.8749	-418.04764	115.46067	245.82338	842.9548	-29.9174	432.0	193.4	14999	10.316243	5.809421	54.778713	-16.187971	10.317275	5.8084927	54.274994	-17.098917	-12.863384	3.2999282	71.04398345947266	23.681328614552815
4	136.24776	157.9908	438.38834	-42.52084	252.09041	328.1956	893.8667	6.5682764	590.5	363.8	19999	11.286124	6.191215	56.259087	-15.369021	11.286386	6.1919856	55.18772	-14.580662	-13.255673	3.316274	97.0093686580658	24.25234282016754
5	181.23409	138.5132	341.45697	-9.666033	334.54218	319.8955	753.1278	4.3121085	612.7143	535.2	24999	11.363585	6.1336765	52.801254	-11.655536	11.363294	6.1338944	51.48229	-11.50002	-13.081183	2.8608704	125.22914338111877	25.04582905769348
6	252.31862	276.8794	741.53986	0.4275067	481.8336	358.69388	823.60077	-2.506177	402.92307	631.7	29999	12.522003	6.7296314	50.113518	-12.975916	12.521944	6.729594	55.06417	-13.036808	-14.065474	2.7543452	153.88143467903137	25.64690617720286
7	460.0996	264.50616	793.7933	6.631879	444.77057	255.5035	798.1267	33.18102	691.75	751.6	34999	14.198281	6.8819027	48.674168	-15.836072	14.198064	6.8831415	47.451042	-12.210861	-15.678199	2.565697	185.5340895652771	26.504870346614293
8	521.4653	227.03835	804.4614	88.84832	568.3722	224.70778	803.0794	32.2569	860.6667	906.2	39999	15.884201	6.85168	44.90297	-13.359938	15.883754	6.853047	45.109203	-12.384168	-17.355686	2.2171745	217.23724961280823	27.15465646982193
9	621.91626	136.96394	795.5742	424.54633	505.80948	307.93707	850.15155	46.555042	1000.0	747.6	44999	17.546	6.7499595	47.340893	-9.473173	17.545797	6.7508574	46.076984	-9.212393	-18.920246	2.0888793	247.653502702713	27.51705609427558
10	413.24786	277.55112	829.06793	48.25525	652.4207	294.71906	873.3479	103.83332	607.7143	770.3	49999	19.114046	6.5868692	48.502106	-12.598638	19.114265	6.586722	46.212357	-9.40097	-20.514887	2.1704388	279.51906394958496	27.951906657218935
11	596.47723	362.98508	858.7555	10.392043	565.44824	409.87332	930.00946	40.567036	719.8571	625.6	54999	21.293846	6.614819	55.32407	-10.166368	21.29385	6.615542	51.8041	-7.955141	-22.688753	2.131573	310.9442801475525	28.267662026665427
12	509.38373	334.48044	865.00494	21.66499	677.3351	299.74667	916.4944	59.933517	679.875	872.1	59999	23.497206	6.517584	49.449886	-7.8571444	23.496763	6.5190067	48.92116	-12.278698	-24.816778	2.12879	341.82495188713074	28.485412816206615
13	419.8493	358.96466	850.1739	34.645756	597.1198	290.07965	887.0089	18.037561	546.75	768.6	64999	25.382765	6.662554	50.63327	-9.545194	25.382633	6.664212	51.755943	-7.4441257	-26.626894	2.116985	372.5533058643341	28.657946788347683
14	695.7458	298.79285	876.6212	33.6775	658.99255	264.1072	898.9668	49.23472	843.3333	906.3	69999	27.037867	7.103304	50.873653	-9.945714	27.03789	7.1032834	51.454826	-11.886667	-28.292477	2.047086	405.55902576446533	28.968501959528243
15	595.069	310.0449	891.2044	105.90616	619.35754	344.5818	947.8015	54.66125	755.1429	739.9	74999	28.580906	7.5574393	53.242287	-18.957205	28.581226	7.5566177	53.916676	-11.691978	-29.803368	2.1159902	436.52694272994995	29.10179632504781
16	510.12033	372.6036	891.6219	75.58156	594.6557	338.73483	874.6518	42.551815	578.0	717.7	79999	30.11652	8.104889	58.33678	-15.857475	30.116724	8.103749	56.727493	-12.275296	-31.342989	2.1757612	468.9789798259735	29.311186373233795
17	565.40967	357.19165	902.2035	5.864739	741.43677	343.16165	982.0308	18.299002	724.2857	813.4	84999	31.79418	8.585475	58.16986	-13.629152	31.794226	8.586299	58.239254	-12.384946	-33.00941	2.2526164	500.7947590351105	29.458515349556418
18	589.7184	368.99304	903.83813	-114.39188	729.3327	337.03427	1004.3471	54.652622	1000.0	813.4	89999	32.951183	9.02122	61.110954	-21.468443	32.95122	9.021788	62.01141	-14.012768	-34.077614	2.2701108	534.196769952774	29.67759843667348
19	817.3676	58.212387	902.06055	759.44696	669.7571	329.13034	954.42834	-3.1705232	1000.0	807.5	94999	33.72351	9.477062	64.03035	-21.539202	33.72359	9.477043	63.747826	-15.284863	-34.806614	2.2070773	567.0792033672333	29.846273974368447
20	783.2735	12.447478	795.0503	759.0964	726.94696	233.15253	889.841	47.106956	1000.0	904.1	99999	34.59429	9.732709	65.54838	-14.888615	34.59443	9.732331	64.71644	-12.61528	-35.71413	2.2602012	599.665323972702	29.983266294002533
21	554.9469	325.86557	862.7398	20.832083	690.57117	343.092	918.5492	15.312342	735.0	809.3	104999	35.394695	9.987328	66.93909	-25.303114	35.394627	9.988111	66.059875	-22.572964	-36.532642	2.3514712	630.7458643913269	30.035517442794074
22	606.6876	299.47098	892.98285	141.25322	431.66757	348.43253	863.65204	39.088146	719.5714	550.3	109999	36.202206	10.218352	70.527145	-16.044107	36.202374	10.218915	72.623726	-13.256893	-37.335793	2.3534575	658.3929815292358	29.92695381424644
23	566.9833	411.9525	948.25446	24.878132	578.87836	249.46205	853.74976	31.142067	639.375	833.2	114999	37.0759	10.38174	69.62257	-17.58336	37.07606	10.380517	69.33447	-20.30172	-38.16702	2.4217322	688.116043806076	29.91808895442797
24	479.42532	450.544	914.429	-185.6892	650.35236	277.04834	927.03815	19.976234	725.2857	840.0	119999	37.82699	10.695643	71.43354	-15.53787	37.82689	10.696583	71.223434	-20.393318	-38.901405	2.4744716	717.5702540874481	29.898760676383972
25	716.7828	301.76862	971.7716	143.29831	799.55505	455.3247	1290.3752	81.27562	904.1667	734.6	124999	38.36888	11.162267	72.42105	-22.538094	38.368843	11.162744	71.04385	-20.76338	-39.438988	2.3945837	746.2679867744446	29.85071954727173
26	589.3247	357.61053	1188.5602	231.0801	923.3636	345.38794	1301.749	194.50284	616.75	807.8	129999	39.457325	11.598518	72.215355	-23.69424	39.457363	11.599456	71.757355	-15.8873005	-40.463696	2.5456264	775.593688249588	29.830526553667507
27	593.1973	112.42064	753.01825	438.84244	691.92615	291.09082	1026.7189	17.874632	725.0	772.7	134999	40.379425	12.014581	72.767654	-14.776947	40.379562	12.016111	73.198456	-20.256283	-41.448696	2.6421185	804.9251341819763	29.81204206855209
28	614.11707	361.16153	1001.3192	71.991776	630.2822	437.85916	1390.2953	58.938423	677.625	582.5	139999	41.16188	12.440481	75.056244	-26.304356	41.161797	12.44128	73.85937	-18.504778	-42.29632	2.8556612	832.369925737381	29.72749742439815
29	973.3949	591.4425	1400.2635	35.221653	1127.2396	443.30225	1575.8833	456.0444	724.5714	1000.0	144999	41.94419	12.839649	77.62625	-22.851074	41.944283	12.840426	75.236885	-17.574238	-43.359158	3.0858293	862.2633333206177	29.73321844791544
30	1081.9918	345.39188	1513.7509	652.6951	739.6121	616.3145	1778.5675	71.05653	841.6667	516.0	149999	43.549107	13.758167	78.625145	-28.820381	43.548985	13.75915	76.680046	-24.517384	-45.074654	3.383553	888.825677394867	29.62752265135447
31	678.88184	425.3771	1287.5885	14.560748	553.09705	492.7095	1354.352	7.535156	597.875	455.5	154999	45.145596	14.883444	81.58365	-26.136114	45.145607	14.884271	82.54082	-30.277529	-46.615635	3.7286804	915.4177634716034	29.52960532711398
32	1336.1027	312.35248	1687.1149	970.70764	791.9417	548.4011	1752.3392	-242.1557	1000.0	902.2	159999	46.82989	15.928309	86.87029	-18.81586	46.829906	15.929691	88.095245	-46.069775	-48.18945	4.101092	944.9711799621582	29.53034943342209
33	897.8403	591.2406	1686.0836	92.41887	823.78796	637.6119	1829.5765	126.280266	648.7143	607.6	164999	47.90611	17.166529	89.45031	-18.32655	47.90611	17.167212	90.71713	-18.920788	-49.61193	4.4695444	972.162703037262	29.459475900187638
34	861.7091	577.4119	1841.2544	34.514988	1470.9591	370.74603	1879.9607	740.10724	740.125	941.1	169999	48.87904	18.587965	96.25893	-25.057959	48.87908	18.588467	94.770996	-28.317026	-50.879482	4.8760023	1001.7347214221954	29.462785973268396
35	1115.9392	332.56564	1460.8505	551.99915	1019.0211	499.26254	2019.7379	364.59116	936.4	798.3	174999	50.655525	20.330252	101.56529	-25.91084	50.65561	20.33248	102.11001	-47.85619	-52.65582	5.7050657	1030.480902671814	29.442311566216606
36	690.48474	500.14548	1543.7576	27.364775	1520.0054	708.83765	2145.6418	110.95433	625.5	852.2	179999	52.222248	22.060163	107.58996	-28.205551	52.221703	22.061846	104.324005	-23.170378	-54.246506	6.1890726	1059.5001230239868	29.43055902587043
37	967.20435	329.72098	1691.6273	712.79425	336.36456	242.50018	771.5004	40.095463	799.8333	227.8	184999	54.20635	23.760504	112.18791	-27.597013	54.207005	23.76144	108.92341	-28.710918	-56.41838	6.7613134	1084.5433270931244	29.311981864877648
38	1381.1078	533.5902	2159.8267	512.7382	1964.6306	519.9254	2369.8345	628.1833	879.6667	981.2	189999	56.548016	25.478321	114.78681	-25.603334	56.54867	25.477854	114.272156	-22.380379	-58.68036	7.3803906	1114.872095823288	29.338739420238294
39	1711.4183	386.40277	2276.237	1199.8882	1277.0836	774.7684	2287.4785	-176.2312	944.4	847.4	194999	59.140884	27.395676	124.51072	-26.80794	59.14097	27.39698	122.59215	-36.05592	-61.472145	8.051834	1144.355530500412	29.342449555030235
40	946.1567	763.4217	2367.0203	212.52109	951.1058	685.70056	2309.1924	171.38934	560.7778	434.4	199999	61.339657	29.435995	130.037	-32.365486	61.33937	29.436897	130.37137	-34.417923	-63.793537	9.436426	1171.1112067699432	29.277780228853224
41	627.74347	536.8099	1701.7228	56.129013	1281.6147	832.10675	2408.2864	199.51775	422.81818	652.7	204999	62.78411	31.735952	134.55748	-43.645157	62.78396	31.738255	134.58284	-35.137558	-65.470146	11.551417	1198.8901917934418	29.241224236604644
42	1604.2063	888.2939	2407.5605	51.05429	1939.0817	838.809	2855.4702	94.76219	770.0	736.5	209999	65.11202	34.136353	141.17444	-42.949482	65.111916	34.1392	139.49536	-41.6053	-67.918945	12.960198	1227.0301246643066	29.21500301361084
43	2074.09	727.7333	2591.0737	608.92755	2002.7063	647.8784	2649.1172	1127.3905	877.6667	950.2	214999	69.09115	36.145046	152.27345	-49.594063	69.09046	36.149204	149.67354	-59.590534	-71.89755	13.992518	1256.8405015468597	29.228848923084346
44	1210.2788	877.9297	2437.86	24.115366	1963.8711	605.0982	2604.5437	746.4992	615.875	906.5	219999	72.396935	38.2743	153.38664	-55.45099	72.397545	38.274853	152.75673	-68.39267	-74.96436	14.232922	1286.288083076477	29.233820124105975
45	2083.4146	516.7997	2497.2178	1063.0961	975.3107	1054.4226	2660.2107	-1234.9468	865.0	598.2	224999	76.0408	39.928864	159.20099	-83.12909	76.04064	39.929077	158.55077	-65.90581	-78.7813	14.866823	1313.540932416916	29.18979854053921
46	1926.884	1006.0954	2870.8914	392.8122	1895.363	1066.7373	2876.5103	253.21426	1000.0	748.3	229999	79.383865	41.7189	168.67265	-58.185852	79.38421	41.719692	165.67123	-78.35773	-82.0361	15.513021	1341.6728863716125	29.166801924290866
47	1551.2893	926.79816	2976.234	371.7385	2870.3528	125.38224	2995.7576	2566.1785	586.7	1000.0	234999	82.65112	43.8276	170.27652	-45.24922	82.651535	43.827793	174.39488	-50.539406	-85.506615	17.046719	1371.615582227707	29.183310305818598
48	1231.5215	849.7102	2318.4666	210.32518	1725.0647	905.3683	2568.4788	6.398007	699.1667	854.7	239999	85.7688	46.321465	184.05255	-57.406136	85.76936	46.321056	179.2102	-66.04715	-89.128	19.58785	1400.246737241745	29.17180707057317
49	1533.5034	949.14575	2929.3992	6.745265	2766.1892	597.943	3163.439	999.85144	726.75	930.5	244999	88.75689	48.99884	193.94246	-97.813896	88.756584	48.999996	194.20213	-101.90681	-92.2052	22.259092	1429.726725101471	29.17809647443343
50	1350.1761	1150.2963	2921.8457	-2.2073467	3055.2766	108.66661	3267.7842	2929.118	680.3333	1000.0	249999	91.79884	51.289696	194.4058	-74.43946	91.79933	51.289757	193.50499	-80.46078	-95.41394	24.159996	1459.4651355743408	29.18930274963379
51	2292.8445	991.4976	3098.0256	397.95102	2233.1274	1313.1161	3856.5454	541.7735	861.1667	935.6	254999	94.70529	53.311455	199.78357	-76.79594	94.70615	53.311733	200.11905	-81.20683	-98.52875	26.10836	1488.8597362041473	29.19332821228925
52	3140.548	139.70097	3324.7622	2891.6086	1896.4156	1020.22144	3550.633	600.67065	965.0	666.2	259999	98.11856	55.706627	208.78351	-78.152534	98.11903	55.706844	210.10861	-64.9007	-101.7011	27.330793	1516.468386888504	29.162853630689476
53	1614.9253	1094.6366	3356.3025	199.68056	2369.3464	1168.4663	3763.429	692.3669	585.0	666.6	264999	100.55422	58.712902	213.28961	-96.373276	100.553085	58.71459	217.25682	-96.33928	-104.39493	29.363295	1544.161731004715	29.13512703607667
