Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time	AVG Time Per Epoch
21	748.16437	176.08154	1243.1492	567.24927	709.3435	15.8502445	735.6221	693.73224	237.66667	232.0	104999	159.83513	47.01227	248.41837	-105.09868	159.83568	47.014297	247.41194	-106.641754	0.9138021	2.445871	26.938871	-11.470187	-161.193	43.846394	718.7019865512848	34.223904223669145
22	1052.361	327.0213	2025.8873	707.48285	853.41003	176.54323	1323.9562	757.8785	335.33334	268.4	109999	164.6805	48.978794	258.84357	-105.556946	164.68134	48.983395	253.90561	-112.2186	0.9376863	2.4465954	31.146484	-11.354376	-166.01068	43.02291	753.7527084350586	34.26148684458299
23	1252.4236	630.33203	2940.1147	594.8704	1660.3547	311.01205	2090.802	1182.1425	406.81818	672.4	114999	169.60547	50.882336	260.3404	-103.05013	169.60486	50.89424	258.47202	-110.19437	1.021662	2.4432657	36.9756	-12.9165535	-170.92223	44.83603	789.9969656467438	34.3476942518483
24	1553.0944	604.0389	2622.8435	701.0126	1985.1367	147.75272	2207.613	1665.9177	494.4	608.7	119999	173.96045	52.59855	264.52496	-109.75074	173.96092	52.60324	265.11148	-111.97128	1.0216765	2.4200766	30.936092	-11.650101	-175.24545	42.138344	826.1775612831116	34.424065132935844
25	1591.2131	517.82166	2504.0293	954.3652	1108.3993	5.0527554	1119.984	1103.1641	563.0	344.0	124999	179.23549	54.171104	273.46542	-105.134155	179.23573	54.182484	269.58704	-115.00989	1.0387137	2.4097395	33.515293	-10.617262	-180.52617	40.96102	861.4390642642975	34.45756265640259
26	1164.9686	291.87088	1747.9022	756.8492	3140.6587	2.502139	3144.1584	3136.0654	361.08334	1000.0	129999	183.83846	56.07494	277.38095	-122.17057	183.83856	56.08166	276.31747	-167.79231	0.986535	2.4404907	42.882755	-12.440773	-185.06473	41.973995	899.2046339511871	34.584793696036705
27	1477.7363	552.04	2460.5679	1022.854	1071.5002	9.902729	1088.187	1053.8594	450.08334	318.2	134999	188.20053	57.956978	283.43228	-104.252205	188.20004	57.96811	281.09482	-96.86054	0.967495	2.4844084	38.104618	-12.631383	-189.40726	37.55667	934.0223271846771	34.59341960483127
28	2011.2886	572.4928	3123.4556	1089.2032	3217.348	6.0120397	3225.445	3205.5264	619.25	1000.0	139999	192.68027	58.91998	284.7676	-96.86662	192.68091	58.93409	282.47504	-111.84974	0.9755687	2.502047	46.537243	-12.429439	-193.89655	39.78965	971.5037295818329	34.69656184741429
29	2655.7988	491.3281	3211.3496	1851.184	2835.854	25.78041	2863.3982	2794.2134	844.1667	1000.0	144999	197.61856	59.65533	284.3108	-134.88188	197.619	59.663967	283.95642	-106.867485	0.94701886	2.4643292	35.296856	-12.159304	-198.82677	42.236076	1009.11310338974	34.79700363915542
30	1868.1221	1055.3895	3083.273	395.746	2460.9116	565.0118	3123.1724	1820.6431	619.5	793.2	149999	201.80135	59.928165	284.7358	-120.64015	201.80165	59.938774	287.2407	-113.78488	0.93208104	2.4715126	43.851585	-11.399883	-202.9685	38.75785	1045.882804632187	34.862760217984516
31	2901.4937	243.65031	3097.2397	2421.298	2962.7058	2.1182961	2965.366	2959.9536	943.6	1000.0	154999	205.71208	60.546455	287.8047	-114.18667	205.71234	60.557476	286.30035	-103.35933	0.906783	2.480611	48.066414	-10.632347	-206.82095	39.343674	1083.3963656425476	34.948269936346236
32	2775.0566	375.83676	3203.0803	2077.4617	3213.5461	75.049065	3295.4937	3013.4827	886.1667	982.3	159999	208.53506	61.05795	288.24707	-121.41271	208.53555	61.067257	287.91626	-127.90364	0.8706909	2.4900262	56.852657	-13.229804	-209.61766	40.583054	1120.94216299057	35.02944266796112
33	2971.828	62.471558	3046.273	2868.7234	3190.4282	1.8037972	3193.2427	3187.1208	980.6	1000.0	164999	211.54416	61.49985	288.2327	-119.541985	211.54414	61.51134	287.89026	-113.08431	0.8637028	2.4180338	36.29923	-11.504583	-212.58995	40.994663	1158.531226158142	35.10700691830028
34	3090.3774	59.559822	3155.015	3012.0188	3189.2734	1.8399973	3191.709	3185.6697	1000.0	1000.0	169999	214.48772	61.441025	288.7931	-124.614075	214.48752	61.45792	289.0788	-174.36725	0.81965	2.3879366	39.18138	-11.855179	-215.5133	40.28085	1196.1170189380646	35.17991239884321
35	3077.594	38.08015	3134.6807	3018.2136	3175.6252	3.1848931	3180.3105	3171.3616	1000.0	1000.0	174999	216.99971	61.787426	292.32468	-108.616936	217.0005	61.794792	291.31503	-144.4205	0.7845143	2.386359	33.602654	-12.466448	-218.0097	37.30325	1233.5829269886017	35.24522654669625
36	3110.0044	32.449593	3172.026	3079.4902	3164.3774	1.081797	3166.1428	3162.3774	1000.0	1000.0	179999	219.58813	62.247364	295.15723	-141.26353	219.58813	62.254696	294.45514	-138.52617	0.71376455	2.3676674	36.526806	-11.43754	-220.5639	36.750996	1271.1836202144623	35.31065618329578
37	3071.3894	61.065407	3146.6494	2986.1277	3198.3735	1.0953015	3200.3662	3196.0168	1000.0	1000.0	184999	222.889	62.578136	295.78537	-99.788475	222.88918	62.58859	294.8305	-108.9288	0.69896036	2.3512938	49.17174	-11.5139675	-223.8447	36.211533	1308.769098997116	35.372137868726576
38	3172.8242	47.69168	3250.3472	3107.7192	3187.982	13.075684	3212.4814	3166.7734	1000.0	1000.0	189999	225.91069	62.60372	299.5722	-115.068	225.91075	62.61585	298.75684	-98.73607	0.67966866	2.3306863	39.671787	-12.568425	-226.8302	36.89753	1346.2539710998535	35.42773613176848
39	3119.0732	40.784695	3155.4941	3040.331	3264.5566	2.990199	3268.511	3259.655	1000.0	1000.0	194999	228.69914	62.87321	302.1202	-117.107605	228.69931	62.884087	301.12845	-121.202644	0.70482177	2.3517926	40.54875	-12.266403	-229.61736	33.402546	1383.6070766448975	35.47710505509988
40	3125.441	30.066761	3166.303	3084.0999	3085.7905	3.7125576	3092.1443	3080.3972	1000.0	1000.0	199999	231.45567	63.155354	301.08618	-128.13702	231.45528	63.17216	302.14124	-140.38235	0.63755685	2.315194	53.853855	-11.085325	-232.35793	34.584557	1421.1102871894836	35.52775723338127
41	3128.0432	38.13897	3170.0989	3056.2388	3239.482	5.357517	3248.1978	3232.3462	1000.0	1000.0	204999	234.41077	63.562458	305.32794	-120.2495	234.41069	63.576687	304.5799	-102.281715	0.63640046	2.299268	48.979095	-12.087782	-235.2726	34.394592	1458.542772769928	35.574214022334026
42	3107.6929	40.14451	3164.8257	3060.812	3180.0679	10.469465	3189.34	3158.5664	1000.0	1000.0	209999	237.21126	63.80163	312.1885	-137.68369	237.21179	63.806473	308.31235	-151.21265	0.63537455	2.2926059	75.3052	-11.67794	-238.08133	32.73138	1495.9925420284271	35.618870105062214
