Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time	AVG Time Per Epoch
1	21.14484	25.16294	221.59373	5.3991823	38.789833	0.939405	40.451687	36.905766	23.246511	22.1	4999	7.2226543	5.8898005	39.240215	-8.173944	7.222471	5.885474	40.108864	-9.005048	-8.582359	0.751751	16.528279542922974	16.528281927108765
2	19.121838	17.762554	145.27121	5.6392956	67.90303	0.65993994	68.8239	66.510704	22.817352	36.9	9999	36.090763	17.55779	101.915924	-38.08041	36.091038	17.564709	102.98855	-38.922916	-42.102814	11.042626	37.41494178771973	18.70747196674347
3	143.23495	59.47728	212.19786	34.117332	188.91153	1.5248747	190.51833	185.77202	75.36364	94.1	14999	84.13812	24.849047	130.20056	-61.244667	84.13706	24.86667	132.39905	-60.680805	-92.088264	46.194942	59.77431774139404	19.92477337519328
4	155.10481	38.855774	200.01494	86.87968	92.99069	0.83904475	94.31105	91.43239	87.649124	70.5	19999	88.55107	24.291672	122.500984	-92.341255	88.55143	24.289946	123.29922	-76.78186	-92.034424	37.32971	81.66928291320801	20.417321264743805
5	161.13965	29.088797	203.40967	36.675552	168.97882	6.325024	177.73463	154.56963	89.80357	89.8	24999	90.52614	28.517344	124.20938	-104.09475	90.52451	28.527897	126.51765	-104.95397	-94.50288	31.281313	103.79054117202759	20.75810866355896
6	174.81572	17.29209	205.25847	122.32185	196.39964	5.3020473	205.55632	188.7278	91.388885	101.2	29999	90.729454	32.66906	130.03392	-153.25899	90.72788	32.67247	131.50204	-170.74608	-93.83762	28.143145	126.10248303413391	21.017080903053284
7	100.85803	110.3159	595.1069	2.7812264	6.6732383	0.6728738	8.180625	5.8802147	105.520836	32.5	34999	90.44292	33.39782	150.44917	-154.79434	90.442535	33.389313	155.3761	-165.3554	-94.33524	39.1505	148.0323522090912	21.147479227610997
8	89.70369	147.47672	872.5848	3.6132512	146.67412	128.93878	525.45856	76.225655	79.435486	124.9	39999	86.91819	31.957535	160.46422	-258.63336	86.91921	31.945196	157.0228	-155.04004	-90.85115	38.173286	170.167733669281	21.270967036485672
9	216.44374	46.536404	365.88358	34.621883	299.21753	24.314129	337.65634	255.44173	114.27273	164.9	44999	88.64965	33.821384	190.69621	-186.60176	88.64935	33.813095	181.4549	-177.20038	-92.774254	34.019844	192.4160807132721	21.37956476211548
10	290.4047	86.32442	442.12283	158.6031	241.28699	4.039047	248.74054	234.2412	171.72414	139.4	49999	96.15557	34.488064	185.53876	-173.83727	96.1564	34.473553	182.93266	-230.82053	-100.16988	35.53285	214.77162718772888	21.477162957191467
11	209.24232	52.776752	283.80884	35.923542	217.79436	44.833694	341.81665	173.37456	120.80488	110.0	54999	100.61548	34.897785	191.01921	-131.49223	100.61638	34.881615	187.38759	-138.71184	-104.26456	35.94126	237.04002690315247	21.54909359325062
12	272.94785	115.04256	775.397	70.009895	287.71793	112.81601	401.3493	72.71578	149.85294	149.2	59999	102.78729	35.955513	186.07109	-152.26508	102.788414	35.942963	183.29895	-175.19124	-105.83778	34.275814	259.50345826148987	21.625288407007854
13	191.02773	55.7501	313.0263	44.157032	187.84859	3.657732	193.23149	183.13216	96.55769	96.5	64999	102.100716	36.481533	188.0526	-96.536606	102.10116	36.4681	188.84608	-93.988655	-104.901115	32.29993	281.6934907436371	21.66873024060176
14	209.62341	37.481018	324.3672	154.61055	217.36943	1.7430512	220.11867	214.83516	102.479164	110.6	69999	101.76443	36.542908	195.62265	-96.91989	101.763374	36.542725	197.26988	-112.5793	-104.50296	29.099182	304.0657072067261	21.718979256493704
15	238.8251	40.71392	333.73538	160.48015	334.53903	5.2878766	345.049	326.16034	110.0	145.2	74999	101.96893	36.73789	201.92639	-188.52611	101.96664	36.739433	200.3705	-187.20654	-104.6066	27.074516	326.60637974739075	21.77375882466634
16	306.3463	34.74954	399.4131	224.04213	315.01016	1.8034916	317.49982	311.75708	136.66667	141.3	79999	102.45285	38.744164	215.09225	-112.45186	102.451675	38.742184	214.38005	-135.1903	-104.916	25.15651	348.8809792995453	21.80506134033203
17	422.30585	124.54869	842.01855	290.58786	954.5174	242.71869	1094.5082	417.88004	165.78572	841.2	84999	103.6738	40.022427	214.20853	-140.15672	103.67365	40.01548	211.56995	-162.53856	-106.53458	26.12291	374.10531663894653	22.006195236654843
18	777.59753	217.7393	1055.7751	567.6546	1079.1078	58.392174	1252.5676	1047.2035	509.0	984.1	89999	106.332985	40.23097	206.25967	-151.82233	106.332726	40.224606	210.0578	-162.83391	-109.19694	26.71012	399.9330246448517	22.218501488367718
19	1035.7395	34.348537	1068.7938	974.43976	1045.5042	215.96446	1597.7039	817.229	948.8	519.8	94999	108.8555	38.9177	228.28525	-154.42747	108.855675	38.912926	224.12318	-167.10709	-111.68904	25.00657	423.87441635131836	22.309179933447588
20	1014.0343	435.59518	1609.4827	452.7939	459.0638	219.85217	846.62134	194.34528	614.0	238.1	99999	110.70182	37.963512	227.97755	-140.08183	110.70068	37.95674	229.30821	-154.57072	-113.27058	24.588278	446.6328454017639	22.33164236545563
21	325.8997	395.11816	1975.8036	42.18388	703.31134	238.25835	1072.6241	354.5981	172.55173	266.2	104999	112.97178	37.94698	229.01901	-109.78773	112.97139	37.940155	228.35085	-110.81656	-115.55273	27.580093	469.35737442970276	22.35035126549857
22	436.0133	314.4262	1408.4082	187.4921	200.17677	4.584244	209.82115	194.33012	195.84616	135.8	109999	114.900475	38.136982	219.10255	-104.7569	114.9001	38.13262	217.03873	-102.27437	-117.54015	32.28309	491.58073449134827	22.34457894888791
23	316.0336	173.84937	716.5847	171.8065	738.6675	233.4939	1182.2789	562.1305	154.67741	287.0	114999	118.41349	38.358685	216.94142	-136.44531	118.41355	38.348293	215.26437	-214.45128	-121.08543	33.945824	514.5583627223969	22.37210282035496
24	551.0121	131.67584	919.2123	164.60406	547.793	17.617943	576.07263	524.06525	200.15384	195.9	119999	121.62417	40.40108	216.4052	-75.95951	121.62415	40.39146	219.40474	-97.747314	-124.2078	35.525795	537.2979137897491	22.387413163979847
25	413.03873	159.58765	853.718	63.654137	781.84753	130.40402	969.2244	545.4341	153.96875	260.0	124999	124.86159	42.585533	222.04369	-79.83372	124.86073	42.58362	217.8248	-78.02865	-127.620636	35.660297	560.1503558158875	22.406014318466188
26	632.81757	168.75357	999.6485	384.9131	666.77014	188.67316	923.7074	427.38046	224.77272	236.1	129999	128.24634	44.69704	220.24626	-89.095215	128.24649	44.687153	220.77588	-89.82085	-130.89455	34.69515	582.7704300880432	22.41424738443815
27	676.4353	217.81041	1243.2664	321.1994	649.566	94.24416	898.4219	540.2689	244.19048	254.1	134999	132.44771	45.94904	231.93857	-92.684685	132.44771	45.93782	225.5219	-92.13047	-135.30313	36.68605	605.6956424713135	22.43317201402452
28	650.0384	180.0855	1016.7696	385.76334	759.54047	54.672203	878.639	664.4999	232.09525	238.2	139999	136.87653	47.008263	223.8481	-101.203705	136.87648	46.994946	225.36147	-78.473495	-139.70047	36.87831	628.590151309967	22.449648320674896
29	640.2241	128.90605	972.97675	508.99783	827.32434	150.13019	1083.7028	642.5268	237.85715	311.4	144999	140.2552	47.53016	229.18262	-78.271866	140.25534	47.51454	227.47025	-103.47836	-142.99103	39.268528	651.7893009185791	22.475493209115392
30	846.2006	261.45663	1647.6973	535.93274	999.5379	37.897877	1039.0087	893.10223	313.4375	485.5	149999	143.26859	48.01088	228.06421	-89.0355	143.26947	47.99961	229.16719	-87.495445	-146.01135	40.282166	675.4515559673309	22.5150519212087
31	1028.0681	444.9398	2021.0852	603.3014	1273.3033	585.44403	2715.9133	782.94226	393.46155	442.3	154999	146.8535	48.286922	235.40636	-76.75198	146.85387	48.278187	230.03787	-87.74534	-149.75084	39.77055	698.8583433628082	22.543817597050822
32	1292.7986	481.47443	2261.7786	742.9688	2404.8574	459.74362	3203.7422	1719.8982	432.3	745.6	159999	149.09225	48.639175	236.52435	-99.82282	149.09337	48.63278	229.25014	-81.28608	-151.8204	40.53159	723.5603172779083	22.61125997453928
33	988.7664	563.78564	2434.9492	56.517323	1017.287	127.83422	1232.791	813.1103	324.47058	331.3	164999	150.63403	48.976963	237.95915	-103.18676	150.63618	48.96925	229.27553	-95.102615	-153.18413	41.63308	746.4753654003143	22.620465683214594
34	1150.6752	297.7795	1756.9893	622.1069	692.02747	10.926917	714.66705	678.7611	359.84616	212.9	169999	152.66934	49.435474	236.73253	-135.69545	152.67026	49.429104	233.97789	-143.14969	-155.05363	41.765377	769.1400258541107	22.62176552239586
35	1594.0278	521.26605	2997.9497	890.54944	2725.6785	583.7335	3224.5388	1871.8088	497.0	845.1	174999	155.43817	50.520504	237.77518	-94.61014	155.43875	50.512886	235.50673	-108.829	-158.08215	42.586487	794.3644428253174	22.696127012797763
36	2218.3127	788.60095	3304.0034	1131.8529	2421.9268	591.51245	3327.743	1682.3887	678.2857	716.9	179999	158.56645	51.66626	241.06204	-97.288376	158.56752	51.664894	239.34418	-104.6118	-160.91127	42.05053	819.047934293747	22.751331561141544
37	1863.012	769.2481	3145.3137	950.3254	1453.4397	131.63406	1695.4136	1296.332	567.2222	429.0	184999	162.16034	52.4773	244.14482	-123.45177	162.16121	52.475586	244.34254	-89.85881	-164.8794	40.918007	842.7138729095459	22.776050670726878
38	1171.0619	335.766	1618.9701	358.4046	1227.4971	288.0262	1925.3866	973.28076	357.5	363.9	189999	166.015	53.70864	248.80331	-97.02599	166.0161	53.707542	247.38715	-86.86347	-168.63475	42.445904	865.9216358661652	22.7874115266298
39	1558.5378	512.7232	2580.2002	1049.1543	2580.83	751.0989	3194.8237	1280.6621	467.9091	804.4	194999	169.92792	54.42731	256.4888	-105.94026	169.92908	54.4187	257.83606	-111.6236	-172.34175	42.320488	890.775979757309	22.840409786273273
40	1222.1472	442.1771	2136.9575	352.99863	794.289	56.915985	934.84045	693.3089	377.84616	235.9	199999	173.50691	55.630543	261.6217	-100.56321	173.50768	55.629665	264.3275	-120.98313	-175.99635	43.523468	913.6470909118652	22.84117733836174
41	1724.9907	670.43286	3138.9578	993.06195	887.9136	190.94623	1402.1165	714.32306	532.3333	276.7	204999	176.69142	57.0177	267.32	-116.80719	176.69145	57.015377	270.31207	-129.94124	-178.93163	41.109745	936.6326217651367	22.8446981383533
42	1323.2748	264.47617	1978.6937	884.44916	1302.1742	123.58535	1568.3186	1176.2573	402.69232	412.5	209999	178.75203	58.18502	270.08258	-158.84528	178.75255	58.18607	268.9713	-149.05504	-181.2785	42.343674	960.166898727417	22.861116687456768
43	1443.8207	392.45148	2402.8655	968.8022	2505.3198	453.3597	3138.3503	1745.0875	443.0909	777.8	214999	181.09183	59.417854	274.18906	-138.13106	181.0922	59.41915	271.59995	-153.09543	-183.59308	43.555847	985.1720790863037	22.910978633303976
44	1632.0432	698.02545	3063.0364	819.7814	1168.0125	1253.5144	3109.3767	342.62216	505.0	404.5	219999	184.0569	60.484615	277.25626	-150.6534	184.05771	60.482655	277.04108	-133.07149	-186.51323	41.360077	1008.6400139331818	22.923636723648418
45	2982.6384	280.095	3189.4036	2430.017	3104.6194	6.276518	3113.7527	3096.3833	944.0	1000.0	224999	187.37732	61.63955	281.06082	-121.00797	187.37727	61.64041	283.30667	-124.36139	-189.79955	42.694168	1034.4746043682098	22.9883245839013
46	2277.1853	702.2069	3133.9734	1086.7269	3073.8364	6.073128	3085.9102	3065.3457	716.4286	1000.0	229999	191.03712	62.515553	286.45996	-90.19156	191.03734	62.517536	287.64706	-162.58829	-193.7438	40.931942	1060.1965124607086	23.04775031234907
47	3107.898	82.24609	3219.4443	2977.7249	3291.1204	22.939356	3326.7341	3257.0083	994.0	1000.0	234999	194.43813	63.133297	287.3865	-98.076385	194.43979	63.129993	285.51837	-107.90932	-196.94666	41.130005	1085.9150817394257	23.104576252876445
48	2937.8025	390.18146	3328.5251	2197.5847	3243.7927	2.579045	3249.3464	3239.7344	914.6667	1000.0	239999	197.29149	63.954624	287.8598	-128.99022	197.29094	63.962288	289.73218	-148.50294	-199.77702	42.870075	1111.4287042617798	23.154764716823895
