Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
32	230.90219	372.42242	1029.5455	3.6970036	874.6584	41.872498	938.5469	793.6202	234.54546	1000.0	159999	443.80087	128.17516	824.3719	-329.00992	-451.16425	390.6904	751.2039868831635
33	329.24023	295.40942	1010.98425	-7.452738	66.90288	38.248676	160.44055	23.24795	297.77777	88.4	164999	439.1883	126.14703	787.8596	-446.59442	-446.4192	356.1241	776.201651096344
34	287.2655	207.69113	1034.1667	63.003357	325.56253	264.75656	1072.4666	134.36415	226.63637	223.9	169999	441.97388	127.407	797.8412	-412.90295	-449.30365	363.68524	801.7383732795715
35	198.03923	245.10919	945.759	7.314055	418.8808	349.06815	1112.8939	64.918846	188.03847	339.7	174999	445.20053	126.03543	780.4986	-379.82498	-452.44955	353.74744	827.3078498840332
36	253.27762	222.7558	835.1113	34.94111	168.39719	26.026793	201.48938	98.79607	177.12	78.9	179999	440.94254	123.34151	761.58276	-249.54501	-447.8219	349.72256	851.6395814418793
37	302.66425	259.0282	1005.0137	73.29764	226.01233	101.17173	426.59952	113.01311	225.88	130.8	184999	436.2259	121.1832	745.2318	-417.65836	-443.09946	334.81274	876.1224408149719
38	234.10661	227.37724	857.796	-56.3261	390.59644	367.53067	978.7434	-32.469997	238.28572	446.4	189999	427.15863	117.184456	742.3982	-310.49008	-433.5712	329.46036	900.9370300769806
39	313.03943	218.90253	885.7136	-28.851444	223.72134	255.90771	695.6863	-5.8085346	250.61111	157.4	194999	417.87476	116.281364	711.9892	-276.78836	-424.2452	316.39926	925.7874462604523
40	276.41272	298.8773	1297.8009	77.27593	286.2278	268.76468	979.464	55.642113	211.75	254.4	199999	408.47995	114.093956	686.77203	-344.0849	-414.44547	295.9203	951.2563645839691
41	344.20895	277.40555	1129.4036	8.890287	352.66653	465.27985	1635.9414	68.628	258.8095	232.5	204999	398.0581	111.82984	672.7314	-313.29907	-404.00284	278.53934	976.572714805603
42	283.5501	320.8787	1447.6093	7.2775993	200.6374	259.2093	894.54755	13.625254	251.3	222.7	209999	390.4465	109.684235	681.4047	-292.62476	-396.04944	264.29755	1000.9207916259766
43	148.822	162.51033	665.6522	6.9294558	210.8344	217.60071	706.92114	-18.747177	121.37838	246.2	214999	382.8951	106.768394	689.5829	-363.2177	-388.4876	279.23022	1025.8803918361664
44	166.02313	236.65633	1152.9695	-137.75407	-34.603935	64.22195	82.485405	-177.58565	209.92308	254.8	219999	380.95078	106.584915	691.5168	-301.97473	-386.84222	295.27484	1051.1955547332764
45	74.54977	125.96966	631.5979	-167.54173	82.9796	15.813622	110.20612	55.140648	139.58333	112.9	224999	388.41815	107.80325	642.88135	-348.43094	-394.6609	303.6705	1075.1863310337067
46	222.66576	266.68457	1251.8092	-10.480676	451.24634	322.8612	1176.0145	109.49739	187.07692	322.7	229999	385.63147	106.9663	634.8192	-419.78207	-391.3615	302.55054	1100.2837719917297
47	312.89346	323.21075	1403.3145	-2.1859138	258.91608	207.27121	640.6649	80.937645	262.57895	186.1	234999	377.87958	103.421936	606.6248	-373.66638	-383.3788	278.34576	1125.0911922454834
48	282.57172	230.30725	747.31793	54.480396	170.69708	115.21309	472.26712	53.7088	242.0	167.4	239999	369.69208	101.91419	590.4873	-274.49274	-375.05453	261.692	1150.3201038837433
49	154.94868	99.586044	436.2738	22.29886	219.26888	82.37715	401.87662	87.942375	130.71794	166.3	244999	367.32285	100.175316	626.8421	-315.56497	-373.01166	286.7904	1175.4026939868927
50	271.09384	328.7126	1351.0088	41.220768	231.41586	139.49492	453.58328	111.58891	141.54286	123.3	249999	378.74924	106.44917	631.97614	-355.6008	-384.92984	323.08224	1200.5162880420685
51	519.17975	688.67993	2176.068	29.230383	701.10504	619.82996	2201.5603	116.82585	264.1111	372.5	254999	385.79935	107.32933	628.64557	-320.9823	-391.7054	340.07596	1226.1585516929626
52	506.57416	409.13626	1287.9825	7.1406064	907.4623	254.44392	1521.8029	493.1913	302.35294	556.2	259999	385.70615	102.43711	638.44226	-424.18057	-391.3111	329.32074	1252.3643395900726
53	313.90918	304.76144	1455.3296	31.821312	729.3784	479.08408	1819.0083	227.30771	180.64285	388.7	264999	382.01004	100.68986	613.352	-383.11826	-387.47284	322.5624	1278.3407952785492
54	491.32114	468.00327	1509.0146	38.676487	720.7957	468.40088	1903.0695	165.6002	276.05554	314.8	269999	376.6504	100.216125	612.683	-530.9003	-382.042	314.68683	1304.1226139068604
